Max Component Size,Compute Time (s),runScen2_2Random,,,,
3900,0.0378525,,3945.5,0.067663942,,3300
4000,0.0395406,,,,,
4000,0.0813482,,,,,
4000,0.0383065,,,,,
3900,0.0823101,,,,,
3900,0.0809054,,,,,
4000,0.035466,,,,,
3900,0.0820096,,,,,
4000,0.0820378,,,,,
4000,0.0386362,,,,,
3900,0.0815428,,,,,
3900,0.0809823,,,,,
3900,0.0384668,,,,,
4000,0.0831184,,,,,
3900,0.0809166,,,,,
3900,0.0395693,,,,,
4000,0.0815088,,,,,
4000,0.0777294,,,,,
4000,0.0384112,,,,,
3900,0.0843624,,,,,
4000,0.0796531,,,,,
4000,0.0390903,,,,,
3900,0.083504,,,,,
4000,0.0813077,,,,,
3900,0.0363392,,,,,
3900,0.0828097,,,,,
4000,0.0823824,,,,,
4000,0.0389221,,,,,
3900,0.0829743,,,,,
4000,0.0798108,,,,,
4000,0.0389751,,,,,
4000,0.0835378,,,,,
4000,0.0820578,,,,,
4000,0.0384987,,,,,
3800,0.0788295,,,,,
3900,0.0790745,,,,,
4000,0.0365639,,,,,
4000,0.0831379,,,,,
4000,0.0833094,,,,,
3800,0.0382038,,,,,
4000,0.0838557,,,,,
4000,0.0839597,,,,,
4000,0.0390532,,,,,
4000,0.08372,,,,,
4000,0.0805836,,,,,
4000,0.0373328,,,,,
3700,0.0824046,,,,,
3800,0.0833525,,,,,
4000,0.0377205,,,,,
4000,0.0835302,,,,,
4000,0.0812622,,,,,
4000,0.038262,,,,,
4000,0.0827233,,,,,
3900,0.0814244,,,,,
4000,0.0382653,,,,,
4000,0.0858281,,,,,
4000,0.0823017,,,,,
4000,0.0402102,,,,,
4000,0.0802933,,,,,
3700,0.0793006,,,,,
4000,0.0384701,,,,,
3900,0.0832136,,,,,
4000,0.0786897,,,,,
4000,0.0388289,,,,,
4000,0.0864532,,,,,
3800,0.0814198,,,,,
4000,0.0391608,,,,,
4000,0.083711,,,,,
3900,0.0780554,,,,,
4000,0.0395833,,,,,
4000,0.0825955,,,,,
4000,0.084497,,,,,
3500,0.0353785,,,,,
4000,0.0863322,,,,,
4000,0.0825213,,,,,
3900,0.0387228,,,,,
4000,0.0836475,,,,,
4000,0.0803994,,,,,
4000,0.0386467,,,,,
3300,0.0832987,,,,,
4000,0.0831018,,,,,
3900,0.038415,,,,,
3900,0.0853244,,,,,
4000,0.0832804,,,,,
4000,0.0380031,,,,,
4000,0.0831168,,,,,
4000,0.08258,,,,,
4000,0.0398621,,,,,
4000,0.0843018,,,,,
4000,0.081731,,,,,
3900,0.0373759,,,,,
4000,0.0794519,,,,,
4000,0.0819927,,,,,
4000,0.0391682,,,,,
3800,0.0834656,,,,,
3900,0.0814465,,,,,
4000,0.0414869,,,,,
3900,0.0822974,,,,,
4000,0.0801272,,,,,
3800,0.037591,,,,,
3900,0.0825468,,,,,
4000,0.082624,,,,,
4000,0.0385429,,,,,
4000,0.083958,,,,,
4000,0.085412,,,,,
4000,0.0386214,,,,,
4000,0.0835372,,,,,
3900,0.0811584,,,,,
3600,0.0370242,,,,,
3600,0.0833883,,,,,
4000,0.0840202,,,,,
3900,0.0388252,,,,,
3900,0.0884767,,,,,
4000,0.0821978,,,,,
3900,0.0381691,,,,,
4000,0.0843471,,,,,
4000,0.0833309,,,,,
3900,0.0376555,,,,,
4000,0.0859417,,,,,
3700,0.0782225,,,,,
3500,0.0377131,,,,,
3700,0.0817169,,,,,
4000,0.0807729,,,,,
4000,0.0391366,,,,,
3900,0.0823279,,,,,
4000,0.0826791,,,,,
3900,0.0410565,,,,,
3800,0.0841192,,,,,
4000,0.0833078,,,,,
4000,0.0390474,,,,,
4000,0.0828679,,,,,
4000,0.0811656,,,,,
4000,0.0386414,,,,,
4000,0.08365,,,,,
3800,0.0813281,,,,,
3900,0.0386334,,,,,
4000,0.0850946,,,,,
4000,0.0825519,,,,,
3800,0.0373932,,,,,
3900,0.0828477,,,,,
4000,0.0818154,,,,,
4000,0.0395548,,,,,
4000,0.0844938,,,,,
4000,0.0851139,,,,,
3800,0.0386238,,,,,
4000,0.0832753,,,,,
4000,0.0825359,,,,,
4000,0.0366187,,,,,
4000,0.0855308,,,,,
4000,0.0823113,,,,,
4000,0.038136,,,,,
3900,0.0831678,,,,,
4000,0.0832201,,,,,
4000,0.0400507,,,,,
3900,0.0834105,,,,,
4000,0.0794868,,,,,
4000,0.0356179,,,,,
3800,0.0824452,,,,,
4000,0.0806219,,,,,
4000,0.0391914,,,,,
4000,0.0859376,,,,,
4000,0.0817166,,,,,
4000,0.0377251,,,,,
4000,0.0831834,,,,,
4000,0.0815242,,,,,
4000,0.0397957,,,,,
4000,0.0837403,,,,,
4000,0.081779,,,,,
4000,0.0396374,,,,,
3900,0.084011,,,,,
4000,0.0818204,,,,,
4000,0.0392388,,,,,
4000,0.0851051,,,,,
4000,0.0826363,,,,,
4000,0.0394315,,,,,
3900,0.0787466,,,,,
3800,0.0829446,,,,,
4000,0.0393406,,,,,
4000,0.0903126,,,,,
4000,0.0780502,,,,,
4000,0.0362994,,,,,
4000,0.084754,,,,,
3900,0.0825922,,,,,
4000,0.0400683,,,,,
4000,0.0835474,,,,,
3900,0.0837771,,,,,
4000,0.0403323,,,,,
3700,0.0840184,,,,,
4000,0.0840595,,,,,
4000,0.0402033,,,,,
4000,0.0795922,,,,,
4000,0.0795737,,,,,
4000,0.0387267,,,,,
4000,0.0847115,,,,,
3800,0.0820906,,,,,
4000,0.0398733,,,,,
4000,0.0845916,,,,,
3900,0.0853016,,,,,
3800,0.0388977,,,,,
4000,0.0866956,,,,,
