Max Component Size,Compute Time (s),partition_lgraph_louvain,,
800,12.9037976,,800,12.73502194
800,12.7742772,,,
800,12.8049827,,,
800,12.7857994,,,
800,12.8026153,,,
800,12.7832857,,,
800,12.8088599,,,
800,12.805893,,,
800,12.8116576,,,
800,12.75423,,,
800,12.6760715,,,
800,12.7652057,,,
800,12.7730608,,,
800,12.7903423,,,
800,12.6484352,,,
800,12.6915341,,,
800,12.7322496,,,
800,12.7095557,,,
800,12.7383593,,,
800,12.7864145,,,
800,12.7834422,,,
800,12.5851316,,,
800,12.6563373,,,
800,12.7363231,,,
800,12.7251313,,,
800,12.7141773,,,
800,12.6891518,,,
800,12.7151472,,,
800,12.6783974,,,
800,12.7430533,,,
800,12.7745748,,,
800,12.691994,,,
800,12.7203412,,,
800,12.7142643,,,
800,12.7508883,,,
800,12.6916331,,,
800,12.702145,,,
800,12.7608083,,,
800,12.7521374,,,
800,12.7005933,,,
800,12.6823714,,,
800,12.7442081,,,
800,12.7461673,,,
800,12.7392935,,,
800,12.6658345,,,
800,12.7876436,,,
800,12.6853497,,,
800,12.6944925,,,
800,13.2492808,,,
800,13.2407089,,,
800,12.7246757,,,
800,13.1796381,,,
800,12.7905383,,,
800,12.7194538,,,
800,12.6702166,,,
800,12.7804377,,,
800,12.6620484,,,
800,12.6983417,,,
800,12.5937148,,,
800,12.7489828,,,
800,12.7091507,,,
800,12.6233028,,,
800,12.6636164,,,
800,12.7104944,,,
800,12.8101275,,,
800,12.7721627,,,
800,12.7489831,,,
800,12.7471802,,,
800,12.6744892,,,
800,12.6729729,,,
800,12.7657741,,,
800,12.7129872,,,
800,12.7836487,,,
800,12.7781456,,,
800,12.7400921,,,
800,12.71977,,,
800,12.7699025,,,
800,12.6789034,,,
800,12.7001519,,,
800,12.7516622,,,
800,12.7170672,,,
800,12.7427756,,,
800,12.8014829,,,
800,12.7415204,,,
800,12.7237184,,,
800,12.6606019,,,
800,12.6948082,,,
800,12.7020125,,,
800,12.6557995,,,
800,12.7796051,,,
800,12.740031,,,
800,12.6277688,,,
800,12.6479414,,,
800,12.7285195,,,
800,12.6998025,,,
800,12.7004716,,,
800,12.6779352,,,
800,12.6841332,,,
800,12.7641242,,,
800,12.7957251,,,
800,12.7055869,,,
800,12.6656267,,,
800,12.7575191,,,
800,12.7709041,,,
800,12.6666635,,,
800,12.6726534,,,
800,12.7580374,,,
800,12.7949507,,,
800,12.6562277,,,
800,12.5761954,,,
800,12.670048,,,
800,12.6651778,,,
800,12.7019859,,,
800,12.7339634,,,
800,12.8335298,,,
800,12.5940158,,,
800,12.7839633,,,
800,12.6856737,,,
800,12.7089426,,,
800,12.7325967,,,
800,12.7293019,,,
800,12.7954126,,,
800,12.6876753,,,
800,12.7084456,,,
800,12.7078884,,,
800,12.8284757,,,
800,12.6168624,,,
800,12.7229172,,,
800,12.8246133,,,
800,12.7025275,,,
800,12.6029383,,,
800,12.6410075,,,
800,12.7236924,,,
800,12.7115567,,,
800,13.2708384,,,
800,12.7145631,,,
800,13.1244244,,,
800,12.8857961,,,
800,12.8604236,,,
800,12.901425,,,
800,12.9344965,,,
800,12.8682942,,,
800,12.896275,,,
800,12.8275701,,,
800,12.6537792,,,
800,12.7021598,,,
800,12.711439,,,
800,12.6594476,,,
800,12.7247327,,,
800,12.6790228,,,
800,12.602089,,,
800,12.6645487,,,
800,12.7012837,,,
800,12.6937177,,,
800,12.685783,,,
800,12.7599948,,,
800,12.7092092,,,
800,12.5575295,,,
800,12.6250561,,,
800,12.6024787,,,
800,12.7516143,,,
800,12.7344438,,,
800,12.6716387,,,
800,12.719655,,,
800,12.5780287,,,
800,12.7373922,,,
800,12.7391466,,,
800,12.5294655,,,
800,12.5903202,,,
800,13.1252329,,,
800,13.1051092,,,
800,12.6617798,,,
800,12.7190002,,,
800,12.6342361,,,
800,12.7118578,,,
800,12.7315945,,,
800,12.738598,,,
800,12.7664114,,,
800,12.7145522,,,
800,13.097058,,,
800,12.6331415,,,
800,12.703278,,,
800,12.6747805,,,
800,12.6882424,,,
800,12.6582064,,,
800,12.6712787,,,
800,12.6566658,,,
800,12.7539084,,,
800,12.6150055,,,
800,12.7425148,,,
800,12.6052802,,,
800,12.7073802,,,
800,12.6741503,,,
800,12.6826059,,,
800,12.6608086,,,
800,12.7190744,,,
800,12.6868842,,,
800,12.6256627,,,
800,12.638374,,,
800,12.7409962,,,
