Max Component Size,Compute Time (s),partition_lgraph_spectral,,,,
4000,6.1951731,,4000,6.227838819,,4000
4000,6.3546196,,,,,
4000,6.190249,,,,,
4000,6.2154888,,,,,
4000,6.1181517,,,,,
4000,6.1930756,,,,,
4000,6.3740404,,,,,
4000,6.2160609,,,,,
4000,6.1643056,,,,,
4000,6.4004931,,,,,
4000,6.1535046,,,,,
4000,6.1738325,,,,,
4000,6.1604191,,,,,
4000,6.2288779,,,,,
4000,6.2140182,,,,,
4000,6.1405546,,,,,
4000,6.4451807,,,,,
4000,6.1404681,,,,,
4000,6.1415581,,,,,
4000,6.2018335,,,,,
4000,6.1965337,,,,,
4000,6.1921556,,,,,
4000,6.1141418,,,,,
4000,6.2831553,,,,,
4000,6.1982901,,,,,
4000,6.2304892,,,,,
4000,6.1679708,,,,,
4000,6.1856594,,,,,
4000,6.1827265,,,,,
4000,6.1435849,,,,,
4000,6.1802173,,,,,
4000,6.4126008,,,,,
4000,6.1957557,,,,,
4000,6.1606126,,,,,
4000,6.1668176,,,,,
4000,6.3348682,,,,,
4000,6.3028789,,,,,
4000,6.1811223,,,,,
4000,6.4981169,,,,,
4000,6.1605977,,,,,
4000,6.1480749,,,,,
4000,6.1510776,,,,,
4000,6.2017831,,,,,
4000,6.1412221,,,,,
4000,6.1466547,,,,,
4000,6.1793793,,,,,
4000,6.3499244,,,,,
4000,6.2281514,,,,,
4000,6.1805817,,,,,
4000,6.1837756,,,,,
4000,6.1191819,,,,,
4000,6.1109388,,,,,
4000,6.2156672,,,,,
4000,6.5976505,,,,,
4000,6.1902952,,,,,
4000,6.2052361,,,,,
4000,6.187514,,,,,
4000,6.167788,,,,,
4000,6.1828181,,,,,
4000,6.1347986,,,,,
4000,6.3272262,,,,,
4000,6.1946304,,,,,
4000,6.1782578,,,,,
4000,6.2812612,,,,,
4000,6.1674876,,,,,
4000,6.1084224,,,,,
4000,6.2452577,,,,,
4000,6.2286891,,,,,
4000,6.4023318,,,,,
4000,6.3228957,,,,,
4000,6.2088276,,,,,
4000,6.2919292,,,,,
4000,6.1562009,,,,,
4000,6.1654828,,,,,
4000,6.1631222,,,,,
4000,6.4536042,,,,,
4000,6.3448032,,,,,
4000,6.2510776,,,,,
4000,6.2537053,,,,,
4000,6.1433051,,,,,
4000,6.2097586,,,,,
4000,6.2024046,,,,,
4000,6.3437992,,,,,
4000,6.1685271,,,,,
4000,6.269968,,,,,
4000,6.1829514,,,,,
4000,6.1733432,,,,,
4000,6.2190493,,,,,
4000,6.1659974,,,,,
4000,6.1989654,,,,,
4000,6.404101,,,,,
4000,6.1827627,,,,,
4000,6.1941202,,,,,
4000,6.2515184,,,,,
4000,6.2386603,,,,,
4000,6.161551,,,,,
4000,6.1745,,,,,
4000,6.4916016,,,,,
4000,6.1697302,,,,,
4000,6.1147987,,,,,
4000,6.2955993,,,,,
4000,6.1400636,,,,,
4000,6.2291886,,,,,
4000,6.1965785,,,,,
4000,6.2934396,,,,,
4000,6.2557007,,,,,
4000,6.1725508,,,,,
4000,6.2317095,,,,,
4000,6.3413829,,,,,
4000,6.1752867,,,,,
4000,6.1977607,,,,,
4000,6.2759481,,,,,
4000,6.4665803,,,,,
4000,6.1833301,,,,,
4000,6.1285273,,,,,
4000,6.1248173,,,,,
4000,6.1473513,,,,,
4000,6.1691014,,,,,
4000,6.2648524,,,,,
4000,6.5833171,,,,,
4000,6.100278,,,,,
4000,6.1556188,,,,,
4000,6.1966334,,,,,
4000,6.2375318,,,,,
4000,6.2452885,,,,,
4000,6.189415,,,,,
