Max Component Size,Compute Time (s),partition_lgraph_louvain,,,,
100,0.3232979,,100,0.356260946,,100
100,0.3648476,,,,,
100,0.3665634,,,,,
100,0.3203456,,,,,
100,0.359812,,,,,
100,0.3633646,,,,,
100,0.365098,,,,,
100,0.3239273,,,,,
100,0.3619486,,,,,
100,0.3681929,,,,,
100,0.3658624,,,,,
100,0.3657008,,,,,
100,0.3335636,,,,,
100,0.3629001,,,,,
100,0.357329,,,,,
100,0.3601327,,,,,
100,0.3187867,,,,,
100,0.3661684,,,,,
100,0.3230154,,,,,
100,0.359121,,,,,
100,0.359718,,,,,
100,0.3647367,,,,,
100,0.3217916,,,,,
100,0.3651283,,,,,
100,0.3647186,,,,,
100,0.3610564,,,,,
100,0.3631303,,,,,
100,0.3661169,,,,,
100,0.3640717,,,,,
100,0.3229611,,,,,
100,0.363385,,,,,
100,0.3662151,,,,,
100,0.3647175,,,,,
100,0.3235721,,,,,
100,0.3647608,,,,,
100,0.3662545,,,,,
100,0.3232672,,,,,
100,0.36762,,,,,
100,0.3683818,,,,,
100,0.3404022,,,,,
100,0.3681229,,,,,
100,0.3642712,,,,,
100,0.3600682,,,,,
100,0.3646299,,,,,
100,0.361401,,,,,
100,0.3630884,,,,,
100,0.3209022,,,,,
100,0.3259048,,,,,
100,0.365256,,,,,
100,0.3631374,,,,,
100,0.3217673,,,,,
100,0.367949,,,,,
100,0.3691365,,,,,
100,0.3648956,,,,,
100,0.3618773,,,,,
100,0.3678681,,,,,
100,0.3669818,,,,,
100,0.3181444,,,,,
100,0.3191991,,,,,
100,0.3688085,,,,,
100,0.3627269,,,,,
100,0.363493,,,,,
100,0.3633696,,,,,
100,0.3627992,,,,,
100,0.3655508,,,,,
100,0.3398084,,,,,
100,0.3253534,,,,,
100,0.3718363,,,,,
100,0.369527,,,,,
100,0.329032,,,,,
100,0.3603166,,,,,
100,0.3557163,,,,,
100,0.3221779,,,,,
100,0.3617551,,,,,
100,0.3622416,,,,,
100,0.3563981,,,,,
100,0.3603087,,,,,
100,0.3645056,,,,,
100,0.3184636,,,,,
100,0.3224793,,,,,
100,0.3640495,,,,,
100,0.3643099,,,,,
100,0.357836,,,,,
100,0.3642082,,,,,
100,0.3722406,,,,,
100,0.3670594,,,,,
100,0.3246385,,,,,
100,0.36584,,,,,
100,0.3584652,,,,,
100,0.405382,,,,,
100,0.36501,,,,,
100,0.3627743,,,,,
100,0.3746043,,,,,
100,0.363429,,,,,
100,0.4077009,,,,,
100,0.3627473,,,,,
100,0.3649773,,,,,
100,0.3238065,,,,,
100,0.3608263,,,,,
100,0.3627507,,,,,
100,0.3599864,,,,,
100,0.3238741,,,,,
100,0.3644217,,,,,
100,0.3653311,,,,,
100,0.3198993,,,,,
100,0.3745966,,,,,
100,0.4081485,,,,,
100,0.3621347,,,,,
100,0.3640321,,,,,
100,0.3661639,,,,,
100,0.3639578,,,,,
100,0.3185548,,,,,
100,0.3205424,,,,,
100,0.3677058,,,,,
100,0.3673623,,,,,
100,0.3223328,,,,,
100,0.3641337,,,,,
100,0.3630075,,,,,
100,0.3229918,,,,,
100,0.3789831,,,,,
100,0.3624504,,,,,
100,0.3638754,,,,,
100,0.3283332,,,,,
100,0.3732422,,,,,
100,0.364648,,,,,
100,0.3207559,,,,,
100,0.36653,,,,,
100,0.3205811,,,,,
100,0.363444,,,,,
100,0.4075574,,,,,
100,0.3240151,,,,,
100,0.3638354,,,,,
100,0.3628586,,,,,
100,0.3629068,,,,,
100,0.3247408,,,,,
100,0.360721,,,,,
100,0.3649675,,,,,
100,0.365011,,,,,
100,0.3623357,,,,,
100,0.3211672,,,,,
100,0.3623318,,,,,
100,0.3612361,,,,,
100,0.3613389,,,,,
100,0.327405,,,,,
100,0.3711846,,,,,
100,0.3856979,,,,,
100,0.3240775,,,,,
100,0.3640138,,,,,
100,0.3639627,,,,,
100,0.3612566,,,,,
100,0.3648356,,,,,
100,0.3640679,,,,,
100,0.3662707,,,,,
100,0.3241668,,,,,
100,0.3620027,,,,,
100,0.3598314,,,,,
100,0.3635561,,,,,
100,0.3178548,,,,,
100,0.3644779,,,,,
100,0.3705266,,,,,
100,0.3609708,,,,,
100,0.3625297,,,,,
100,0.3589676,,,,,
100,0.3590697,,,,,
100,0.3265784,,,,,
100,0.3655421,,,,,
100,0.3596612,,,,,
100,0.3671261,,,,,
100,0.3654955,,,,,
100,0.3204097,,,,,
100,0.3645143,,,,,
100,0.371143,,,,,
100,0.3675131,,,,,
100,0.322501,,,,,
100,0.3675895,,,,,
100,0.3608512,,,,,
100,0.3236495,,,,,
100,0.3681091,,,,,
100,0.3221222,,,,,
100,0.3618272,,,,,
100,0.3675714,,,,,
100,0.3225873,,,,,
100,0.3619772,,,,,
100,0.361029,,,,,
100,0.3604837,,,,,
100,0.3239868,,,,,
100,0.3704818,,,,,
100,0.3995962,,,,,
100,0.4056172,,,,,
100,0.367765,,,,,
100,0.317113,,,,,
100,0.3666035,,,,,
100,0.4056262,,,,,
100,0.3664273,,,,,
100,0.3656331,,,,,
100,0.3658976,,,,,
100,0.3656899,,,,,
100,0.3683163,,,,,
100,0.3693537,,,,,
100,0.3761208,,,,,
