Max Component Size,Compute Time (s),partition_lgraph_louvain,,
400,6.3532023,,400,6.461646081
400,6.471059,,,
400,6.4608338,,,
400,6.698243,,,
400,6.5176836,,,
400,6.7153907,,,
400,6.5191117,,,
400,6.4886285,,,
400,6.397851,,,
400,6.4913083,,,
400,6.4534276,,,
400,6.4278665,,,
400,6.6332957,,,
400,6.3801758,,,
400,6.1124577,,,
400,6.7421676,,,
400,6.3938493,,,
400,6.2475039,,,
400,6.5111696,,,
400,6.4477516,,,
400,6.4200946,,,
400,6.7288241,,,
400,6.4431342,,,
400,6.485375,,,
400,6.6874342,,,
400,6.4536824,,,
400,6.1718643,,,
400,6.6145484,,,
400,6.3788626,,,
400,6.4046655,,,
400,6.6523982,,,
400,6.4056628,,,
400,6.7151385,,,
400,6.4348395,,,
400,6.1682635,,,
400,6.6836056,,,
400,6.4565147,,,
400,6.3776505,,,
400,6.6353654,,,
400,6.4209651,,,
400,6.7089591,,,
400,6.4120291,,,
400,6.3588062,,,
400,6.4523866,,,
400,6.3750234,,,
400,6.4691131,,,
400,6.7504016,,,
400,6.4488552,,,
400,6.4128026,,,
400,6.4244501,,,
400,6.4526341,,,
400,6.454267,,,
400,6.4900211,,,
400,6.354009,,,
400,6.5846029,,,
400,6.4734302,,,
400,6.5236349,,,
400,6.4990979,,,
400,6.4861102,,,
400,6.2245786,,,
400,6.4753771,,,
400,6.4338587,,,
400,6.4236504,,,
400,6.4541092,,,
400,6.4207693,,,
400,6.4581778,,,
400,6.4853412,,,
400,6.4525354,,,
400,6.4342921,,,
400,6.4610188,,,
400,6.7046927,,,
400,6.4373906,,,
400,6.4092472,,,
400,6.6115949,,,
400,6.4495404,,,
400,6.1740985,,,
400,6.4518619,,,
400,6.4514489,,,
400,6.5623216,,,
400,6.7192196,,,
400,6.4887462,,,
400,6.1541905,,,
400,6.5078295,,,
400,6.4430116,,,
400,6.408382,,,
400,6.4347804,,,
400,6.6704514,,,
400,6.3694224,,,
400,6.2252992,,,
400,6.6449083,,,
400,6.4970146,,,
400,6.457573,,,
400,6.3745181,,,
400,6.3669852,,,
400,6.6523921,,,
400,6.3839733,,,
400,6.1773422,,,
400,6.3999987,,,
400,6.5198666,,,
400,6.4414248,,,
400,6.5136065,,,
400,6.5105485,,,
400,6.4195345,,,
400,6.6623048,,,
400,6.3568649,,,
400,6.091458,,,
400,6.4163459,,,
400,6.6346502,,,
400,6.45428,,,
400,6.6946813,,,
400,6.5584069,,,
400,6.4164705,,,
400,6.4896926,,,
400,6.4794324,,,
400,6.4385423,,,
400,6.4651447,,,
400,6.6867101,,,
400,6.5539304,,,
400,6.4810469,,,
400,6.4350563,,,
400,6.4707899,,,
400,6.4229382,,,
400,6.5148976,,,
400,6.4596721,,,
400,6.4353365,,,
400,6.172216,,,
400,6.6286014,,,
400,6.4620617,,,
400,6.4172746,,,
400,6.6407585,,,
400,6.536978,,,
400,6.4400163,,,
400,6.5262379,,,
400,6.1955289,,,
400,6.4146747,,,
400,6.4818873,,,
400,6.4011362,,,
400,6.4556505,,,
400,6.4506211,,,
400,6.3844824,,,
400,6.4814734,,,
400,6.4723611,,,
400,6.5278669,,,
400,6.4311983,,,
400,6.4208558,,,
400,6.4378069,,,
400,6.4850148,,,
400,6.531791,,,
400,6.1083866,,,
400,6.679146,,,
400,6.4836089,,,
400,6.4613561,,,
400,6.4471498,,,
400,6.6609492,,,
400,6.3567863,,,
400,6.3573811,,,
400,6.4682054,,,
400,6.1351044,,,
400,6.3920642,,,
400,6.4704493,,,
400,6.4646686,,,
400,6.3824096,,,
400,6.6709446,,,
400,6.4313773,,,
400,6.4351761,,,
400,6.5630149,,,
400,6.4901626,,,
400,6.461604,,,
400,6.3838906,,,
400,6.3712614,,,
400,6.1575688,,,
400,6.3917322,,,
400,6.5488756,,,
400,6.4625766,,,
400,6.1499798,,,
400,6.6796261,,,
400,6.4907988,,,
400,6.3719751,,,
400,6.4056614,,,
400,6.1439617,,,
400,6.6985196,,,
400,6.4784963,,,
400,6.1113825,,,
400,6.4581978,,,
400,6.4256877,,,
400,6.4537005,,,
400,6.4591554,,,
400,6.3885396,,,
400,6.3732863,,,
400,6.6951864,,,
400,6.3845233,,,
400,6.4391249,,,
400,6.6883903,,,
400,6.5427636,,,
400,6.6744131,,,
400,6.468371,,,
400,6.7319314,,,
400,6.4704012,,,
400,6.415961,,,
400,6.3887598,,,
