Max Component Size,Compute Time (s),runScen2_2Random,,,,
16000,0.140317,,15926,0.151204933,,12400
16000,0.1378508,,,,,
16000,0.1404858,,,,,
15600,0.1372456,,,,,
16000,0.1415322,,,,,
16000,0.1359568,,,,,
16000,0.1338648,,,,,
16000,0.1395447,,,,,
15200,0.1359983,,,,,
16000,0.1405345,,,,,
16000,0.1387718,,,,,
16000,0.1406216,,,,,
14400,0.2147836,,,,,
16000,0.1355724,,,,,
16000,0.1402078,,,,,
16000,0.2221034,,,,,
16000,0.138449,,,,,
16000,0.1383316,,,,,
16000,0.2251664,,,,,
16000,0.1399054,,,,,
16000,0.1453798,,,,,
16000,0.2210371,,,,,
16000,0.1385295,,,,,
16000,0.1392191,,,,,
16000,0.2227623,,,,,
16000,0.1406327,,,,,
16000,0.1406179,,,,,
16000,0.140987,,,,,
16000,0.141846,,,,,
16000,0.1377332,,,,,
16000,0.1390242,,,,,
16000,0.1421849,,,,,
16000,0.1395875,,,,,
16000,0.135105,,,,,
16000,0.1397824,,,,,
16000,0.1429576,,,,,
16000,0.1418894,,,,,
16000,0.1340766,,,,,
16000,0.1338403,,,,,
14400,0.1313274,,,,,
16000,0.1409783,,,,,
16000,0.1361573,,,,,
16000,0.142924,,,,,
16000,0.1439465,,,,,
16000,0.1426496,,,,,
16000,0.1361465,,,,,
16000,0.2265529,,,,,
16000,0.1393956,,,,,
16000,0.1316668,,,,,
16000,0.227007,,,,,
16000,0.1403389,,,,,
16000,0.1330817,,,,,
16000,0.2281958,,,,,
16000,0.1419115,,,,,
16000,0.1392162,,,,,
16000,0.2277872,,,,,
16000,0.1425029,,,,,
16000,0.1390944,,,,,
16000,0.2219235,,,,,
16000,0.1355864,,,,,
16000,0.1410555,,,,,
16000,0.1377141,,,,,
16000,0.1356399,,,,,
16000,0.1379207,,,,,
16000,0.1388785,,,,,
16000,0.1422094,,,,,
16000,0.1437585,,,,,
16000,0.1409262,,,,,
16000,0.1408825,,,,,
16000,0.1404118,,,,,
16000,0.1418376,,,,,
16000,0.1393586,,,,,
16000,0.1372649,,,,,
16000,0.1397683,,,,,
16000,0.1476105,,,,,
16000,0.1429598,,,,,
16000,0.1368538,,,,,
16000,0.1369017,,,,,
16000,0.1374922,,,,,
16000,0.1396998,,,,,
16000,0.2260387,,,,,
16000,0.1402497,,,,,
16000,0.1379904,,,,,
16000,0.2260329,,,,,
16000,0.135716,,,,,
16000,0.1389909,,,,,
16000,0.2248336,,,,,
16000,0.1376984,,,,,
16000,0.1405904,,,,,
16000,0.2263925,,,,,
16000,0.1356906,,,,,
16000,0.1372067,,,,,
16000,0.2320208,,,,,
16000,0.1354855,,,,,
16000,0.1366516,,,,,
16000,0.1392971,,,,,
16000,0.1401902,,,,,
16000,0.1436514,,,,,
16000,0.138077,,,,,
16000,0.1352342,,,,,
16000,0.1350094,,,,,
16000,0.1368465,,,,,
16000,0.1431098,,,,,
16000,0.1346944,,,,,
16000,0.1380917,,,,,
16000,0.1393165,,,,,
16000,0.1414402,,,,,
16000,0.1359244,,,,,
15200,0.1371374,,,,,
16000,0.136152,,,,,
15600,0.1376588,,,,,
16000,0.1411425,,,,,
16000,0.134975,,,,,
12400,0.1267461,,,,,
16000,0.2208758,,,,,
16000,0.137769,,,,,
16000,0.1387754,,,,,
16000,0.2197268,,,,,
16000,0.1365811,,,,,
16000,0.1412773,,,,,
16000,0.2235403,,,,,
16000,0.1362189,,,,,
16000,0.1411659,,,,,
16000,0.2238328,,,,,
16000,0.1388339,,,,,
16000,0.1414158,,,,,
16000,0.2223658,,,,,
16000,0.1394622,,,,,
16000,0.1408481,,,,,
16000,0.1334117,,,,,
16000,0.1330484,,,,,
16000,0.1342213,,,,,
16000,0.1365227,,,,,
16000,0.1392024,,,,,
16000,0.1382894,,,,,
16000,0.1352513,,,,,
16000,0.1401366,,,,,
16000,0.1398245,,,,,
16000,0.1380401,,,,,
16000,0.1415212,,,,,
16000,0.1345068,,,,,
