Max Component Size,Compute Time (s),runScen2_2Random,,
1600,0.0286546,,1600,0.024842404
1600,0.0219846,,,
1600,0.0216418,,,
1600,0.0224629,,,
1600,0.0225033,,,
1600,0.0229306,,,
1600,0.0219857,,,
1600,0.0227257,,,
1600,0.0228465,,,
1600,0.0222168,,,
1600,0.022798,,,
1600,0.022904,,,
1600,0.0221828,,,
1600,0.0578837,,,
1600,0.022241,,,
1600,0.0224257,,,
1600,0.0223656,,,
1600,0.0561908,,,
1600,0.0221231,,,
1600,0.0226533,,,
1600,0.0232977,,,
1600,0.022965,,,
1600,0.022619,,,
1600,0.0218647,,,
1600,0.0225223,,,
1600,0.0226312,,,
1600,0.022869,,,
1600,0.0227396,,,
1600,0.0231446,,,
1600,0.0223912,,,
1600,0.022626,,,
1600,0.0218991,,,
1600,0.0222559,,,
1600,0.0220998,,,
1600,0.0226174,,,
1600,0.0220966,,,
1600,0.0218887,,,
1600,0.0234954,,,
1600,0.0223285,,,
1600,0.0230902,,,
1600,0.0220198,,,
1600,0.0244659,,,
1600,0.0223039,,,
1600,0.0225923,,,
1600,0.0567956,,,
1600,0.0224215,,,
1600,0.0223066,,,
1600,0.022547,,,
1600,0.0571231,,,
1600,0.0226993,,,
1600,0.0222724,,,
1600,0.0239115,,,
1600,0.0218381,,,
1600,0.0224299,,,
1600,0.0231422,,,
1600,0.0221465,,,
1600,0.0222977,,,
1600,0.0218334,,,
1600,0.02254,,,
1600,0.0239977,,,
1600,0.0224466,,,
1600,0.0227109,,,
1600,0.0229477,,,
1600,0.022205,,,
1600,0.0218459,,,
1600,0.0227128,,,
1600,0.022638,,,
1600,0.0221269,,,
1600,0.0228201,,,
1600,0.0224279,,,
1600,0.0219888,,,
1600,0.0220951,,,
1600,0.0241102,,,
1600,0.0221002,,,
1600,0.021887,,,
1600,0.0586383,,,
1600,0.0223189,,,
1600,0.0229319,,,
1600,0.0223251,,,
1600,0.0561689,,,
1600,0.0223173,,,
1600,0.0223001,,,
1600,0.0229291,,,
1600,0.0221172,,,
1600,0.0220434,,,
1600,0.0219579,,,
1600,0.0221499,,,
1600,0.0232337,,,
1600,0.0218532,,,
1600,0.022521,,,
1600,0.0222577,,,
1600,0.0224366,,,
1600,0.0230443,,,
1600,0.0236181,,,
1600,0.0223,,,
1600,0.0223218,,,
1600,0.0225575,,,
1600,0.022146,,,
1600,0.0219473,,,
1600,0.0225657,,,
1600,0.022264,,,
1600,0.0226498,,,
1600,0.0219076,,,
1600,0.022369,,,
1600,0.0219586,,,
1600,0.0225847,,,
1600,0.0576294,,,
1600,0.0221515,,,
1600,0.0225712,,,
1600,0.0225221,,,
1600,0.0573122,,,
1600,0.0219554,,,
1600,0.0227269,,,
1600,0.0229264,,,
1600,0.0225861,,,
1600,0.0234149,,,
1600,0.0230336,,,
1600,0.0225084,,,
1600,0.0230194,,,
1600,0.0226259,,,
1600,0.0232195,,,
1600,0.0220883,,,
1600,0.0219795,,,
1600,0.0226828,,,
1600,0.0227357,,,
1600,0.0218665,,,
1600,0.0225061,,,
1600,0.0225971,,,
1600,0.0222046,,,
1600,0.0230056,,,
1600,0.023047,,,
1600,0.0224073,,,
1600,0.0224312,,,
1600,0.021959,,,
1600,0.0233733,,,
1600,0.0224163,,,
1600,0.0226255,,,
1600,0.0566203,,,
1600,0.0222211,,,
1600,0.0226641,,,
1600,0.0221751,,,
1600,0.056342,,,
1600,0.024494,,,
1600,0.0226542,,,
1600,0.0235295,,,
1600,0.022686,,,
1600,0.0227152,,,
1600,0.0229036,,,
1600,0.0232555,,,
1600,0.0235695,,,
1600,0.0222781,,,
1600,0.0227583,,,
1600,0.0223443,,,
1600,0.0220518,,,
1600,0.0231604,,,
1600,0.0226735,,,
1600,0.023244,,,
1600,0.0222036,,,
1600,0.0232327,,,
1600,0.0225052,,,
1600,0.0224894,,,
1600,0.0238514,,,
1600,0.0222736,,,
1600,0.0221384,,,
1600,0.0236697,,,
1600,0.022822,,,
1600,0.022265,,,
1600,0.0223566,,,
1600,0.056967,,,
1600,0.0222206,,,
1600,0.0228758,,,
1600,0.0235224,,,
1600,0.0563858,,,
1600,0.0232679,,,
1600,0.0218396,,,
1600,0.0225468,,,
1600,0.022627,,,
1600,0.0224803,,,
1600,0.0226728,,,
1600,0.0222093,,,
1600,0.0222992,,,
1600,0.022614,,,
1600,0.0232976,,,
1600,0.0225867,,,
1600,0.0221523,,,
1600,0.0232617,,,
1600,0.0217923,,,
1600,0.0225042,,,
1600,0.0222365,,,
1600,0.0222765,,,
1600,0.0219413,,,
1600,0.0241407,,,
1600,0.0225935,,,
1600,0.0222933,,,
1600,0.0218251,,,
1600,0.0224567,,,
1600,0.0226864,,,
1600,0.0223353,,,
1600,0.0220666,,,
1600,0.0585843,,,
