Max Component Size,Compute Time (s),runScen2_2Random,,,,
25,0.0004157,,24.645,0.000421607,,15
17,0.0003494,,,,,
25,0.0003591,,,,,
25,0.0004215,,,,,
25,0.0005943,,,,,
25,0.0003959,,,,,
15,0.0003739,,,,,
25,0.0003982,,,,,
25,0.0006823,,,,,
25,0.0003872,,,,,
25,0.0003723,,,,,
25,0.0004179,,,,,
25,0.0004247,,,,,
25,0.0004608,,,,,
25,0.0003979,,,,,
15,0.0003806,,,,,
15,0.0003616,,,,,
25,0.0004032,,,,,
25,0.0004388,,,,,
25,0.0003812,,,,,
25,0.000385,,,,,
25,0.0004001,,,,,
25,0.0004046,,,,,
25,0.0003778,,,,,
17,0.0003594,,,,,
25,0.0003963,,,,,
25,0.0003706,,,,,
25,0.0003872,,,,,
25,0.0004047,,,,,
25,0.0003877,,,,,
25,0.0003945,,,,,
25,0.00041,,,,,
25,0.0003779,,,,,
25,0.0004045,,,,,
25,0.0004126,,,,,
25,0.000392,,,,,
25,0.0003963,,,,,
25,0.0004013,,,,,
25,0.0003837,,,,,
25,0.0004226,,,,,
25,0.0006299,,,,,
25,0.0003704,,,,,
25,0.000401,,,,,
25,0.0003827,,,,,
25,0.0003546,,,,,
25,0.0003782,,,,,
25,0.0003853,,,,,
25,0.0003881,,,,,
25,0.0004019,,,,,
25,0.0003982,,,,,
25,0.0004008,,,,,
25,0.0003688,,,,,
25,0.0003595,,,,,
25,0.0003613,,,,,
25,0.000356,,,,,
25,0.0003956,,,,,
25,0.0003585,,,,,
25,0.0004683,,,,,
25,0.0003668,,,,,
25,0.0003828,,,,,
25,0.0004153,,,,,
25,0.0004867,,,,,
25,0.0003768,,,,,
25,0.0003933,,,,,
25,0.000364,,,,,
17,0.0003599,,,,,
25,0.0004017,,,,,
25,0.0003707,,,,,
25,0.0003499,,,,,
25,0.0003734,,,,,
25,0.0003858,,,,,
25,0.000377,,,,,
25,0.0003566,,,,,
25,0.0003693,,,,,
25,0.0004037,,,,,
25,0.000371,,,,,
25,0.0006518,,,,,
25,0.0003793,,,,,
25,0.0003857,,,,,
25,0.0003514,,,,,
17,0.0003627,,,,,
25,0.0004117,,,,,
25,0.0003888,,,,,
25,0.0004045,,,,,
25,0.0005355,,,,,
25,0.0004091,,,,,
25,0.0003999,,,,,
25,0.0003983,,,,,
25,0.0004008,,,,,
25,0.0003914,,,,,
25,0.0004052,,,,,
25,0.0004102,,,,,
25,0.000469,,,,,
25,0.0004114,,,,,
25,0.0004052,,,,,
25,0.0004621,,,,,
25,0.0004267,,,,,
25,0.0003699,,,,,
25,0.0003725,,,,,
25,0.0004,,,,,
25,0.0004555,,,,,
25,0.0003959,,,,,
25,0.000391,,,,,
25,0.0004081,,,,,
25,0.0003746,,,,,
25,0.0003796,,,,,
25,0.0003643,,,,,
25,0.0003747,,,,,
25,0.0006155,,,,,
25,0.0003593,,,,,
25,0.0003902,,,,,
25,0.0004102,,,,,
25,0.000403,,,,,
25,0.0004245,,,,,
25,0.0003925,,,,,
25,0.0003975,,,,,
25,0.0003866,,,,,
25,0.0004166,,,,,
25,0.0004031,,,,,
25,0.0004154,,,,,
25,0.0003966,,,,,
25,0.0005915,,,,,
25,0.0004613,,,,,
25,0.0003719,,,,,
25,0.0004033,,,,,
25,0.00056,,,,,
25,0.0004071,,,,,
25,0.0004097,,,,,
25,0.0003802,,,,,
25,0.0004005,,,,,
25,0.000387,,,,,
25,0.0004037,,,,,
25,0.0003863,,,,,
25,0.0004032,,,,,
25,0.0004501,,,,,
25,0.0003883,,,,,
25,0.0004083,,,,,
25,0.0003801,,,,,
25,0.0005449,,,,,
25,0.0004222,,,,,
25,0.0004365,,,,,
25,0.0004814,,,,,
25,0.0004286,,,,,
25,0.0010194,,,,,
25,0.0004876,,,,,
25,0.0003901,,,,,
25,0.0022005,,,,,
25,0.0004243,,,,,
25,0.0004113,,,,,
25,0.0006111,,,,,
25,0.0004227,,,,,
25,0.0003897,,,,,
25,0.0004449,,,,,
25,0.0004168,,,,,
21,0.0005883,,,,,
25,0.000383,,,,,
25,0.0003796,,,,,
25,0.0003805,,,,,
25,0.0003873,,,,,
25,0.0003889,,,,,
25,0.0003754,,,,,
25,0.000396,,,,,
25,0.0004069,,,,,
25,0.0003986,,,,,
25,0.000415,,,,,
25,0.0004952,,,,,
25,0.0003755,,,,,
25,0.0004295,,,,,
25,0.0005264,,,,,
25,0.0003965,,,,,
25,0.0004135,,,,,
25,0.0003957,,,,,
25,0.0003871,,,,,
25,0.0003877,,,,,
25,0.0003731,,,,,
25,0.000559,,,,,
25,0.0004072,,,,,
25,0.0003888,,,,,
25,0.0003957,,,,,
25,0.0004113,,,,,
25,0.0003744,,,,,
25,0.0003835,,,,,
25,0.000362,,,,,
25,0.00039,,,,,
25,0.0004234,,,,,
25,0.0003609,,,,,
25,0.0003883,,,,,
25,0.0003975,,,,,
25,0.0004014,,,,,
25,0.0003608,,,,,
25,0.0003792,,,,,
25,0.000382,,,,,
20,0.0003655,,,,,
25,0.0003532,,,,,
25,0.0004,,,,,
25,0.0003825,,,,,
25,0.0003864,,,,,
25,0.000387,,,,,
25,0.0003904,,,,,
25,0.0005798,,,,,
