Max Component Size,Compute Time (s),runScen2_2Random,,
800,0.011023,,800,0.011126569
800,0.0138793,,,
800,0.0121939,,,
800,0.0120645,,,
800,0.0107334,,,
800,0.0120695,,,
800,0.0117185,,,
800,0.0109757,,,
800,0.0145449,,,
800,0.011685,,,
800,0.0106068,,,
800,0.0111565,,,
800,0.0125017,,,
800,0.0106901,,,
800,0.0112853,,,
800,0.0110943,,,
800,0.0109497,,,
800,0.0110349,,,
800,0.011097,,,
800,0.0143148,,,
800,0.0130891,,,
800,0.0109788,,,
800,0.0134911,,,
800,0.0131131,,,
800,0.0112583,,,
800,0.0108587,,,
800,0.0158624,,,
800,0.0111796,,,
800,0.0108978,,,
800,0.0116228,,,
800,0.0114154,,,
800,0.0107144,,,
800,0.0107106,,,
800,0.0109929,,,
800,0.010774,,,
800,0.0111077,,,
800,0.0108112,,,
800,0.0111137,,,
800,0.010928,,,
800,0.0110602,,,
800,0.0109398,,,
800,0.0110375,,,
800,0.0106281,,,
800,0.0111482,,,
800,0.0118182,,,
800,0.0104083,,,
800,0.0109153,,,
800,0.010843,,,
800,0.0108073,,,
800,0.012085,,,
800,0.0120238,,,
800,0.0110797,,,
800,0.0109882,,,
800,0.010883,,,
800,0.0111478,,,
800,0.0110222,,,
800,0.0113753,,,
800,0.0108615,,,
800,0.0113463,,,
800,0.0107412,,,
800,0.0109533,,,
800,0.0110986,,,
800,0.0107853,,,
800,0.0106816,,,
800,0.01078,,,
800,0.0106278,,,
800,0.0108845,,,
800,0.0109652,,,
800,0.0108419,,,
800,0.0110925,,,
800,0.0109159,,,
800,0.0109117,,,
800,0.0103978,,,
800,0.0107611,,,
800,0.0108545,,,
800,0.010646,,,
800,0.0106886,,,
800,0.0111621,,,
800,0.011025,,,
800,0.0107902,,,
800,0.0111116,,,
800,0.0113898,,,
800,0.0107985,,,
800,0.0113719,,,
800,0.0108457,,,
800,0.010702,,,
800,0.0108233,,,
800,0.0117151,,,
800,0.0109062,,,
800,0.0108053,,,
800,0.0102001,,,
800,0.0111221,,,
800,0.0113664,,,
800,0.0107996,,,
800,0.0108652,,,
800,0.0107178,,,
800,0.0111929,,,
800,0.0111649,,,
800,0.0108199,,,
800,0.0108367,,,
800,0.0105559,,,
800,0.0108259,,,
800,0.0110309,,,
800,0.010973,,,
800,0.0108627,,,
800,0.0106704,,,
800,0.0108499,,,
800,0.010916,,,
800,0.0113173,,,
800,0.0105705,,,
800,0.0113198,,,
800,0.0111724,,,
800,0.011094,,,
800,0.0108137,,,
800,0.0107569,,,
800,0.0109235,,,
800,0.010702,,,
800,0.0106894,,,
800,0.0106886,,,
800,0.0110284,,,
800,0.0111459,,,
800,0.0108857,,,
800,0.0107524,,,
800,0.0109047,,,
800,0.0108782,,,
800,0.0107476,,,
800,0.0106901,,,
800,0.01056,,,
800,0.0112831,,,
800,0.0108516,,,
800,0.0109397,,,
800,0.0108921,,,
800,0.011052,,,
800,0.0109288,,,
800,0.0108638,,,
800,0.0115305,,,
800,0.0123243,,,
800,0.0119797,,,
800,0.0107614,,,
800,0.0111132,,,
800,0.0113421,,,
800,0.0110092,,,
800,0.0111766,,,
800,0.0111685,,,
800,0.0109147,,,
800,0.0110213,,,
800,0.010714,,,
800,0.0113394,,,
800,0.0118112,,,
800,0.0111265,,,
800,0.0109009,,,
800,0.0109129,,,
800,0.0111182,,,
800,0.0106504,,,
800,0.0108887,,,
800,0.0116005,,,
800,0.0108919,,,
800,0.0108065,,,
800,0.0109272,,,
800,0.0109242,,,
800,0.0108907,,,
800,0.0109342,,,
800,0.0114492,,,
800,0.0110447,,,
800,0.0113442,,,
800,0.0109548,,,
800,0.010983,,,
800,0.0110561,,,
800,0.0110869,,,
800,0.011293,,,
800,0.0108433,,,
800,0.0110037,,,
800,0.0104045,,,
800,0.0106744,,,
800,0.0109676,,,
800,0.0107,,,
800,0.0111243,,,
800,0.0108163,,,
800,0.0109433,,,
800,0.0112156,,,
800,0.0108491,,,
800,0.010886,,,
800,0.0111743,,,
800,0.0111711,,,
800,0.0108949,,,
800,0.011442,,,
800,0.010306,,,
800,0.0110419,,,
800,0.0108399,,,
800,0.0112672,,,
800,0.0108074,,,
800,0.0113127,,,
800,0.0112041,,,
800,0.0111186,,,
800,0.0107452,,,
800,0.0108959,,,
800,0.0106986,,,
800,0.0108281,,,
800,0.011036,,,
800,0.0108572,,,
