Max Component Size,Compute Time (s),partition_lgraph_louvain,,,,
19,0.004013,,15.59,0.005261346,,5
18,0.0042171,,,,,
11,0.0042299,,,,,
25,0.0044062,,,,,
14,0.005025,,,,,
6,0.0045841,,,,,
6,0.0045608,,,,,
7,0.0034616,,,,,
25,0.0040482,,,,,
7,0.0032611,,,,,
18,0.0041813,,,,,
15,0.0038892,,,,,
12,0.0047272,,,,,
20,0.0038306,,,,,
25,0.0045891,,,,,
21,0.0039828,,,,,
6,0.0047974,,,,,
6,0.0047966,,,,,
13,0.0046462,,,,,
25,0.0034656,,,,,
25,0.0045759,,,,,
13,0.0035225,,,,,
13,0.005053,,,,,
25,0.0038897,,,,,
20,0.0051676,,,,,
11,0.0061329,,,,,
11,0.0038838,,,,,
5,0.0040453,,,,,
8,0.004773,,,,,
14,0.0291791,,,,,
16,0.0061885,,,,,
10,0.0068577,,,,,
25,0.0072532,,,,,
14,0.003916,,,,,
6,0.0065999,,,,,
6,0.005345,,,,,
14,0.0080738,,,,,
18,0.0036878,,,,,
12,0.004808,,,,,
25,0.0048382,,,,,
13,0.0054971,,,,,
19,0.0035859,,,,,
16,0.0041619,,,,,
19,0.0052999,,,,,
11,0.0038068,,,,,
25,0.0058556,,,,,
20,0.0056437,,,,,
12,0.003633,,,,,
19,0.0036395,,,,,
20,0.0040359,,,,,
11,0.005961,,,,,
20,0.0040284,,,,,
9,0.0048718,,,,,
25,0.0062572,,,,,
13,0.0036417,,,,,
20,0.0060941,,,,,
13,0.0061062,,,,,
14,0.0034028,,,,,
13,0.0036287,,,,,
18,0.0031757,,,,,
20,0.0041927,,,,,
25,0.0042632,,,,,
6,0.0071059,,,,,
14,0.0036255,,,,,
6,0.0046213,,,,,
6,0.008003,,,,,
20,0.0037259,,,,,
6,0.0072531,,,,,
14,0.0059191,,,,,
14,0.0049334,,,,,
20,0.0038044,,,,,
14,0.0050296,,,,,
15,0.0047998,,,,,
6,0.0152358,,,,,
18,0.0063442,,,,,
6,0.0081075,,,,,
25,0.003798,,,,,
20,0.0044481,,,,,
8,0.0097862,,,,,
17,0.0050833,,,,,
17,0.0099416,,,,,
14,0.0077778,,,,,
20,0.0054698,,,,,
14,0.0212153,,,,,
5,0.0050793,,,,,
20,0.0068662,,,,,
21,0.0042474,,,,,
6,0.0097775,,,,,
25,0.0092601,,,,,
11,0.0044486,,,,,
9,0.0040002,,,,,
25,0.0044497,,,,,
25,0.0054265,,,,,
5,0.0086509,,,,,
25,0.0049294,,,,,
20,0.0060258,,,,,
10,0.0037125,,,,,
14,0.0039604,,,,,
13,0.0057542,,,,,
12,0.0098005,,,,,
20,0.0047439,,,,,
19,0.005379,,,,,
11,0.0059679,,,,,
6,0.0037403,,,,,
12,0.003528,,,,,
14,0.0036634,,,,,
6,0.0053411,,,,,
25,0.0055667,,,,,
20,0.0039643,,,,,
6,0.0042329,,,,,
25,0.003324,,,,,
6,0.0045581,,,,,
17,0.0062903,,,,,
17,0.0036497,,,,,
14,0.0053347,,,,,
13,0.0047179,,,,,
25,0.0037489,,,,,
19,0.003425,,,,,
25,0.0037118,,,,,
8,0.0051128,,,,,
25,0.0075037,,,,,
6,0.004525,,,,,
18,0.0046985,,,,,
11,0.0051406,,,,,
25,0.0040145,,,,,
13,0.0042098,,,,,
6,0.0055357,,,,,
20,0.0047139,,,,,
6,0.0040169,,,,,
19,0.0036359,,,,,
19,0.0040992,,,,,
12,0.0034324,,,,,
20,0.0037264,,,,,
19,0.003024,,,,,
11,0.0032807,,,,,
25,0.0045882,,,,,
13,0.0091242,,,,,
11,0.0053266,,,,,
11,0.0063315,,,,,
25,0.0055477,,,,,
17,0.0036585,,,,,
25,0.0040629,,,,,
6,0.006009,,,,,
6,0.0035786,,,,,
19,0.0069482,,,,,
6,0.0037325,,,,,
25,0.0039809,,,,,
25,0.0048032,,,,,
20,0.0050973,,,,,
25,0.0034965,,,,,
20,0.0037809,,,,,
15,0.0049621,,,,,
10,0.0065761,,,,,
13,0.0048559,,,,,
20,0.0057157,,,,,
11,0.0036372,,,,,
25,0.0039068,,,,,
19,0.0056959,,,,,
6,0.0042734,,,,,
6,0.0050204,,,,,
18,0.0036982,,,,,
6,0.0051004,,,,,
21,0.003896,,,,,
25,0.0033812,,,,,
20,0.0056609,,,,,
18,0.0285242,,,,,
11,0.0046751,,,,,
25,0.0037457,,,,,
6,0.0037662,,,,,
6,0.0037876,,,,,
25,0.0038956,,,,,
8,0.0035495,,,,,
6,0.0041084,,,,,
25,0.004639,,,,,
19,0.0084414,,,,,
10,0.0061834,,,,,
25,0.0057007,,,,,
25,0.0038485,,,,,
12,0.0053612,,,,,
25,0.0038815,,,,,
14,0.0057639,,,,,
13,0.0045298,,,,,
6,0.0063891,,,,,
13,0.0043987,,,,,
20,0.0039393,,,,,
13,0.0034039,,,,,
25,0.0047031,,,,,
25,0.0039497,,,,,
18,0.0051693,,,,,
11,0.0036228,,,,,
7,0.0042731,,,,,
25,0.0033639,,,,,
17,0.0054898,,,,,
25,0.0035152,,,,,
14,0.0050382,,,,,
19,0.0041247,,,,,
12,0.0053394,,,,,
25,0.0036993,,,,,
13,0.0049966,,,,,
14,0.0047422,,,,,
