Max Component Size,Compute Time (s),partition_lgraph_louvain,,,,
108,0.0272732,,136.29,0.029756506,,11
170,0.0275102,,,,,
200,0.0252796,,,,,
109,0.0249509,,,,,
50,0.0404101,,,,,
61,0.0273033,,,,,
190,0.0568548,,,,,
200,0.0250616,,,,,
190,0.0284376,,,,,
179,0.0388861,,,,,
87,0.0316474,,,,,
190,0.0313571,,,,,
51,0.0392476,,,,,
200,0.0275484,,,,,
200,0.0278437,,,,,
21,0.0381895,,,,,
179,0.02518,,,,,
90,0.0289181,,,,,
111,0.0321668,,,,,
200,0.0244931,,,,,
108,0.0292618,,,,,
89,0.0340276,,,,,
122,0.0247751,,,,,
172,0.0290131,,,,,
118,0.0321229,,,,,
190,0.0564186,,,,,
180,0.0341435,,,,,
200,0.0247592,,,,,
71,0.0245813,,,,,
200,0.0275069,,,,,
189,0.0262133,,,,,
190,0.0291918,,,,,
200,0.0261438,,,,,
70,0.0246221,,,,,
130,0.0280735,,,,,
110,0.0230187,,,,,
190,0.0283232,,,,,
120,0.0278957,,,,,
108,0.0311247,,,,,
118,0.0325915,,,,,
60,0.0302939,,,,,
169,0.0270826,,,,,
191,0.0302787,,,,,
68,0.028392,,,,,
200,0.026726,,,,,
48,0.0328974,,,,,
129,0.0282205,,,,,
61,0.0313219,,,,,
190,0.0246109,,,,,
190,0.0309413,,,,,
158,0.0223221,,,,,
111,0.0300126,,,,,
60,0.0318352,,,,,
200,0.0254061,,,,,
170,0.027173,,,,,
80,0.0296002,,,,,
171,0.0289383,,,,,
200,0.0298091,,,,,
21,0.0299348,,,,,
169,0.0261766,,,,,
200,0.0252799,,,,,
131,0.0268897,,,,,
180,0.0593367,,,,,
49,0.0314631,,,,,
189,0.0246061,,,,,
200,0.0281014,,,,,
112,0.0272238,,,,,
87,0.027728,,,,,
80,0.0305324,,,,,
200,0.0256915,,,,,
200,0.0259552,,,,,
200,0.0241843,,,,,
190,0.0344739,,,,,
190,0.0252151,,,,,
160,0.0232268,,,,,
190,0.0251827,,,,,
101,0.0251827,,,,,
200,0.0224608,,,,,
97,0.0270767,,,,,
109,0.0344608,,,,,
142,0.0236996,,,,,
50,0.0633812,,,,,
89,0.0286339,,,,,
120,0.0251176,,,,,
161,0.035593,,,,,
120,0.0263011,,,,,
190,0.0281266,,,,,
30,0.0240665,,,,,
110,0.0244311,,,,,
190,0.0225645,,,,,
200,0.0270643,,,,,
190,0.0254312,,,,,
142,0.0291859,,,,,
54,0.0296976,,,,,
200,0.0318708,,,,,
169,0.029176,,,,,
61,0.0243616,,,,,
121,0.0245532,,,,,
200,0.0278682,,,,,
80,0.0249481,,,,,
200,0.0224399,,,,,
58,0.0359861,,,,,
169,0.0254635,,,,,
200,0.0292141,,,,,
180,0.024179,,,,,
126,0.0246652,,,,,
200,0.0252964,,,,,
200,0.025483,,,,,
180,0.0243221,,,,,
54,0.0288768,,,,,
48,0.0457905,,,,,
100,0.0253967,,,,,
190,0.0269449,,,,,
99,0.0236868,,,,,
170,0.0294237,,,,,
190,0.0251358,,,,,
41,0.0324871,,,,,
82,0.0290795,,,,,
49,0.0553753,,,,,
79,0.0320985,,,,,
189,0.0295624,,,,,
88,0.0241621,,,,,
200,0.0241193,,,,,
120,0.0242626,,,,,
162,0.0248303,,,,,
190,0.0301755,,,,,
11,0.0388795,,,,,
200,0.0242094,,,,,
190,0.0265181,,,,,
66,0.0310889,,,,,
200,0.0229697,,,,,
39,0.0269772,,,,,
130,0.0314841,,,,,
190,0.0306407,,,,,
122,0.0290778,,,,,
180,0.0250368,,,,,
49,0.0283196,,,,,
88,0.0558029,,,,,
51,0.0364948,,,,,
180,0.0332182,,,,,
49,0.0311004,,,,,
190,0.0257039,,,,,
200,0.0275758,,,,,
200,0.0277184,,,,,
48,0.04115,,,,,
200,0.0273199,,,,,
89,0.027031,,,,,
62,0.0278916,,,,,
170,0.0257628,,,,,
190,0.0303755,,,,,
40,0.0290169,,,,,
200,0.0256984,,,,,
90,0.0271408,,,,,
200,0.0246811,,,,,
149,0.0329741,,,,,
190,0.0284608,,,,,
149,0.0299921,,,,,
39,0.0507444,,,,,
189,0.0249995,,,,,
180,0.0240579,,,,,
58,0.0292434,,,,,
64,0.0265443,,,,,
190,0.0325891,,,,,
190,0.0245327,,,,,
190,0.0296863,,,,,
200,0.0276141,,,,,
140,0.0318611,,,,,
170,0.02399,,,,,
50,0.0301649,,,,,
190,0.0274724,,,,,
120,0.0256224,,,,,
168,0.0304769,,,,,
190,0.0296586,,,,,
80,0.0357205,,,,,
148,0.0599748,,,,,
29,0.0343018,,,,,
178,0.0278575,,,,,
129,0.0240294,,,,,
200,0.0223825,,,,,
42,0.0307322,,,,,
51,0.029359,,,,,
139,0.0297459,,,,,
50,0.0273944,,,,,
200,0.0230808,,,,,
59,0.0283307,,,,,
30,0.0302565,,,,,
180,0.0247524,,,,,
190,0.0295202,,,,,
190,0.0311125,,,,,
200,0.0312405,,,,,
200,0.0333858,,,,,
80,0.0294805,,,,,
89,0.0405358,,,,,
180,0.0556758,,,,,
170,0.0295474,,,,,
20,0.0330629,,,,,
82,0.0307874,,,,,
104,0.0296609,,,,,
131,0.0277314,,,,,
112,0.0289312,,,,,
