Max Component Size,Compute Time (s),partition_lgraph_spectral,,
800,1.9644571,,800,2.054114284
800,2.0177116,,,
800,1.9423701,,,
800,1.9263267,,,
800,1.9622843,,,
800,1.9231312,,,
800,1.9446045,,,
800,1.9641948,,,
800,1.9565837,,,
800,2.0593177,,,
800,1.9675132,,,
800,2.0657762,,,
800,1.9293988,,,
800,1.919319,,,
800,2.0285475,,,
800,1.906339,,,
800,2.0177675,,,
800,1.9469885,,,
800,1.9845623,,,
800,2.0154397,,,
800,1.9231927,,,
800,1.9456264,,,
800,3.8400454,,,
800,1.9841188,,,
800,1.9326897,,,
800,1.9425217,,,
800,1.9191142,,,
800,1.9101171,,,
800,1.9821888,,,
800,1.9316121,,,
800,1.9179089,,,
800,1.9352865,,,
800,1.9239345,,,
800,1.9835104,,,
800,1.9384512,,,
800,1.9869105,,,
800,1.9760676,,,
800,1.9600527,,,
800,2.0634796,,,
800,1.9922457,,,
800,1.9317869,,,
800,1.9775358,,,
800,1.9752541,,,
800,1.9652265,,,
800,1.939676,,,
800,1.9507223,,,
800,1.9991966,,,
800,3.2754649,,,
800,2.0417118,,,
800,2.0217946,,,
800,2.0634737,,,
800,1.9674417,,,
800,1.9231747,,,
800,1.9889006,,,
800,1.9311361,,,
800,1.9452276,,,
800,2.0093581,,,
800,1.965693,,,
800,2.0130262,,,
800,1.9323114,,,
800,1.9670411,,,
800,1.9242889,,,
800,1.923072,,,
800,2.025663,,,
800,1.9501035,,,
800,1.9131748,,,
800,1.9150309,,,
800,1.9121899,,,
800,1.9462895,,,
800,1.9196113,,,
800,1.9243031,,,
800,4.7626792,,,
800,1.9673981,,,
800,2.0833255,,,
800,1.9345409,,,
800,1.9085793,,,
800,1.9729254,,,
800,1.9849024,,,
800,2.0094623,,,
800,2.0570433,,,
800,1.9537739,,,
800,1.9318487,,,
800,2.0114347,,,
800,1.9773433,,,
800,1.914264,,,
800,1.9168601,,,
800,1.9200206,,,
800,1.9005073,,,
800,1.9429803,,,
800,1.9104991,,,
800,1.9173337,,,
800,1.9419623,,,
800,1.9765064,,,
800,2.0666311,,,
800,1.9669111,,,
800,4.8306797,,,
800,1.9552924,,,
800,1.9920675,,,
800,1.9481813,,,
800,2.0380595,,,
800,1.9301749,,,
800,2.0821524,,,
800,1.9569625,,,
800,1.9456168,,,
800,1.9154713,,,
800,1.9187999,,,
800,1.9239794,,,
800,1.8932931,,,
800,1.9860719,,,
800,1.9573832,,,
800,1.9015646,,,
800,1.9327346,,,
800,1.9349741,,,
800,2.0971141,,,
800,2.0283121,,,
800,2.0190186,,,
800,1.9759561,,,
800,2.0054334,,,
800,1.9501863,,,
800,4.7084962,,,
800,2.0010502,,,
800,1.9710224,,,
800,1.9305822,,,
800,1.9496076,,,
800,1.9404422,,,
800,1.9171464,,,
800,2.0009094,,,
800,1.921274,,,
800,1.9837409,,,
800,1.9747,,,
800,1.9668835,,,
800,1.9696112,,,
800,1.9593851,,,
800,2.0683188,,,
800,1.9827525,,,
800,1.9811029,,,
800,1.8936353,,,
800,1.9187927,,,
800,1.9672748,,,
800,1.9839734,,,
800,1.9192152,,,
800,1.9754349,,,
800,1.9387182,,,
800,3.9704004,,,
800,1.9056393,,,
800,1.9190902,,,
800,1.9767483,,,
800,1.9869056,,,
800,2.0101239,,,
800,2.0015049,,,
800,1.9451115,,,
800,1.9203804,,,
800,1.9257619,,,
800,1.9311209,,,
800,1.920965,,,
800,1.9355429,,,
800,1.9401138,,,
800,1.9094138,,,
800,1.9544761,,,
800,1.9339061,,,
800,2.0517404,,,
800,2.0746637,,,
800,1.9402654,,,
800,2.0306336,,,
800,1.982901,,,
800,1.9473268,,,
800,1.9308463,,,
800,1.9383067,,,
800,3.7497425,,,
800,1.9086537,,,
800,1.9668895,,,
800,2.0039247,,,
800,1.9242907,,,
800,2.0079433,,,
800,1.9136163,,,
800,1.9687769,,,
800,2.017301,,,
800,1.9969696,,,
800,1.9880325,,,
800,2.019193,,,
800,1.9860062,,,
800,1.9110919,,,
800,1.9293374,,,
800,1.9818626,,,
800,1.9239028,,,
800,1.9045672,,,
800,1.9501614,,,
800,1.9326012,,,
800,1.9774513,,,
800,1.9140356,,,
800,1.9305543,,,
800,1.9423165,,,
800,4.8341768,,,
800,1.9814097,,,
800,1.944947,,,
800,2.0414902,,,
800,1.9185073,,,
800,1.9700207,,,
800,1.995436,,,
800,1.9598869,,,
