Max Component Size,Compute Time (s),partition_lgraph_louvain,,,,
23,0.0054591,,20.295,0.004375055,,6
24,0.0044575,,,,,
24,0.0051922,,,,,
12,0.003939,,,,,
24,0.0036828,,,,,
23,0.0051428,,,,,
13,0.0040748,,,,,
11,0.0048811,,,,,
23,0.0049777,,,,,
17,0.004218,,,,,
30,0.0040485,,,,,
23,0.0039926,,,,,
12,0.0041406,,,,,
13,0.0043527,,,,,
30,0.0040765,,,,,
25,0.0049761,,,,,
30,0.0042625,,,,,
24,0.0041618,,,,,
23,0.0044636,,,,,
17,0.0045529,,,,,
23,0.0037247,,,,,
23,0.006174,,,,,
30,0.0068183,,,,,
23,0.0050247,,,,,
24,0.0054516,,,,,
23,0.0049852,,,,,
30,0.0045949,,,,,
23,0.0043175,,,,,
16,0.0051557,,,,,
6,0.0049606,,,,,
23,0.0047274,,,,,
30,0.0039264,,,,,
12,0.0047547,,,,,
17,0.0041241,,,,,
7,0.0049017,,,,,
18,0.0041724,,,,,
30,0.0037079,,,,,
30,0.0058515,,,,,
18,0.00411,,,,,
6,0.0058232,,,,,
7,0.0039083,,,,,
24,0.0046472,,,,,
11,0.0035794,,,,,
30,0.0051397,,,,,
30,0.0043419,,,,,
23,0.0036463,,,,,
18,0.0042487,,,,,
7,0.0052488,,,,,
30,0.0040433,,,,,
11,0.0052089,,,,,
23,0.0043997,,,,,
7,0.0047106,,,,,
18,0.0036074,,,,,
23,0.00417,,,,,
11,0.0043084,,,,,
23,0.0037828,,,,,
6,0.0043889,,,,,
20,0.0039554,,,,,
23,0.0043198,,,,,
7,0.0035127,,,,,
30,0.0043454,,,,,
21,0.0042773,,,,,
20,0.0040181,,,,,
7,0.0039885,,,,,
24,0.004391,,,,,
12,0.0044211,,,,,
7,0.0042389,,,,,
30,0.0041664,,,,,
30,0.0044761,,,,,
30,0.0047478,,,,,
30,0.0043145,,,,,
17,0.003869,,,,,
18,0.0033508,,,,,
7,0.0038397,,,,,
19,0.0043671,,,,,
7,0.0052055,,,,,
30,0.0038735,,,,,
23,0.0037786,,,,,
30,0.0036426,,,,,
7,0.0038224,,,,,
6,0.0045194,,,,,
24,0.004272,,,,,
23,0.0044472,,,,,
12,0.0039754,,,,,
17,0.0049236,,,,,
30,0.0041639,,,,,
7,0.0041725,,,,,
7,0.0038411,,,,,
30,0.0038538,,,,,
21,0.0044346,,,,,
23,0.0044949,,,,,
30,0.0036856,,,,,
23,0.0052823,,,,,
13,0.0045025,,,,,
11,0.0039473,,,,,
23,0.0044243,,,,,
17,0.0037244,,,,,
30,0.0046988,,,,,
30,0.0037266,,,,,
7,0.0040396,,,,,
30,0.003971,,,,,
13,0.0047338,,,,,
30,0.00408,,,,,
30,0.0046533,,,,,
23,0.0039741,,,,,
23,0.0040404,,,,,
30,0.0041914,,,,,
30,0.0041577,,,,,
17,0.0041471,,,,,
6,0.0050538,,,,,
24,0.0040572,,,,,
7,0.0032874,,,,,
23,0.0047727,,,,,
24,0.0044136,,,,,
30,0.0037709,,,,,
13,0.0047562,,,,,
18,0.0039567,,,,,
13,0.003835,,,,,
18,0.004401,,,,,
7,0.0055092,,,,,
18,0.0051317,,,,,
6,0.0050248,,,,,
30,0.0047548,,,,,
18,0.0043262,,,,,
6,0.0045824,,,,,
7,0.0041698,,,,,
30,0.00391,,,,,
23,0.0040423,,,,,
30,0.0043505,,,,,
30,0.0040297,,,,,
17,0.004178,,,,,
19,0.0040564,,,,,
23,0.0039489,,,,,
13,0.0039128,,,,,
18,0.003511,,,,,
23,0.0042823,,,,,
24,0.0039714,,,,,
30,0.0043381,,,,,
11,0.0040393,,,,,
30,0.0043804,,,,,
19,0.0056128,,,,,
17,0.0035877,,,,,
17,0.0054694,,,,,
12,0.0058722,,,,,
24,0.0043838,,,,,
30,0.0053769,,,,,
30,0.0045573,,,,,
23,0.0038043,,,,,
7,0.0046055,,,,,
7,0.0042067,,,,,
23,0.0038696,,,,,
30,0.0053432,,,,,
30,0.0049205,,,,,
20,0.0036491,,,,,
23,0.0040878,,,,,
14,0.0047279,,,,,
19,0.0043418,,,,,
30,0.0042225,,,,,
23,0.0042458,,,,,
17,0.0047305,,,,,
30,0.0035924,,,,,
30,0.0040082,,,,,
23,0.0053242,,,,,
30,0.0037443,,,,,
30,0.0040126,,,,,
23,0.0052419,,,,,
30,0.0047589,,,,,
23,0.0050854,,,,,
30,0.0038971,,,,,
18,0.0039607,,,,,
17,0.0040728,,,,,
30,0.0039884,,,,,
18,0.0043262,,,,,
30,0.0042529,,,,,
18,0.0035386,,,,,
16,0.0040891,,,,,
24,0.0042527,,,,,
12,0.0045257,,,,,
23,0.0038982,,,,,
23,0.0058412,,,,,
16,0.0040897,,,,,
23,0.0051158,,,,,
23,0.0038613,,,,,
13,0.0038593,,,,,
17,0.0040147,,,,,
30,0.0048746,,,,,
18,0.0047946,,,,,
18,0.0040063,,,,,
19,0.0040317,,,,,
30,0.0050895,,,,,
18,0.0038946,,,,,
19,0.0040364,,,,,
7,0.0037608,,,,,
13,0.0048134,,,,,
30,0.0041183,,,,,
19,0.0052064,,,,,
11,0.0039979,,,,,
30,0.0043387,,,,,
18,0.0045889,,,,,
11,0.0039964,,,,,
