Max Component Size,Compute Time (s),runScen2_2Random,,,,
187,0.00152,,160.74,0.001508846,,40
187,0.0015229,,,,,
200,0.0015479,,,,,
147,0.0015166,,,,,
200,0.0015585,,,,,
160,0.0014761,,,,,
200,0.0015946,,,,,
174,0.0015921,,,,,
106,0.0014999,,,,,
67,0.0013415,,,,,
173,0.0015576,,,,,
40,0.0016275,,,,,
200,0.0018076,,,,,
174,0.0015558,,,,,
173,0.001487,,,,,
186,0.0015283,,,,,
186,0.0015256,,,,,
200,0.001785,,,,,
80,0.001422,,,,,
187,0.0015223,,,,,
146,0.0014596,,,,,
40,0.0013415,,,,,
40,0.001345,,,,,
173,0.0015333,,,,,
161,0.0014223,,,,,
200,0.0014186,,,,,
200,0.0015494,,,,,
106,0.0014472,,,,,
187,0.0015722,,,,,
160,0.0014934,,,,,
160,0.0015022,,,,,
94,0.0014253,,,,,
200,0.0014398,,,,,
200,0.0015848,,,,,
108,0.0014415,,,,,
173,0.0014859,,,,,
160,0.0014103,,,,,
200,0.0015445,,,,,
174,0.0015203,,,,,
187,0.0015284,,,,,
80,0.0014156,,,,,
134,0.0014454,,,,,
40,0.0013516,,,,,
94,0.0014643,,,,,
200,0.0014555,,,,,
160,0.0015269,,,,,
161,0.0015077,,,,,
173,0.0014513,,,,,
200,0.0016729,,,,,
200,0.0015598,,,,,
120,0.0014229,,,,,
134,0.0014709,,,,,
186,0.0015444,,,,,
200,0.0015457,,,,,
200,0.0015732,,,,,
186,0.0015087,,,,,
173,0.001538,,,,,
187,0.0015302,,,,,
173,0.0014944,,,,,
147,0.0014623,,,,,
40,0.0013318,,,,,
187,0.0015533,,,,,
160,0.0014343,,,,,
80,0.001402,,,,,
173,0.0014769,,,,,
186,0.0015186,,,,,
159,0.0014674,,,,,
187,0.0015193,,,,,
187,0.0015594,,,,,
200,0.0015407,,,,,
186,0.0015156,,,,,
106,0.0014579,,,,,
107,0.0014374,,,,,
200,0.0016053,,,,,
147,0.0014753,,,,,
94,0.0014436,,,,,
187,0.0015169,,,,,
186,0.0015306,,,,,
148,0.001468,,,,,
173,0.0015928,,,,,
173,0.0015347,,,,,
106,0.0014449,,,,,
187,0.0015497,,,,,
173,0.0015533,,,,,
200,0.001693,,,,,
187,0.0015321,,,,,
52,0.0013792,,,,,
187,0.0015292,,,,,
186,0.0015442,,,,,
200,0.001547,,,,,
147,0.0015518,,,,,
200,0.0015621,,,,,
67,0.0014051,,,,,
187,0.001624,,,,,
187,0.0015218,,,,,
187,0.0016296,,,,,
120,0.0014337,,,,,
200,0.001537,,,,,
94,0.0014195,,,,,
133,0.0014717,,,,,
200,0.0015608,,,,,
200,0.001582,,,,,
174,0.001513,,,,,
173,0.0014776,,,,,
200,0.0015312,,,,,
187,0.0015403,,,,,
146,0.0014606,,,,,
186,0.0015214,,,,,
173,0.0014951,,,,,
40,0.0014242,,,,,
160,0.0014788,,,,,
186,0.0015601,,,,,
186,0.0015298,,,,,
187,0.0015582,,,,,
174,0.0015163,,,,,
200,0.0015815,,,,,
120,0.0015438,,,,,
186,0.0015273,,,,,
200,0.0015531,,,,,
173,0.0014778,,,,,
186,0.0015188,,,,,
200,0.0015652,,,,,
186,0.0015956,,,,,
173,0.0014752,,,,,
187,0.0015126,,,,,
173,0.0015692,,,,,
187,0.0015486,,,,,
186,0.0015762,,,,,
173,0.0017617,,,,,
80,0.00136,,,,,
200,0.0014873,,,,,
200,0.0015663,,,,,
41,0.0013456,,,,,
173,0.0015364,,,,,
200,0.0015509,,,,,
53,0.0013383,,,,,
186,0.0015589,,,,,
186,0.0015979,,,,,
200,0.0014143,,,,,
147,0.0014873,,,,,
161,0.0015511,,,,,
186,0.0015364,,,,,
187,0.0015217,,,,,
187,0.0015235,,,,,
40,0.0013488,,,,,
147,0.0014524,,,,,
200,0.0015389,,,,,
187,0.0015268,,,,,
161,0.0015313,,,,,
121,0.0014472,,,,,
134,0.0014753,,,,,
186,0.0015392,,,,,
160,0.0014971,,,,,
40,0.0013538,,,,,
159,0.0014944,,,,,
67,0.0013788,,,,,
94,0.0014417,,,,,
133,0.0014522,,,,,
187,0.0015139,,,,,
94,0.0014254,,,,,
200,0.0015542,,,,,
160,0.0014892,,,,,
200,0.0015356,,,,,
200,0.0016246,,,,,
173,0.0014988,,,,,
187,0.0015198,,,,,
200,0.0015916,,,,,
187,0.0015175,,,,,
134,0.001482,,,,,
174,0.00151,,,,,
187,0.00153,,,,,
173,0.0015309,,,,,
106,0.0014435,,,,,
147,0.0014777,,,,,
200,0.0015659,,,,,
200,0.0015503,,,,,
186,0.001515,,,,,
173,0.0014949,,,,,
200,0.0016128,,,,,
200,0.0014141,,,,,
107,0.0014487,,,,,
187,0.0015176,,,,,
173,0.0015385,,,,,
200,0.0015718,,,,,
200,0.0015634,,,,,
147,0.0014766,,,,,
66,0.0013944,,,,,
173,0.0014961,,,,,
186,0.001536,,,,,
173,0.0015464,,,,,
146,0.0014406,,,,,
200,0.0015291,,,,,
134,0.00146,,,,,
173,0.001607,,,,,
40,0.0013553,,,,,
187,0.0015594,,,,,
200,0.0015866,,,,,
200,0.0015645,,,,,
173,0.0014938,,,,,
187,0.0015691,,,,,
