Max Component Size,Compute Time (s),partition_lgraph_spectral,,
250,0.8181095,,,0.777225086
250,0.99208,,,
250,0.6650472,,,
250,0.6945051,,,
250,0.7741735,,,
250,0.6955973,,,
250,0.759569,,,
250,0.6711989,,,
250,0.7051236,,,
250,0.677326,,,
250,0.715878,,,
250,0.7846217,,,
250,0.6756079,,,
250,0.6828353,,,
250,0.7086124,,,
250,0.6776642,,,
250,0.7040377,,,
250,0.7335076,,,
250,0.6865248,,,
250,0.705094,,,
250,0.7942327,,,
250,0.7091382,,,
250,0.7928846,,,
250,0.7184676,,,
250,0.7651856,,,
250,0.7096895,,,
250,0.6959497,,,
250,0.7107068,,,
250,0.7805416,,,
250,0.7248658,,,
250,0.7541266,,,
250,0.6778305,,,
250,0.7282802,,,
250,0.6908783,,,
250,0.6927259,,,
250,0.7682766,,,
250,0.7769761,,,
250,0.6881055,,,
250,0.814534,,,
250,0.7242821,,,
250,0.8442754,,,
250,0.7044171,,,
250,0.6761395,,,
250,0.6937688,,,
250,0.7933671,,,
250,0.7278892,,,
250,0.7465678,,,
250,0.6861329,,,
250,0.6948023,,,
250,0.7049349,,,
250,0.7476061,,,
250,0.7414561,,,
250,0.75729,,,
250,0.6866248,,,
250,0.6722789,,,
250,0.7530523,,,
250,3.5539355,,,
250,0.7813936,,,
250,0.7078553,,,
250,0.8353299,,,
250,0.6916335,,,
250,0.7892166,,,
250,0.7173713,,,
250,0.6639797,,,
250,0.7060559,,,
250,0.6956939,,,
250,0.6966967,,,
250,0.7947951,,,
250,0.7611443,,,
250,0.7365247,,,
250,0.8151323,,,
250,0.6807736,,,
250,0.7230118,,,
250,0.7340084,,,
250,0.6660685,,,
250,0.6955683,,,
250,0.8430365,,,
250,0.6832555,,,
250,0.6865289,,,
250,0.7878825,,,
250,0.6814186,,,
250,0.6696723,,,
250,0.6794279,,,
250,0.7307027,,,
250,0.809185,,,
250,0.6873383,,,
250,0.7455944,,,
250,0.7196458,,,
250,0.7005694,,,
250,0.6962903,,,
250,0.8071482,,,
250,0.7840113,,,
250,0.6920455,,,
250,0.6805678,,,
250,0.7186259,,,
250,0.8106643,,,
250,0.6777474,,,
250,0.7005645,,,
250,0.6950265,,,
250,0.7031018,,,
250,0.6671837,,,
250,0.7312606,,,
250,0.745451,,,
250,0.7067941,,,
250,0.6803887,,,
250,0.7009882,,,
250,0.7442514,,,
250,0.7622082,,,
250,0.7995376,,,
250,0.7918521,,,
250,0.7119513,,,
250,0.7846533,,,
250,0.7048936,,,
250,0.6857411,,,
250,0.7169705,,,
250,0.6734413,,,
250,0.7135601,,,
250,0.7282967,,,
250,0.6818746,,,
250,0.7904219,,,
250,0.6994158,,,
250,0.7214373,,,
250,0.7132537,,,
250,0.7022817,,,
250,3.9119076,,,
250,0.6962882,,,
250,0.7260754,,,
250,0.7526703,,,
250,0.7179961,,,
250,0.7411065,,,
250,0.7700827,,,
250,0.7335631,,,
250,0.6941688,,,
250,0.7116659,,,
250,0.700176,,,
250,0.785069,,,
250,0.6767458,,,
250,0.7897495,,,
250,0.7421169,,,
250,0.69412,,,
250,0.7141389,,,
250,0.860798,,,
250,0.792257,,,
250,0.7351155,,,
250,0.6693488,,,
250,0.8436031,,,
250,0.8702653,,,
250,0.7469338,,,
250,0.7543624,,,
250,0.6677556,,,
250,0.7313718,,,
250,0.8208489,,,
250,0.6968803,,,
250,0.7616377,,,
250,0.7182928,,,
250,0.6785382,,,
250,0.7323963,,,
250,0.789993,,,
250,0.6833844,,,
250,0.7622516,,,
250,0.6882503,,,
250,0.7102762,,,
250,0.7265772,,,
250,0.6736239,,,
250,0.7207296,,,
250,0.7385967,,,
250,0.6710649,,,
250,0.7765492,,,
250,0.7265833,,,
250,0.7711632,,,
250,0.6951326,,,
250,0.715236,,,
250,0.7007564,,,
250,0.732861,,,
250,0.6831078,,,
250,0.7644343,,,
250,0.7510916,,,
250,0.7035323,,,
250,0.6954967,,,
250,0.6855385,,,
250,0.8065963,,,
250,0.7877843,,,
250,0.6779714,,,
250,0.7315296,,,
250,0.7106073,,,
250,0.6680103,,,
250,0.7016305,,,
250,0.7720264,,,
250,0.7136388,,,
250,0.711781,,,
250,0.8103451,,,
250,4.022819,,,
250,0.7295199,,,
250,0.7353269,,,
250,0.6924528,,,
250,0.7793297,,,
250,0.8448605,,,
250,0.6833503,,,
250,0.8060286,,,
250,0.7853882,,,
