Max Component Size,Compute Time (s),partition_lgraph_spectral,,,,
20,0.1725404,,19.4,0.179191689,,13
15,0.1682632,,,,,
15,0.1674502,,,,,
13,0.1711767,,,,,
20,0.1907459,,,,,
20,0.3261807,,,,,
15,0.1732451,,,,,
25,0.1645596,,,,,
15,0.1637169,,,,,
15,0.1688241,,,,,
20,0.1629311,,,,,
20,0.1757314,,,,,
15,0.1656913,,,,,
20,0.1811354,,,,,
20,0.1666653,,,,,
25,0.1667832,,,,,
13,0.1650715,,,,,
20,0.1656257,,,,,
20,0.1648171,,,,,
20,0.1684248,,,,,
15,0.1685366,,,,,
20,0.1660122,,,,,
20,0.1662323,,,,,
25,0.1701869,,,,,
20,0.1702331,,,,,
20,0.1661314,,,,,
25,0.1638505,,,,,
25,0.1668359,,,,,
15,0.1698522,,,,,
13,0.1628127,,,,,
20,0.1650918,,,,,
25,0.1637919,,,,,
20,0.1653016,,,,,
25,0.166443,,,,,
13,0.1659268,,,,,
20,0.1727715,,,,,
25,0.1666016,,,,,
15,0.1668977,,,,,
20,0.1652786,,,,,
15,0.1681861,,,,,
20,0.2030743,,,,,
15,0.1672797,,,,,
20,0.1891278,,,,,
13,0.1803437,,,,,
20,0.1653759,,,,,
25,0.1683495,,,,,
25,0.1687526,,,,,
15,0.1690137,,,,,
25,0.1661219,,,,,
20,0.1670263,,,,,
15,0.1637661,,,,,
15,0.1659457,,,,,
20,0.1699249,,,,,
15,0.1835302,,,,,
15,0.165801,,,,,
25,0.1657024,,,,,
20,0.1774598,,,,,
15,0.1658194,,,,,
20,0.1784461,,,,,
25,0.167768,,,,,
20,0.1729214,,,,,
25,0.1886506,,,,,
20,0.182067,,,,,
20,0.1811943,,,,,
20,0.166553,,,,,
20,0.1722525,,,,,
20,0.1673358,,,,,
20,0.1839319,,,,,
15,0.1699008,,,,,
20,0.1643941,,,,,
25,0.1660917,,,,,
25,0.1672344,,,,,
25,0.1659638,,,,,
15,0.1686537,,,,,
15,0.1704357,,,,,
20,0.169756,,,,,
15,0.1781018,,,,,
20,0.1851272,,,,,
20,0.1647934,,,,,
15,0.1665684,,,,,
20,0.165293,,,,,
13,0.1715804,,,,,
25,0.1654262,,,,,
15,0.1664018,,,,,
20,0.1818437,,,,,
20,0.1831709,,,,,
13,0.181164,,,,,
13,0.1695518,,,,,
13,0.1665147,,,,,
15,0.2126892,,,,,
20,0.1739092,,,,,
15,0.170183,,,,,
20,0.1647367,,,,,
20,0.1666913,,,,,
13,0.1712521,,,,,
25,0.1689213,,,,,
20,0.1664354,,,,,
15,0.178829,,,,,
20,0.1657014,,,,,
20,0.1665501,,,,,
25,0.1645875,,,,,
25,0.1678967,,,,,
25,0.1663796,,,,,
20,0.1753528,,,,,
25,0.1640547,,,,,
15,0.1664471,,,,,
20,0.1649039,,,,,
20,0.1653247,,,,,
25,0.1841201,,,,,
20,0.1671472,,,,,
25,0.1654558,,,,,
25,0.1658912,,,,,
13,0.1641292,,,,,
20,0.1677979,,,,,
13,0.1757392,,,,,
20,0.1648054,,,,,
15,0.1658409,,,,,
20,0.1652644,,,,,
25,0.17311,,,,,
15,0.1698,,,,,
20,0.1700315,,,,,
20,0.1698535,,,,,
15,0.1672553,,,,,
25,0.1748381,,,,,
20,0.1653799,,,,,
25,0.173156,,,,,
25,0.7260374,,,,,
25,0.4872238,,,,,
15,0.1667443,,,,,
15,0.1661427,,,,,
25,0.1647554,,,,,
20,0.1660098,,,,,
20,0.1658206,,,,,
20,0.6694246,,,,,
20,0.4161994,,,,,
25,0.1664758,,,,,
13,0.2497389,,,,,
15,0.1655539,,,,,
20,0.1705443,,,,,
15,0.1654841,,,,,
20,0.1667987,,,,,
20,0.1655529,,,,,
15,0.1734851,,,,,
20,0.1668787,,,,,
20,0.1724791,,,,,
20,0.1651767,,,,,
20,0.1652295,,,,,
25,0.1648958,,,,,
20,0.1842587,,,,,
13,0.1819043,,,,,
25,0.1726789,,,,,
15,0.1667054,,,,,
20,0.1678823,,,,,
25,0.166444,,,,,
25,0.1652711,,,,,
15,0.1804474,,,,,
25,0.1691416,,,,,
20,0.1699062,,,,,
15,0.1677086,,,,,
15,0.16776,,,,,
20,0.1646552,,,,,
20,0.1665083,,,,,
15,0.1650644,,,,,
20,0.1662132,,,,,
20,0.1645176,,,,,
13,0.1666708,,,,,
25,0.1659297,,,,,
20,0.1802335,,,,,
25,0.181188,,,,,
15,0.1669506,,,,,
15,0.1659606,,,,,
15,0.1675393,,,,,
20,0.1930646,,,,,
25,0.1817724,,,,,
20,0.1829258,,,,,
15,0.1652709,,,,,
25,0.1660206,,,,,
20,0.166321,,,,,
20,0.1735418,,,,,
15,0.170277,,,,,
15,0.1668717,,,,,
20,0.1688313,,,,,
15,0.1692613,,,,,
20,0.1665698,,,,,
15,0.1660614,,,,,
15,0.1651335,,,,,
20,0.1643489,,,,,
20,0.1656672,,,,,
25,0.1670408,,,,,
25,0.1677405,,,,,
15,0.164865,,,,,
15,0.168931,,,,,
25,0.1707054,,,,,
20,0.170283,,,,,
25,0.1645898,,,,,
25,0.165209,,,,,
25,0.1687108,,,,,
15,0.167122,,,,,
20,0.1686345,,,,,
25,0.1658572,,,,,
