Max Component Size,Compute Time (s),runScen3_1_rand,,
150,0.0033643,,150,0.003381286
150,0.0034681,,,
150,0.0033408,,,
150,0.0034732,,,
150,0.0033881,,,
150,0.0032575,,,
150,0.0033099,,,
150,0.0032796,,,
150,0.0033375,,,
150,0.0033942,,,
150,0.0035312,,,
150,0.0032777,,,
150,0.003417,,,
150,0.0034115,,,
150,0.0030763,,,
150,0.0034798,,,
150,0.0041204,,,
150,0.0032419,,,
150,0.0032839,,,
150,0.0034539,,,
150,0.0035022,,,
150,0.0034866,,,
150,0.0034553,,,
150,0.0033828,,,
150,0.0033823,,,
150,0.003472,,,
150,0.003377,,,
150,0.0034306,,,
150,0.0034254,,,
150,0.0033364,,,
150,0.0033551,,,
150,0.003469,,,
150,0.003459,,,
150,0.0033627,,,
150,0.0032428,,,
150,0.0032582,,,
150,0.003296,,,
150,0.0034217,,,
150,0.0031493,,,
150,0.0033525,,,
150,0.0033934,,,
150,0.0033504,,,
150,0.0033999,,,
150,0.0034896,,,
150,0.0033244,,,
150,0.0034593,,,
150,0.0032709,,,
150,0.0037252,,,
150,0.0033802,,,
150,0.003477,,,
150,0.0032981,,,
150,0.0033301,,,
150,0.0034132,,,
150,0.0035266,,,
150,0.0032144,,,
150,0.0034985,,,
150,0.0033237,,,
150,0.0032687,,,
150,0.0034128,,,
150,0.0032859,,,
150,0.0035073,,,
150,0.0032973,,,
150,0.0031384,,,
150,0.0033186,,,
150,0.0032716,,,
150,0.0035067,,,
150,0.0033345,,,
150,0.0033378,,,
150,0.0033611,,,
150,0.0033667,,,
150,0.0036859,,,
150,0.0032827,,,
150,0.0034843,,,
150,0.003521,,,
150,0.0034713,,,
150,0.0033784,,,
150,0.003281,,,
150,0.0032804,,,
150,0.0033047,,,
150,0.0033374,,,
150,0.0035405,,,
150,0.0034216,,,
150,0.0035259,,,
150,0.0031487,,,
150,0.0033879,,,
150,0.0035115,,,
150,0.0034432,,,
150,0.0032914,,,
150,0.0036209,,,
150,0.0032508,,,
150,0.0032549,,,
150,0.0033127,,,
150,0.0033713,,,
150,0.0035559,,,
150,0.0033094,,,
150,0.0034,,,
150,0.0033981,,,
150,0.0034731,,,
150,0.0033858,,,
150,0.0034065,,,
150,0.0032446,,,
150,0.0034455,,,
150,0.0035039,,,
150,0.0035225,,,
150,0.0032517,,,
150,0.0033384,,,
150,0.0031917,,,
150,0.0031735,,,
150,0.00335,,,
150,0.0034965,,,
150,0.0033628,,,
150,0.0033381,,,
150,0.0034017,,,
150,0.0035061,,,
150,0.0032484,,,
150,0.003244,,,
150,0.003228,,,
150,0.003378,,,
150,0.0035093,,,
150,0.0033101,,,
150,0.0033809,,,
150,0.0032927,,,
150,0.0033662,,,
150,0.0032599,,,
150,0.0034981,,,
150,0.0032278,,,
150,0.0034146,,,
150,0.0035083,,,
150,0.0033926,,,
150,0.0032339,,,
150,0.0032935,,,
150,0.0033407,,,
150,0.0032025,,,
150,0.0032702,,,
150,0.0033928,,,
150,0.0033268,,,
150,0.0032855,,,
150,0.0034378,,,
150,0.0033566,,,
150,0.0032197,,,
150,0.0032671,,,
150,0.0034118,,,
150,0.0035391,,,
150,0.0035028,,,
150,0.0032888,,,
150,0.0035149,,,
150,0.0032466,,,
150,0.0034304,,,
150,0.0033693,,,
150,0.003391,,,
150,0.0035815,,,
150,0.0033803,,,
150,0.0035611,,,
150,0.0034554,,,
150,0.0035945,,,
150,0.0033562,,,
150,0.0033586,,,
150,0.0033144,,,
150,0.0033493,,,
150,0.0033514,,,
150,0.0035008,,,
150,0.0031645,,,
150,0.0033897,,,
150,0.0033473,,,
150,0.0035606,,,
150,0.0033541,,,
150,0.0033103,,,
150,0.0036802,,,
150,0.0036408,,,
150,0.0032953,,,
150,0.0033977,,,
150,0.0034649,,,
150,0.0034155,,,
150,0.0033384,,,
150,0.0032456,,,
150,0.0033234,,,
150,0.0032634,,,
150,0.0033835,,,
150,0.0034321,,,
150,0.0033129,,,
150,0.0035736,,,
150,0.0035354,,,
150,0.0032079,,,
150,0.0033751,,,
150,0.0032592,,,
150,0.0033265,,,
150,0.0033855,,,
150,0.0034563,,,
150,0.0032514,,,
150,0.0033251,,,
150,0.0033238,,,
150,0.0032495,,,
150,0.0034185,,,
150,0.0032793,,,
150,0.0032944,,,
150,0.0034212,,,
150,0.0035495,,,
150,0.0033956,,,
150,0.0034283,,,
150,0.0035265,,,
