Max Component Size,Compute Time (s),runScen2_2Random,,,,
34,0.0005276,,26.06,0.000391359,,7
14,0.0003609,,,,,
27,0.0003916,,,,,
27,0.0003869,,,,,
34,0.0003867,,,,,
27,0.0003774,,,,,
27,0.0003789,,,,,
27,0.0003773,,,,,
34,0.0003696,,,,,
34,0.0003714,,,,,
27,0.0003923,,,,,
7,0.000352,,,,,
34,0.0003561,,,,,
27,0.000366,,,,,
27,0.0003554,,,,,
34,0.0003577,,,,,
34,0.0003623,,,,,
27,0.0005002,,,,,
34,0.0003741,,,,,
27,0.0003715,,,,,
14,0.0003576,,,,,
34,0.0003587,,,,,
27,0.0004379,,,,,
14,0.000352,,,,,
7,0.0004108,,,,,
14,0.0003625,,,,,
34,0.0004622,,,,,
34,0.0003674,,,,,
34,0.0003591,,,,,
27,0.0003619,,,,,
14,0.0003509,,,,,
34,0.0003614,,,,,
34,0.0004792,,,,,
34,0.0003704,,,,,
27,0.0003819,,,,,
27,0.0005737,,,,,
34,0.000362,,,,,
34,0.0004917,,,,,
27,0.000358,,,,,
27,0.0003721,,,,,
27,0.0003614,,,,,
7,0.0003334,,,,,
27,0.0003637,,,,,
14,0.0003497,,,,,
34,0.0003612,,,,,
27,0.000359,,,,,
27,0.0005555,,,,,
7,0.0003319,,,,,
34,0.0005802,,,,,
27,0.0003563,,,,,
27,0.0004781,,,,,
34,0.0003575,,,,,
27,0.0003603,,,,,
27,0.0003701,,,,,
34,0.0003663,,,,,
27,0.0003656,,,,,
34,0.0003601,,,,,
7,0.0005734,,,,,
34,0.0003602,,,,,
14,0.000561,,,,,
27,0.0003634,,,,,
7,0.0004371,,,,,
34,0.0003612,,,,,
34,0.0003609,,,,,
7,0.0003324,,,,,
34,0.0003597,,,,,
34,0.0003957,,,,,
34,0.0003589,,,,,
27,0.0005336,,,,,
7,0.0003247,,,,,
27,0.0006163,,,,,
27,0.0003623,,,,,
27,0.0003724,,,,,
14,0.0003417,,,,,
34,0.0003698,,,,,
34,0.0003598,,,,,
27,0.0003721,,,,,
27,0.000359,,,,,
34,0.0003689,,,,,
34,0.0005729,,,,,
27,0.0003702,,,,,
14,0.0003853,,,,,
34,0.0003664,,,,,
34,0.0003636,,,,,
34,0.0005942,,,,,
34,0.0003814,,,,,
27,0.0004528,,,,,
27,0.0003784,,,,,
27,0.000468,,,,,
27,0.0003734,,,,,
27,0.0003615,,,,,
27,0.0003685,,,,,
34,0.0003577,,,,,
34,0.0003586,,,,,
27,0.0003839,,,,,
34,0.0005776,,,,,
34,0.0003675,,,,,
27,0.0004473,,,,,
27,0.0003615,,,,,
27,0.0003615,,,,,
34,0.0003688,,,,,
27,0.0003621,,,,,
27,0.0003614,,,,,
34,0.0003671,,,,,
7,0.0004591,,,,,
34,0.0004395,,,,,
27,0.0004464,,,,,
27,0.0003559,,,,,
34,0.0003621,,,,,
34,0.0003613,,,,,
7,0.0003253,,,,,
27,0.0003677,,,,,
7,0.0003249,,,,,
27,0.0004842,,,,,
34,0.000358,,,,,
14,0.0003894,,,,,
27,0.00039,,,,,
34,0.0003605,,,,,
27,0.0003603,,,,,
14,0.0003497,,,,,
27,0.0004685,,,,,
27,0.0003663,,,,,
34,0.0005198,,,,,
27,0.0003707,,,,,
14,0.0003682,,,,,
34,0.0003936,,,,,
14,0.0004165,,,,,
27,0.0003972,,,,,
27,0.0004043,,,,,
34,0.0004164,,,,,
34,0.0003828,,,,,
27,0.0003835,,,,,
27,0.0004185,,,,,
27,0.0005656,,,,,
27,0.0003797,,,,,
27,0.0003782,,,,,
27,0.0003886,,,,,
27,0.0003771,,,,,
34,0.0003671,,,,,
34,0.000369,,,,,
34,0.0005292,,,,,
34,0.000367,,,,,
34,0.0004679,,,,,
34,0.0003688,,,,,
34,0.0004238,,,,,
34,0.0003596,,,,,
27,0.000361,,,,,
34,0.0003759,,,,,
27,0.0003684,,,,,
27,0.0005008,,,,,
7,0.0003326,,,,,
27,0.0003855,,,,,
7,0.000332,,,,,
14,0.0003414,,,,,
7,0.0003238,,,,,
34,0.0003614,,,,,
14,0.0003408,,,,,
27,0.0003626,,,,,
34,0.0004703,,,,,
34,0.0003592,,,,,
7,0.0003253,,,,,
27,0.0003588,,,,,
7,0.0003429,,,,,
7,0.0003266,,,,,
14,0.0003426,,,,,
34,0.0005478,,,,,
14,0.0003506,,,,,
27,0.000425,,,,,
7,0.0003231,,,,,
34,0.0004051,,,,,
27,0.0003614,,,,,
7,0.000325,,,,,
34,0.0003684,,,,,
27,0.0003592,,,,,
14,0.0004492,,,,,
27,0.0003663,,,,,
34,0.0004879,,,,,
34,0.000358,,,,,
7,0.0003244,,,,,
7,0.0003243,,,,,
7,0.0003274,,,,,
27,0.0003582,,,,,
27,0.0003677,,,,,
34,0.0003591,,,,,
34,0.0003597,,,,,
7,0.0003688,,,,,
34,0.0003674,,,,,
27,0.0003586,,,,,
27,0.0003685,,,,,
27,0.0003598,,,,,
34,0.0004008,,,,,
14,0.0003395,,,,,
14,0.0004936,,,,,
27,0.0003638,,,,,
27,0.0005176,,,,,
27,0.0003651,,,,,
34,0.0004051,,,,,
34,0.0003654,,,,,
34,0.0003587,,,,,
34,0.0003835,,,,,
