Max Component Size,Compute Time (s),partition_lgraph_spectral,,,,
40,0.2097147,,36.885,0.221431466,,21
40,0.2154286,,,,,
34,0.2051136,,,,,
21,0.2128075,,,,,
34,0.2068009,,,,,
40,0.3605147,,,,,
34,0.2065602,,,,,
40,0.2121049,,,,,
40,0.202152,,,,,
21,0.211093,,,,,
40,0.2082512,,,,,
34,0.2126444,,,,,
34,0.2082863,,,,,
34,0.2115802,,,,,
34,0.2137601,,,,,
40,0.2341883,,,,,
40,0.2028055,,,,,
40,0.2079941,,,,,
40,0.2035904,,,,,
40,0.2121536,,,,,
40,0.2177433,,,,,
40,0.2055638,,,,,
40,0.2224349,,,,,
34,0.214943,,,,,
40,0.2050183,,,,,
40,0.2137797,,,,,
34,0.2154641,,,,,
40,0.2100123,,,,,
40,0.209545,,,,,
21,0.2103702,,,,,
40,0.2010751,,,,,
40,0.2033651,,,,,
40,0.2047358,,,,,
40,0.2111361,,,,,
40,0.2054815,,,,,
34,0.2077439,,,,,
40,0.2080032,,,,,
40,0.22222,,,,,
40,0.2144703,,,,,
40,0.2052841,,,,,
40,0.2083215,,,,,
40,0.2041222,,,,,
40,0.2189512,,,,,
34,0.206066,,,,,
40,0.2073469,,,,,
40,0.2043177,,,,,
40,0.2092542,,,,,
40,0.2155495,,,,,
21,0.2135437,,,,,
40,0.2063554,,,,,
40,0.2091348,,,,,
40,0.2326349,,,,,
21,0.2064992,,,,,
34,0.2075676,,,,,
21,0.2133697,,,,,
40,0.2166934,,,,,
34,0.2088663,,,,,
34,0.2197832,,,,,
40,0.2087887,,,,,
34,0.2159145,,,,,
40,0.2098253,,,,,
40,0.2175601,,,,,
40,0.206691,,,,,
40,0.2049118,,,,,
34,0.2029139,,,,,
34,0.2041303,,,,,
40,0.2052101,,,,,
34,0.2101455,,,,,
34,0.2037381,,,,,
40,0.2167058,,,,,
34,0.2070913,,,,,
40,0.20664,,,,,
34,0.2040039,,,,,
40,0.2114854,,,,,
34,0.2093878,,,,,
34,0.2309822,,,,,
40,0.2123295,,,,,
34,0.2071688,,,,,
40,0.203628,,,,,
40,0.2312084,,,,,
34,0.2191816,,,,,
40,0.2090049,,,,,
34,0.2401155,,,,,
40,0.2020538,,,,,
34,0.2067429,,,,,
34,0.2140601,,,,,
40,0.2055471,,,,,
21,0.2098119,,,,,
21,0.203523,,,,,
40,0.2060067,,,,,
40,0.209988,,,,,
40,0.2178705,,,,,
40,0.2151226,,,,,
34,0.2101048,,,,,
40,0.2137743,,,,,
40,0.2125678,,,,,
34,0.2185993,,,,,
40,0.2264306,,,,,
40,0.2086244,,,,,
40,0.208651,,,,,
34,0.2149909,,,,,
40,0.2234419,,,,,
40,0.2070009,,,,,
34,0.2101165,,,,,
40,0.2108191,,,,,
40,0.2260233,,,,,
34,0.2136353,,,,,
34,0.207896,,,,,
34,0.204837,,,,,
34,0.2038147,,,,,
34,0.2344067,,,,,
40,0.2070556,,,,,
40,0.2140049,,,,,
40,0.2107224,,,,,
34,0.2043204,,,,,
40,0.2164326,,,,,
21,0.209772,,,,,
40,0.4890906,,,,,
34,0.4535373,,,,,
40,0.3637528,,,,,
40,0.6452796,,,,,
34,0.2048854,,,,,
34,0.8661805,,,,,
40,0.2018878,,,,,
34,0.4142227,,,,,
40,0.2158326,,,,,
40,0.2089206,,,,,
34,0.2097568,,,,,
34,0.2178706,,,,,
40,0.204682,,,,,
21,0.2035031,,,,,
34,0.2015722,,,,,
40,0.2189862,,,,,
34,0.2019958,,,,,
40,0.2087449,,,,,
34,0.2206303,,,,,
40,0.2106462,,,,,
40,0.2136016,,,,,
40,0.2066404,,,,,
34,0.2032466,,,,,
40,0.2077538,,,,,
40,0.2061431,,,,,
40,0.2125175,,,,,
40,0.2289684,,,,,
40,0.2186322,,,,,
40,0.218733,,,,,
40,0.2060501,,,,,
40,0.2082128,,,,,
40,0.2115328,,,,,
34,0.2121501,,,,,
34,0.212669,,,,,
40,0.2136299,,,,,
34,0.2030885,,,,,
34,0.2056322,,,,,
40,0.2023976,,,,,
40,0.2061266,,,,,
40,0.2075191,,,,,
40,0.2140224,,,,,
34,0.2053817,,,,,
40,0.2042695,,,,,
40,0.2132351,,,,,
34,0.2053569,,,,,
34,0.2136226,,,,,
40,0.212971,,,,,
40,0.2136629,,,,,
40,0.2014816,,,,,
34,0.2004122,,,,,
34,0.2142314,,,,,
40,0.2028006,,,,,
40,0.215378,,,,,
40,0.2061632,,,,,
40,0.2012622,,,,,
34,0.2308148,,,,,
40,0.2213738,,,,,
34,0.2044998,,,,,
40,0.2029562,,,,,
40,0.2023156,,,,,
34,0.2025035,,,,,
40,0.2179192,,,,,
40,0.2088696,,,,,
40,0.220163,,,,,
34,0.2106718,,,,,
40,0.2228618,,,,,
40,0.2068367,,,,,
34,0.2202802,,,,,
34,0.2186022,,,,,
40,0.2071297,,,,,
40,0.1988104,,,,,
40,0.2060852,,,,,
40,0.2171103,,,,,
34,0.2050568,,,,,
21,0.2030822,,,,,
34,0.2155059,,,,,
34,0.2140068,,,,,
40,0.2021069,,,,,
34,0.213055,,,,,
40,0.2045137,,,,,
40,0.2155927,,,,,
34,0.2119668,,,,,
34,0.2082853,,,,,
