Max Component Size,Compute Time (s),runScen3_1_rand,,
250,0.0057232,,250,0.006453159
250,0.0059599,,,
250,0.0061616,,,
250,0.0057257,,,
250,0.006476,,,
250,0.0066838,,,
250,0.0061344,,,
250,0.005801,,,
250,0.0065775,,,
250,0.007497,,,
250,0.0059977,,,
250,0.0067096,,,
250,0.0063614,,,
250,0.0062024,,,
250,0.0066279,,,
250,0.005982,,,
250,0.0064216,,,
250,0.0063271,,,
250,0.0061521,,,
250,0.0069532,,,
250,0.006496,,,
250,0.0061601,,,
250,0.0060567,,,
250,0.0066184,,,
250,0.0066766,,,
250,0.0060557,,,
250,0.0062522,,,
250,0.0065339,,,
250,0.0063087,,,
250,0.0067208,,,
250,0.0067863,,,
250,0.0071331,,,
250,0.0064478,,,
250,0.0061868,,,
250,0.0067425,,,
250,0.0069061,,,
250,0.00641,,,
250,0.0069042,,,
250,0.0065735,,,
250,0.0068149,,,
250,0.0064509,,,
250,0.0065684,,,
250,0.0064612,,,
250,0.0066374,,,
250,0.0065972,,,
250,0.0068992,,,
250,0.006004,,,
250,0.0066765,,,
250,0.0062655,,,
250,0.0065168,,,
250,0.0070677,,,
250,0.0063528,,,
250,0.0062145,,,
250,0.0066405,,,
250,0.0060448,,,
250,0.0065941,,,
250,0.0059852,,,
250,0.0068461,,,
250,0.0063435,,,
250,0.0069278,,,
250,0.0061561,,,
250,0.0064379,,,
250,0.0066713,,,
250,0.0062513,,,
250,0.0057615,,,
250,0.0062935,,,
250,0.0057276,,,
250,0.0063509,,,
250,0.0066122,,,
250,0.0064588,,,
250,0.0066646,,,
250,0.0067524,,,
250,0.0065287,,,
250,0.0059129,,,
250,0.0066514,,,
250,0.0065696,,,
250,0.0065186,,,
250,0.0062603,,,
250,0.0064677,,,
250,0.0067289,,,
250,0.0069394,,,
250,0.005926,,,
250,0.0061501,,,
250,0.006152,,,
250,0.0065006,,,
250,0.006779,,,
250,0.006544,,,
250,0.0067614,,,
250,0.0058541,,,
250,0.0058895,,,
250,0.0061034,,,
250,0.00613,,,
250,0.0064468,,,
250,0.0066783,,,
250,0.006818,,,
250,0.0057127,,,
250,0.0061301,,,
250,0.0063542,,,
250,0.0056564,,,
250,0.0064783,,,
250,0.005633,,,
250,0.0054764,,,
250,0.0066995,,,
250,0.0072596,,,
250,0.0061135,,,
250,0.0066146,,,
250,0.0064803,,,
250,0.0062876,,,
250,0.0066119,,,
250,0.0069862,,,
250,0.0060116,,,
250,0.0065267,,,
250,0.0062508,,,
250,0.0060356,,,
250,0.0067154,,,
250,0.0067943,,,
250,0.0067456,,,
250,0.006983,,,
250,0.007076,,,
250,0.0062134,,,
250,0.0063307,,,
250,0.0060842,,,
250,0.0065612,,,
250,0.0070323,,,
250,0.0058856,,,
250,0.0059312,,,
250,0.0067438,,,
250,0.0065507,,,
250,0.0069399,,,
250,0.0065001,,,
250,0.006551,,,
250,0.0069936,,,
250,0.0067389,,,
250,0.0066504,,,
250,0.0071257,,,
250,0.0060097,,,
250,0.0068477,,,
250,0.006729,,,
250,0.0064581,,,
250,0.0068052,,,
250,0.00644,,,
250,0.0068639,,,
250,0.0069372,,,
250,0.0066968,,,
250,0.0061119,,,
250,0.0067159,,,
250,0.0063621,,,
250,0.0069787,,,
250,0.0066485,,,
250,0.0067998,,,
250,0.0056946,,,
250,0.0063231,,,
250,0.0062342,,,
250,0.0068167,,,
250,0.0069942,,,
250,0.0070137,,,
250,0.0065707,,,
250,0.0060954,,,
250,0.0075331,,,
250,0.0074349,,,
250,0.006484,,,
250,0.0063515,,,
250,0.0064128,,,
250,0.0065312,,,
250,0.0062984,,,
250,0.0054895,,,
250,0.0058469,,,
250,0.006275,,,
250,0.0070853,,,
250,0.0055164,,,
250,0.0059128,,,
250,0.0069063,,,
250,0.0060269,,,
250,0.0063519,,,
250,0.0069692,,,
250,0.0062906,,,
250,0.0057332,,,
250,0.0062995,,,
250,0.0070783,,,
250,0.0066013,,,
250,0.0059581,,,
250,0.0065705,,,
250,0.0066322,,,
250,0.0060796,,,
250,0.0070915,,,
250,0.0065784,,,
250,0.0064823,,,
250,0.0062599,,,
250,0.0062237,,,
250,0.0065291,,,
250,0.0066268,,,
250,0.0066395,,,
250,0.0061441,,,
250,0.0061284,,,
250,0.0067622,,,
250,0.0061936,,,
250,0.0060413,,,
250,0.0062192,,,
250,0.0070925,,,
250,0.0065346,,,
