Max Component Size,Compute Time (s),runScen3_1_rand,,,,
20,0.0008893,,19.465,0.000876129,,13
25,0.00097,,,,,
13,0.0009088,,,,,
20,0.0006673,,,,,
25,0.0006425,,,,,
25,0.0008395,,,,,
25,0.000746,,,,,
15,0.0008657,,,,,
20,0.0006885,,,,,
20,0.0008154,,,,,
13,0.0006875,,,,,
25,0.0007675,,,,,
20,0.0005502,,,,,
15,0.0006678,,,,,
13,0.0005594,,,,,
20,0.0007108,,,,,
20,0.0005502,,,,,
25,0.0006796,,,,,
20,0.0006098,,,,,
15,0.0007207,,,,,
20,0.0005874,,,,,
25,0.0007558,,,,,
20,0.0008698,,,,,
20,0.0009608,,,,,
15,0.0009581,,,,,
20,0.0007354,,,,,
25,0.0008613,,,,,
25,0.0009208,,,,,
20,0.0007316,,,,,
20,0.0008354,,,,,
20,0.0006546,,,,,
20,0.0006683,,,,,
25,0.000735,,,,,
20,0.0006834,,,,,
20,0.0006117,,,,,
20,0.0008491,,,,,
15,0.0006217,,,,,
25,0.0006733,,,,,
25,0.0011701,,,,,
25,0.0008875,,,,,
25,0.000851,,,,,
20,0.0006695,,,,,
25,0.0006919,,,,,
20,0.0007928,,,,,
20,0.0217312,,,,,
15,0.0007479,,,,,
20,0.0008108,,,,,
20,0.0007269,,,,,
25,0.0008041,,,,,
20,0.0006113,,,,,
25,0.0007654,,,,,
20,0.0008639,,,,,
20,0.0007014,,,,,
25,0.0008474,,,,,
25,0.0008204,,,,,
20,0.0008177,,,,,
20,0.0007015,,,,,
25,0.000864,,,,,
20,0.0007098,,,,,
25,0.0007389,,,,,
13,0.0007222,,,,,
20,0.000858,,,,,
20,0.0006686,,,,,
15,0.0008939,,,,,
15,0.0007239,,,,,
25,0.0008635,,,,,
25,0.0007763,,,,,
20,0.0008443,,,,,
20,0.0006929,,,,,
25,0.0006809,,,,,
13,0.0007222,,,,,
20,0.0007934,,,,,
20,0.0005794,,,,,
20,0.0008848,,,,,
20,0.0006398,,,,,
13,0.000749,,,,,
13,0.0006913,,,,,
13,0.0008755,,,,,
15,0.0011692,,,,,
20,0.000732,,,,,
25,0.0007899,,,,,
25,0.0008465,,,,,
20,0.0007433,,,,,
20,0.0007306,,,,,
25,0.0008035,,,,,
13,0.00085,,,,,
20,0.0007124,,,,,
20,0.000683,,,,,
20,0.0006095,,,,,
20,0.0006116,,,,,
20,0.0005922,,,,,
25,0.0008669,,,,,
20,0.000679,,,,,
20,0.0008674,,,,,
15,0.0008222,,,,,
13,0.0009934,,,,,
15,0.0007568,,,,,
20,0.0008194,,,,,
20,0.0007186,,,,,
13,0.0008074,,,,,
15,0.0006911,,,,,
20,0.0007725,,,,,
20,0.0006748,,,,,
25,0.0007889,,,,,
15,0.0007891,,,,,
15,0.0007775,,,,,
20,0.0006928,,,,,
20,0.00087,,,,,
20,0.000688,,,,,
25,0.0013186,,,,,
20,0.0007666,,,,,
20,0.0007669,,,,,
20,0.0007616,,,,,
20,0.0007844,,,,,
20,0.0006806,,,,,
15,0.0008908,,,,,
15,0.0006894,,,,,
25,0.0008915,,,,,
25,0.000793,,,,,
15,0.0007868,,,,,
20,0.0006166,,,,,
15,0.0009018,,,,,
20,0.000703,,,,,
20,0.0010389,,,,,
20,0.0007657,,,,,
15,0.0007558,,,,,
15,0.0008036,,,,,
20,0.00083,,,,,
20,0.0007248,,,,,
25,0.0008273,,,,,
15,0.0008441,,,,,
15,0.0007251,,,,,
15,0.0008944,,,,,
20,0.0007275,,,,,
15,0.0007086,,,,,
20,0.0007425,,,,,
20,0.0009376,,,,,
25,0.00078,,,,,
25,0.0007612,,,,,
20,0.0008195,,,,,
20,0.0006963,,,,,
20,0.0007964,,,,,
20,0.0007099,,,,,
20,0.0008166,,,,,
25,0.0007293,,,,,
15,0.0008853,,,,,
25,0.000724,,,,,
20,0.0007464,,,,,
25,0.0007901,,,,,
20,0.0007643,,,,,
15,0.0007885,,,,,
15,0.000753,,,,,
15,0.0007995,,,,,
15,0.000773,,,,,
25,0.0008564,,,,,
15,0.000732,,,,,
20,0.0008135,,,,,
15,0.0007462,,,,,
25,0.0008423,,,,,
15,0.0006419,,,,,
15,0.000813,,,,,
25,0.0007631,,,,,
20,0.0006888,,,,,
15,0.000743,,,,,
15,0.0008818,,,,,
15,0.0007243,,,,,
13,0.0008464,,,,,
25,0.0007161,,,,,
15,0.0008309,,,,,
15,0.0007562,,,,,
15,0.000851,,,,,
20,0.0007535,,,,,
15,0.0008763,,,,,
20,0.0006996,,,,,
13,0.0008913,,,,,
20,0.000709,,,,,
20,0.0007375,,,,,
15,0.0007201,,,,,
20,0.0009736,,,,,
20,0.0007575,,,,,
20,0.0008291,,,,,
13,0.0007448,,,,,
20,0.0008177,,,,,
20,0.0007812,,,,,
25,0.0007626,,,,,
20,0.0006261,,,,,
15,0.0007029,,,,,
20,0.000619,,,,,
20,0.0008238,,,,,
25,0.0006819,,,,,
20,0.0008023,,,,,
15,0.0006359,,,,,
20,0.0008655,,,,,
13,0.0006381,,,,,
25,0.0007339,,,,,
20,0.0008369,,,,,
15,0.0008971,,,,,
13,0.0007452,,,,,
20,0.0006892,,,,,
20,0.0006317,,,,,
