Max Component Size,Compute Time (s),partition_lgraph_spectral,,,,
30,0.1681677,,29.25,0.169751569,,18
30,0.1697748,,,,,
30,0.1723525,,,,,
30,0.1717781,,,,,
30,0.1809589,,,,,
30,0.1851317,,,,,
30,0.1710921,,,,,
30,0.1734547,,,,,
30,0.1694853,,,,,
30,0.1669606,,,,,
30,0.1697472,,,,,
30,0.172479,,,,,
30,0.1671359,,,,,
30,0.1711048,,,,,
30,0.1702015,,,,,
24,0.1657931,,,,,
30,0.1722187,,,,,
30,0.1668082,,,,,
30,0.168579,,,,,
30,0.1687327,,,,,
30,0.1691446,,,,,
30,0.1742408,,,,,
30,0.1713892,,,,,
30,0.169629,,,,,
30,0.1711484,,,,,
30,0.171019,,,,,
30,0.1728708,,,,,
30,0.1712627,,,,,
30,0.1653089,,,,,
30,0.1685404,,,,,
30,0.1671407,,,,,
30,0.1698498,,,,,
30,0.1677864,,,,,
18,0.1693898,,,,,
30,0.168996,,,,,
30,0.1694076,,,,,
30,0.1699949,,,,,
30,0.1694249,,,,,
30,0.1663252,,,,,
30,0.1718546,,,,,
30,0.1717125,,,,,
30,0.1707379,,,,,
30,0.1682517,,,,,
30,0.1696935,,,,,
18,0.1674379,,,,,
30,0.1712915,,,,,
30,0.1702669,,,,,
30,0.1695253,,,,,
30,0.1726425,,,,,
30,0.169567,,,,,
30,0.168268,,,,,
30,0.168015,,,,,
30,0.1673994,,,,,
24,0.1670409,,,,,
30,0.167254,,,,,
30,0.167916,,,,,
30,0.1679788,,,,,
30,0.1693707,,,,,
30,0.1693858,,,,,
30,0.1707126,,,,,
30,0.1718104,,,,,
30,0.1695113,,,,,
30,0.1691846,,,,,
30,0.1852434,,,,,
30,0.1701721,,,,,
30,0.1715011,,,,,
30,0.1699574,,,,,
30,0.1696627,,,,,
18,0.1709247,,,,,
30,0.1677719,,,,,
30,0.1704099,,,,,
30,0.1692061,,,,,
30,0.1715588,,,,,
30,0.1708156,,,,,
30,0.1682116,,,,,
30,0.1678717,,,,,
18,0.1683633,,,,,
30,0.1661863,,,,,
30,0.1674882,,,,,
30,0.1692528,,,,,
30,0.170226,,,,,
30,0.1685722,,,,,
30,0.1683199,,,,,
18,0.1725049,,,,,
30,0.1717201,,,,,
30,0.1667931,,,,,
30,0.1695784,,,,,
30,0.1702325,,,,,
30,0.1687978,,,,,
30,0.170601,,,,,
30,0.1688311,,,,,
30,0.1685475,,,,,
30,0.169805,,,,,
30,0.168856,,,,,
30,0.1693584,,,,,
30,0.175699,,,,,
30,0.1686023,,,,,
30,0.1696306,,,,,
30,0.1688343,,,,,
30,0.1692781,,,,,
30,0.1672984,,,,,
30,0.1681294,,,,,
30,0.1690235,,,,,
30,0.1705239,,,,,
30,0.1682179,,,,,
30,0.1741741,,,,,
30,0.1719225,,,,,
30,0.1700605,,,,,
30,0.1722117,,,,,
30,0.1664959,,,,,
30,0.1688729,,,,,
30,0.1686507,,,,,
30,0.1682366,,,,,
30,0.1706183,,,,,
30,0.1691619,,,,,
30,0.1711697,,,,,
24,0.1694704,,,,,
30,0.171313,,,,,
24,0.1672122,,,,,
30,0.1739823,,,,,
30,0.1704068,,,,,
30,0.1713105,,,,,
30,0.1696296,,,,,
30,0.1685591,,,,,
30,0.170915,,,,,
30,0.1676337,,,,,
30,0.1671634,,,,,
30,0.1697393,,,,,
30,0.1683649,,,,,
30,0.1685953,,,,,
30,0.1705147,,,,,
30,0.1711296,,,,,
30,0.1675249,,,,,
30,0.1710944,,,,,
30,0.1676469,,,,,
30,0.171549,,,,,
30,0.1683979,,,,,
24,0.1690564,,,,,
30,0.1691342,,,,,
30,0.1668473,,,,,
30,0.1699651,,,,,
30,0.1690598,,,,,
30,0.1712493,,,,,
30,0.1729233,,,,,
30,0.1668785,,,,,
30,0.1702819,,,,,
18,0.1690121,,,,,
30,0.1676735,,,,,
30,0.1661967,,,,,
30,0.1687719,,,,,
30,0.1717364,,,,,
30,0.1697735,,,,,
24,0.1674752,,,,,
30,0.1672415,,,,,
30,0.1674852,,,,,
30,0.1691246,,,,,
30,0.1682051,,,,,
30,0.1691636,,,,,
18,0.1662668,,,,,
30,0.1708021,,,,,
30,0.1687629,,,,,
30,0.1688783,,,,,
30,0.1703863,,,,,
30,0.1710244,,,,,
30,0.1679074,,,,,
30,0.1713554,,,,,
30,0.1722386,,,,,
30,0.170932,,,,,
30,0.1700516,,,,,
30,0.167836,,,,,
30,0.1669858,,,,,
30,0.166009,,,,,
30,0.1687794,,,,,
30,0.1706831,,,,,
30,0.169858,,,,,
30,0.1687122,,,,,
30,0.1707772,,,,,
30,0.1696396,,,,,
30,0.1719251,,,,,
30,0.1699969,,,,,
30,0.1689404,,,,,
30,0.1705314,,,,,
30,0.1695321,,,,,
24,0.1733173,,,,,
30,0.1705283,,,,,
30,0.1673566,,,,,
30,0.1669789,,,,,
30,0.1742276,,,,,
30,0.1708524,,,,,
30,0.1689458,,,,,
30,0.172665,,,,,
30,0.17279,,,,,
30,0.1693126,,,,,
30,0.1667639,,,,,
30,0.1685124,,,,,
30,0.1706234,,,,,
18,0.1687789,,,,,
30,0.1676619,,,,,
18,0.1700598,,,,,
30,0.1669109,,,,,
