Max Component Sizes,Compute Time (s),partition_lgraph_louvain,,Average Compute Time (s),Average Comp. Size
0.1923293,38,,,0.19535411,40.09
0.2102952,35,,,,
0.1946156,35,,,,
0.2196859,37,,,,
0.1940374,37,,,,
0.2024381,58,,,,
0.1974903,37,,,,
0.1809877,36,,,,
0.1905724,45,,,,
0.2133754,42,,,,
0.1988663,37,,,,
0.2043434,22,,,,
0.201351,40,,,,
0.1943842,65,,,,
0.2025311,37,,,,
0.2006068,39,,,,
0.1810111,46,,,,
0.191923,45,,,,
0.1886982,40,,,,
0.2030391,82,,,,
0.2104733,34,,,,
0.1824813,35,,,,
0.2092586,37,,,,
0.194494,38,,,,
0.1925476,46,,,,
0.1939861,39,,,,
0.1827998,48,,,,
0.1990476,29,,,,
0.1746602,42,,,,
0.2081042,37,,,,
0.202002,27,,,,
0.1941371,43,,,,
0.1979858,42,,,,
0.1962373,37,,,,
0.1718052,38,,,,
0.193296,50,,,,
0.1983735,37,,,,
0.1993446,41,,,,
0.2026552,40,,,,
0.1924157,46,,,,
0.1924649,46,,,,
0.2131031,40,,,,
0.1844171,29,,,,
0.1920708,50,,,,
0.196213,64,,,,
0.1944026,45,,,,
0.2043912,37,,,,
0.1848015,40,,,,
0.2185024,40,,,,
0.1909018,33,,,,
0.1869977,37,,,,
0.1868361,69,,,,
0.2009944,46,,,,
0.1915479,37,,,,
0.203716,34,,,,
0.2024368,34,,,,
0.2005079,41,,,,
0.1959397,35,,,,
0.176089,35,,,,
0.1791645,52,,,,
0.2074896,52,,,,
0.1761679,38,,,,
0.2182023,43,,,,
0.1819991,41,,,,
0.1834547,37,,,,
0.2007533,31,,,,
0.2006282,50,,,,
0.1888994,43,,,,
0.1939674,34,,,,
0.2053164,44,,,,
0.2008218,36,,,,
0.2074272,42,,,,
0.1997313,40,,,,
0.1761946,32,,,,
0.1867348,37,,,,
0.1960525,44,,,,
0.1848882,39,,,,
0.1785534,51,,,,
0.2086374,33,,,,
0.1942791,37,,,,
0.1873079,35,,,,
0.1920418,70,,,,
0.187238,39,,,,
0.1867427,45,,,,
0.1871768,27,,,,
0.1901867,24,,,,
0.2145013,32,,,,
0.1956988,43,,,,
0.1764958,31,,,,
0.1819919,37,,,,
0.2034771,41,,,,
0.1930777,28,,,,
0.2086601,40,,,,
0.2000306,26,,,,
0.1889311,39,,,,
0.1928467,36,,,,
0.1855783,43,,,,
0.213541,47,,,,
0.2035828,38,,,,
0.2143123,37,,,,
0.2011816,27,,,,
0.1877975,23,,,,
0.2018387,41,,,,
0.1750234,37,,,,
0.2280342,41,,,,
0.1997787,25,,,,
0.1803136,36,,,,
0.195898,37,,,,
0.1995192,38,,,,
0.2051732,34,,,,
0.206062,45,,,,
0.1941623,35,,,,
0.2078641,25,,,,
0.2125292,41,,,,
0.1898325,39,,,,
0.185634,48,,,,
0.1957504,60,,,,
0.209836,35,,,,
0.1892416,35,,,,
0.2215285,39,,,,
0.1963572,39,,,,
0.1986442,42,,,,
0.1980461,32,,,,
0.1771935,44,,,,
0.200452,55,,,,
0.1733348,36,,,,
0.2127247,46,,,,
0.1933896,33,,,,
0.1995692,45,,,,
0.1940848,64,,,,
0.2088562,36,,,,
0.1819036,45,,,,
0.1794687,54,,,,
0.1818101,35,,,,
0.1980008,25,,,,
0.1917228,37,,,,
0.2135961,24,,,,
0.1736182,35,,,,
0.1969111,37,,,,
0.2118948,39,,,,
0.2188507,32,,,,
0.2066256,52,,,,
0.1949174,59,,,,
0.1898151,37,,,,
0.2225294,34,,,,
0.2015115,38,,,,
0.2081108,33,,,,
0.2065617,42,,,,
0.1963157,32,,,,
0.1994176,35,,,,
0.1986113,37,,,,
0.213105,54,,,,
0.1984883,26,,,,
0.1967039,38,,,,
0.1981054,38,,,,
0.187133,40,,,,
0.1742678,47,,,,
0.1928488,37,,,,
0.1950435,35,,,,
0.1923178,41,,,,
0.1913212,35,,,,
0.2080554,43,,,,
0.1690381,63,,,,
0.1784096,47,,,,
0.2051143,38,,,,
0.1686883,41,,,,
0.1961693,63,,,,
0.1795766,35,,,,
0.1919167,47,,,,
0.1953224,42,,,,
0.200044,33,,,,
0.2094063,40,,,,
0.1822636,42,,,,
0.1861741,34,,,,
0.2020803,40,,,,
0.1758459,51,,,,
0.2110269,47,,,,
0.2095457,25,,,,
0.184283,36,,,,
0.1992693,32,,,,
0.1736073,33,,,,
0.2000134,60,,,,
0.2080295,46,,,,
0.1956573,44,,,,
0.1919799,36,,,,
0.1947411,35,,,,
0.2118474,40,,,,
0.1844875,36,,,,
0.1770326,35,,,,
0.2074172,32,,,,
0.1839491,39,,,,
0.196394,66,,,,
0.1920321,46,,,,
0.1740274,39,,,,
0.1806289,41,,,,
0.1743986,35,,,,
0.1960137,46,,,,
0.2004534,37,,,,
0.1864741,28,,,,
0.1904259,34,,,,
