Compute Time (s),Max Component Size,runScen2Random,,Average Compute Time (s),Average Comp. Size
0.0082664,200,,,0.008556821,173.425
0.0081317,149,,,,
0.008687,200,,,,
0.0084309,133,,,,
0.008155,182,,,,
0.0106598,200,,,,
0.00916,200,,,,
0.0080771,119,,,,
0.0085572,200,,,,
0.0084294,196,,,,
0.0081939,200,,,,
0.0083942,200,,,,
0.0085808,150,,,,
0.0087889,200,,,,
0.0081378,199,,,,
0.0083984,200,,,,
0.0088762,123,,,,
0.0083679,200,,,,
0.0087892,200,,,,
0.0082836,104,,,,
0.0082877,200,,,,
0.0088495,200,,,,
0.0085131,197,,,,
0.0088364,185,,,,
0.0085967,200,,,,
0.0083231,104,,,,
0.0084717,111,,,,
0.0088682,200,,,,
0.0088125,200,,,,
0.0084814,200,,,,
0.0088477,194,,,,
0.0085743,148,,,,
0.0086154,198,,,,
0.0088108,200,,,,
0.0081806,200,,,,
0.0084594,140,,,,
0.0088241,200,,,,
0.0083248,200,,,,
0.008772,200,,,,
0.0087121,200,,,,
0.0083056,95,,,,
0.00859,197,,,,
0.0085901,100,,,,
0.0084656,197,,,,
0.008613,200,,,,
0.0091722,197,,,,
0.0088205,191,,,,
0.0085863,197,,,,
0.0082049,200,,,,
0.0087524,100,,,,
0.0083378,76,,,,
0.0082448,191,,,,
0.0084311,200,,,,
0.00943,200,,,,
0.0082894,197,,,,
0.0081659,150,,,,
0.0086168,200,,,,
0.008573,171,,,,
0.0083055,200,,,,
0.0083061,200,,,,
0.0085486,195,,,,
0.0081294,167,,,,
0.0085818,197,,,,
0.0084521,111,,,,
0.0087103,197,,,,
0.0083693,96,,,,
0.0083335,101,,,,
0.0084868,197,,,,
0.0086522,197,,,,
0.0086747,200,,,,
0.0082131,97,,,,
0.0081599,125,,,,
0.0085354,182,,,,
0.0091744,185,,,,
0.0082401,80,,,,
0.0084659,155,,,,
0.0083932,187,,,,
0.008745,200,,,,
0.0085054,200,,,,
0.0084372,192,,,,
0.008231,100,,,,
0.0087377,198,,,,
0.0085542,73,,,,
0.0089428,200,,,,
0.0081498,103,,,,
0.0084705,111,,,,
0.0083917,96,,,,
0.0084373,200,,,,
0.0086146,171,,,,
0.0086619,200,,,,
0.0092756,200,,,,
0.0079811,130,,,,
0.0084101,157,,,,
0.0085855,120,,,,
0.008413,197,,,,
0.0082488,101,,,,
0.0086615,199,,,,
0.0083957,154,,,,
0.0089852,200,,,,
0.0087362,200,,,,
0.0086137,197,,,,
0.0086591,200,,,,
0.0084101,101,,,,
0.0093474,200,,,,
0.008604,186,,,,
0.0087335,200,,,,
0.008598,200,,,,
0.0088677,200,,,,
0.0086297,187,,,,
0.0083537,187,,,,
0.0084141,151,,,,
0.0084416,200,,,,
0.0085546,200,,,,
0.0084773,200,,,,
0.0081107,145,,,,
0.0085652,200,,,,
0.0085629,169,,,,
0.0085609,200,,,,
0.0084823,198,,,,
0.0085246,195,,,,
0.0081666,200,,,,
0.0085516,195,,,,
0.0085845,189,,,,
0.0087943,200,,,,
0.00843,149,,,,
0.0084661,200,,,,
0.0082287,65,,,,
0.0089683,185,,,,
0.008614,200,,,,
0.0087753,196,,,,
0.0083155,130,,,,
0.0086703,197,,,,
0.0087877,200,,,,
0.0085275,200,,,,
0.0084762,200,,,,
0.0085722,200,,,,
0.0083084,193,,,,
0.0081923,69,,,,
0.0082126,110,,,,
0.0079631,57,,,,
0.0081506,54,,,,
0.008775,197,,,,
0.0083822,86,,,,
0.0083749,118,,,,
0.0083375,200,,,,
0.0085641,200,,,,
0.0086431,197,,,,
0.0087519,189,,,,
0.0085512,195,,,,
0.0080986,200,,,,
0.0082294,100,,,,
0.0085282,142,,,,
0.0087328,200,,,,
0.0088106,200,,,,
0.0084432,197,,,,
0.0086796,200,,,,
0.008448,180,,,,
0.008824,200,,,,
0.0088142,198,,,,
0.008808,196,,,,
0.008341,200,,,,
0.0086356,189,,,,
0.0083109,200,,,,
0.0088125,196,,,,
0.0084201,121,,,,
0.0084502,198,,,,
0.0084832,181,,,,
0.0087575,200,,,,
0.0086937,195,,,,
0.0087995,200,,,,
0.0086188,200,,,,
0.0086694,200,,,,
0.0085887,191,,,,
0.0090237,200,,,,
0.0083781,121,,,,
0.0081695,193,,,,
0.0081666,105,,,,
0.0089895,199,,,,
0.0084489,134,,,,
0.0084711,130,,,,
0.0089282,197,,,,
0.0082771,145,,,,
0.008486,200,,,,
0.0090831,200,,,,
0.0088074,200,,,,
0.0088942,190,,,,
0.0085863,187,,,,
0.008195,101,,,,
0.0085292,200,,,,
0.0087086,199,,,,
0.0087307,196,,,,
0.0084622,200,,,,
0.0084565,99,,,,
0.008523,190,,,,
0.0083668,108,,,,
0.0088971,200,,,,
0.0086164,200,,,,
0.0087953,168,,,,
0.0093397,190,,,,
0.008369,200,,,,
