Max Component Sizes,Compute Time (s),runScen3Random,,Average Compute Size,Average Compute Time (s)
1.7304446,200,,,197.895,1.731758551
1.6832927,200,,,,
1.6878314,200,,,,
1.7039539,200,,,,
1.6883741,200,,,,
1.68305,200,,,,
1.6740035,200,,,,
1.7082337,200,,,,
1.6933189,200,,,,
1.6761836,200,,,,
1.6892109,123,,,,
1.6850483,200,,,,
1.6754609,200,,,,
1.691942,200,,,,
1.681033,200,,,,
1.7220188,200,,,,
1.6931662,200,,,,
1.7026738,200,,,,
1.6911674,200,,,,
1.6823565,200,,,,
1.6727203,200,,,,
1.6729102,200,,,,
1.6870371,200,,,,
1.6999196,200,,,,
1.6804689,200,,,,
1.6949842,200,,,,
1.6931693,200,,,,
1.6960248,200,,,,
1.7127457,200,,,,
1.6916148,200,,,,
1.691663,200,,,,
1.7039418,200,,,,
1.7046479,200,,,,
1.6730479,200,,,,
1.692373,200,,,,
1.6758524,200,,,,
1.7055765,200,,,,
1.6775796,200,,,,
1.6920684,200,,,,
1.6955326,200,,,,
1.6868689,200,,,,
1.682487,200,,,,
1.7012762,200,,,,
1.6793715,200,,,,
1.7132051,200,,,,
1.6922795,200,,,,
1.6898826,200,,,,
1.6868466,200,,,,
1.6868215,200,,,,
1.6940058,200,,,,
1.6930198,200,,,,
1.6790083,200,,,,
1.7021385,200,,,,
1.683366,200,,,,
1.6736519,178,,,,
1.6952344,116,,,,
1.6859424,200,,,,
1.6996505,200,,,,
1.6962608,200,,,,
1.6793402,200,,,,
1.7009686,200,,,,
1.7026243,200,,,,
1.6773255,114,,,,
1.6826629,200,,,,
1.6928319,200,,,,
1.687634,200,,,,
1.6745169,200,,,,
1.6978228,200,,,,
1.6904183,200,,,,
1.7014243,200,,,,
1.6694083,200,,,,
1.7069376,200,,,,
1.6981744,200,,,,
1.7173001,200,,,,
1.6802727,200,,,,
1.6836939,200,,,,
1.7896302,200,,,,
1.8071286,200,,,,
1.6697397,200,,,,
1.7006398,200,,,,
1.7109809,200,,,,
1.677553,200,,,,
1.6837668,155,,,,
1.6897692,200,,,,
1.794708,200,,,,
1.6888006,200,,,,
1.6890188,200,,,,
1.7013784,200,,,,
1.7005436,200,,,,
1.6753686,200,,,,
1.6948198,200,,,,
1.7033992,200,,,,
1.7840594,200,,,,
1.6957659,200,,,,
1.696923,200,,,,
1.6984277,200,,,,
1.7098762,200,,,,
1.6983613,200,,,,
1.6931452,200,,,,
1.6941342,200,,,,
2.6311491,200,,,,
1.9676138,200,,,,
2.1853452,200,,,,
2.1955692,200,,,,
2.0536112,200,,,,
1.9178307,200,,,,
1.9522133,200,,,,
1.9368283,200,,,,
1.9002204,200,,,,
1.858837,200,,,,
1.8601009,200,,,,
1.8788888,200,,,,
1.9009651,200,,,,
1.8886146,115,,,,
1.872134,200,,,,
1.7654144,200,,,,
1.7606886,200,,,,
1.7473514,200,,,,
1.8276154,200,,,,
2.0070973,200,,,,
2.0505255,200,,,,
1.6901689,200,,,,
1.6947394,200,,,,
1.6746289,200,,,,
1.671202,200,,,,
1.6743088,200,,,,
1.6765669,200,,,,
1.6818579,200,,,,
1.684614,200,,,,
1.8106672,200,,,,
1.7320369,200,,,,
1.7144212,200,,,,
1.7080459,200,,,,
1.6773878,200,,,,
1.6958344,200,,,,
1.6903935,200,,,,
1.7097424,200,,,,
1.6780882,200,,,,
1.6929971,200,,,,
1.683914,200,,,,
1.6863467,200,,,,
1.7152325,200,,,,
1.69531,200,,,,
1.7047159,200,,,,
1.6860432,200,,,,
1.6779049,200,,,,
1.6883105,200,,,,
1.6987693,200,,,,
1.6883901,200,,,,
1.6998559,200,,,,
1.6751081,200,,,,
1.6895002,200,,,,
1.7130129,200,,,,
1.6944686,200,,,,
1.695602,200,,,,
1.6885914,200,,,,
1.7096266,200,,,,
1.7004401,200,,,,
1.6876819,200,,,,
1.6938542,200,,,,
1.6986165,200,,,,
1.7041705,200,,,,
1.6875951,200,,,,
1.7406033,200,,,,
1.8437516,200,,,,
1.7269835,200,,,,
1.7142995,200,,,,
1.7339875,200,,,,
1.8105716,200,,,,
1.7858153,200,,,,
1.7596181,200,,,,
1.8422476,200,,,,
1.8568574,200,,,,
1.8150125,200,,,,
1.7246621,200,,,,
1.7940671,200,,,,
1.7224885,200,,,,
1.7942176,200,,,,
1.9021146,200,,,,
1.7174974,200,,,,
1.7271359,200,,,,
1.7236414,200,,,,
1.7426071,200,,,,
1.71846,200,,,,
1.7394292,200,,,,
1.7290757,200,,,,
1.6770492,200,,,,
1.6848538,200,,,,
1.7064473,178,,,,
1.7017968,200,,,,
1.7061839,200,,,,
1.6951118,200,,,,
1.7267079,200,,,,
1.6795724,200,,,,
1.6991248,200,,,,
1.6874142,200,,,,
1.6846682,200,,,,
1.6914319,200,,,,
1.6854752,200,,,,
1.7120972,200,,,,
