Max Component Sizes,Compute Time (s),runScen3_1_rand,,Average Compute Time (s),Average Comp. Size
0.1513051,193,,,0.143474734,191.65
0.1428404,200,,,,
0.1396802,200,,,,
0.161842,200,,,,
0.1447618,178,,,,
0.1495603,200,,,,
0.1400385,200,,,,
0.1391086,198,,,,
0.1450055,198,,,,
0.1489032,198,,,,
0.1475654,200,,,,
0.1444232,126,,,,
0.1465074,200,,,,
0.1425711,171,,,,
0.1437992,196,,,,
0.1380059,200,,,,
0.1478904,200,,,,
0.1399328,196,,,,
0.1402535,190,,,,
0.1454109,200,,,,
0.1366522,157,,,,
0.1457479,200,,,,
0.1398945,200,,,,
0.1385397,193,,,,
0.1396475,200,,,,
0.1449691,196,,,,
0.1426009,200,,,,
0.142009,99,,,,
0.142008,200,,,,
0.1475422,200,,,,
0.1450742,200,,,,
0.1395705,197,,,,
0.1446924,200,,,,
0.1512276,200,,,,
0.1408827,200,,,,
0.1397926,193,,,,
0.1439546,200,,,,
0.1422668,200,,,,
0.1408111,200,,,,
0.1447642,197,,,,
0.1402672,200,,,,
0.1435965,196,,,,
0.1472874,194,,,,
0.1453735,200,,,,
0.1490573,200,,,,
0.136979,192,,,,
0.1454973,200,,,,
0.1412335,200,,,,
0.1471863,188,,,,
0.1423126,194,,,,
0.1469117,200,,,,
0.1401993,200,,,,
0.1468776,200,,,,
0.1436038,200,,,,
0.1528188,200,,,,
0.1380638,105,,,,
0.1470338,191,,,,
0.1474988,200,,,,
0.1430046,200,,,,
0.140518,200,,,,
0.1410157,200,,,,
0.1400046,200,,,,
0.1400379,196,,,,
0.1436992,200,,,,
0.1483832,194,,,,
0.1468907,190,,,,
0.1440332,196,,,,
0.1455288,200,,,,
0.1436378,197,,,,
0.1423801,200,,,,
0.1439878,200,,,,
0.1440924,200,,,,
0.1372637,200,,,,
0.1433832,200,,,,
0.1473363,194,,,,
0.1454985,200,,,,
0.1429919,187,,,,
0.155285,192,,,,
0.1435903,194,,,,
0.1405193,200,,,,
0.1436681,200,,,,
0.1442835,200,,,,
0.1411771,182,,,,
0.1465875,200,,,,
0.1426623,192,,,,
0.1503336,200,,,,
0.1481753,200,,,,
0.1450403,192,,,,
0.1468708,184,,,,
0.1393876,200,,,,
0.1456376,200,,,,
0.1379819,200,,,,
0.1431847,194,,,,
0.1465058,200,,,,
0.1446995,200,,,,
0.1411231,200,,,,
0.1432353,200,,,,
0.1343201,200,,,,
0.1444522,200,,,,
0.14475,200,,,,
0.1500445,119,,,,
0.1399881,200,,,,
0.1350985,200,,,,
0.1412782,200,,,,
0.1417588,196,,,,
0.1401375,200,,,,
0.140414,185,,,,
0.1462921,200,,,,
0.1433065,200,,,,
0.1431566,200,,,,
0.1485669,200,,,,
0.1474969,187,,,,
0.1473373,200,,,,
0.141162,200,,,,
0.1398193,200,,,,
0.1392617,166,,,,
0.1431579,200,,,,
0.1400279,200,,,,
0.1368435,200,,,,
0.1423809,96,,,,
0.1448484,200,,,,
0.1394355,200,,,,
0.1506942,200,,,,
0.1445535,200,,,,
0.1400007,200,,,,
0.1392907,109,,,,
0.1451667,180,,,,
0.1344532,200,,,,
0.1457981,200,,,,
0.143798,200,,,,
0.1403573,200,,,,
0.1440881,200,,,,
0.1409483,200,,,,
0.1396603,194,,,,
0.1442893,194,,,,
0.1414431,200,,,,
0.1439881,192,,,,
0.1383107,195,,,,
0.1415767,200,,,,
0.1438751,200,,,,
0.1383373,200,,,,
0.142625,193,,,,
0.1386976,188,,,,
0.1405476,200,,,,
0.1612163,193,,,,
0.1559668,200,,,,
0.1414221,200,,,,
0.1458854,200,,,,
0.1417887,200,,,,
0.1435548,200,,,,
0.1491233,194,,,,
0.1350882,200,,,,
0.1450786,116,,,,
0.140219,200,,,,
0.1403625,200,,,,
0.1468152,187,,,,
0.1354823,180,,,,
0.1480678,183,,,,
0.1410963,200,,,,
0.1420913,200,,,,
0.1435675,200,,,,
0.1464504,200,,,,
0.1393844,191,,,,
0.1424771,200,,,,
0.141811,200,,,,
0.1465771,200,,,,
0.1429936,189,,,,
0.1441451,179,,,,
0.1500575,200,,,,
0.1434038,195,,,,
0.1406171,117,,,,
0.1448282,81,,,,
0.1414858,197,,,,
0.1420402,200,,,,
0.1473722,200,,,,
0.1443348,187,,,,
0.1396041,200,,,,
0.1472437,200,,,,
0.1455492,200,,,,
0.1390898,200,,,,
0.1416814,200,,,,
0.1417606,84,,,,
0.1462119,200,,,,
0.1398521,196,,,,
0.1479914,200,,,,
0.1424238,200,,,,
0.1461189,108,,,,
0.1382383,200,,,,
0.1427339,200,,,,
0.1439129,192,,,,
0.1449603,194,,,,
0.1425307,200,,,,
0.1397477,200,,,,
0.1484015,200,,,,
0.1490453,200,,,,
0.1461021,156,,,,
0.1408251,200,,,,
0.1370877,200,,,,
0.138172,200,,,,
0.1455357,197,,,,
