Max Component Sizes,Compute Time (s),runScen3_1_rand,,Average Compute Size,Average Compute Time (s)
0.137975,187,,,199.935,0.131687239
0.1576838,200,,,,
0.130896,200,,,,
0.158702,200,,,,
0.1395293,200,,,,
0.1297638,200,,,,
0.1320456,200,,,,
0.1243427,200,,,,
0.1302631,200,,,,
0.1259258,200,,,,
0.1337061,200,,,,
0.1309488,200,,,,
0.127589,200,,,,
0.1330161,200,,,,
0.130183,200,,,,
0.1282093,200,,,,
0.1296187,200,,,,
0.1289949,200,,,,
0.1335804,200,,,,
0.131594,200,,,,
0.1312532,200,,,,
0.130373,200,,,,
0.1284087,200,,,,
0.1364555,200,,,,
0.1367123,200,,,,
0.1247932,200,,,,
0.1306827,200,,,,
0.1316495,200,,,,
0.1374238,200,,,,
0.1258198,200,,,,
0.1340834,200,,,,
0.1256665,200,,,,
0.1366064,200,,,,
0.1292962,200,,,,
0.1332087,200,,,,
0.1344239,200,,,,
0.1332287,200,,,,
0.1307833,200,,,,
0.1304784,200,,,,
0.1306322,200,,,,
0.1359184,200,,,,
0.1331987,200,,,,
0.1269956,200,,,,
0.1319897,200,,,,
0.1268852,200,,,,
0.1280091,200,,,,
0.1329652,200,,,,
0.1329305,200,,,,
0.1367091,200,,,,
0.1341353,200,,,,
0.1328852,200,,,,
0.1348783,200,,,,
0.1318732,200,,,,
0.1283091,200,,,,
0.1304891,200,,,,
0.1354285,200,,,,
0.1315677,200,,,,
0.1267099,200,,,,
0.1320756,200,,,,
0.1330456,200,,,,
0.1397539,200,,,,
0.1271941,200,,,,
0.1298681,200,,,,
0.1298944,200,,,,
0.1272807,200,,,,
0.1365157,200,,,,
0.1358195,200,,,,
0.131815,200,,,,
0.1347745,200,,,,
0.1326463,200,,,,
0.1305879,200,,,,
0.1355021,200,,,,
0.129987,200,,,,
0.1398617,200,,,,
0.1292726,200,,,,
0.1365856,200,,,,
0.1411771,200,,,,
0.1352679,200,,,,
0.1281381,200,,,,
0.1333315,200,,,,
0.1271248,200,,,,
0.1400114,200,,,,
0.130835,200,,,,
0.1349945,200,,,,
0.131123,200,,,,
0.1311058,200,,,,
0.1246048,200,,,,
0.1244591,200,,,,
0.132053,200,,,,
0.137666,200,,,,
0.13503,200,,,,
0.1323177,200,,,,
0.1277938,200,,,,
0.1310165,200,,,,
0.1255799,200,,,,
0.1271193,200,,,,
0.1355141,200,,,,
0.1323959,200,,,,
0.1312654,200,,,,
0.1286807,200,,,,
0.1321206,200,,,,
0.1269239,200,,,,
0.1320954,200,,,,
0.1300617,200,,,,
0.1286735,200,,,,
0.1253248,200,,,,
0.1329675,200,,,,
0.1321871,200,,,,
0.1309992,200,,,,
0.1331878,200,,,,
0.1332629,200,,,,
0.1231315,200,,,,
0.1281929,200,,,,
0.1308687,200,,,,
0.1347083,200,,,,
0.1286422,200,,,,
0.1335478,200,,,,
0.1341003,200,,,,
0.1315916,200,,,,
0.1247394,200,,,,
0.1427671,200,,,,
0.1296054,200,,,,
0.128893,200,,,,
0.1376782,200,,,,
0.1283082,200,,,,
0.1363661,200,,,,
0.1328977,200,,,,
0.1314809,200,,,,
0.1342973,200,,,,
0.1316944,200,,,,
0.1312659,200,,,,
0.12528,200,,,,
0.1288773,200,,,,
0.1265823,200,,,,
0.1331663,200,,,,
0.1319495,200,,,,
0.1254076,200,,,,
0.1291808,200,,,,
0.126497,200,,,,
0.1316575,200,,,,
0.1345172,200,,,,
0.1352469,200,,,,
0.1290538,200,,,,
0.1270643,200,,,,
0.1260461,200,,,,
0.1300302,200,,,,
0.1282801,200,,,,
0.1369296,200,,,,
0.1337909,200,,,,
0.124857,200,,,,
0.1376871,200,,,,
0.1296263,200,,,,
0.1300315,200,,,,
0.1286994,200,,,,
0.1366622,200,,,,
0.1294016,200,,,,
0.1398483,200,,,,
0.1271201,200,,,,
0.1256017,200,,,,
0.1265886,200,,,,
0.1412211,200,,,,
0.1314833,200,,,,
0.1290656,200,,,,
0.1302941,200,,,,
0.1302527,200,,,,
0.1368757,200,,,,
0.1299635,200,,,,
0.1334986,200,,,,
0.1356443,200,,,,
0.1336402,200,,,,
0.1305467,200,,,,
0.1308787,200,,,,
0.1341634,200,,,,
0.1272334,200,,,,
0.1267843,200,,,,
0.136059,200,,,,
0.1309246,200,,,,
0.1289081,200,,,,
0.1319589,200,,,,
0.1344256,200,,,,
0.1253535,200,,,,
0.1284743,200,,,,
0.1302088,200,,,,
0.1329433,200,,,,
0.1288842,200,,,,
0.1281325,200,,,,
0.126606,200,,,,
0.1265756,200,,,,
0.1293416,200,,,,
0.130997,200,,,,
0.1259719,200,,,,
0.1340909,200,,,,
0.1297371,200,,,,
0.1310239,200,,,,
0.1296193,200,,,,
0.1332398,200,,,,
0.130017,200,,,,
0.1294108,200,,,,
0.1399779,200,,,,
0.145248,200,,,,
