Max Component Sizes,Compute Time (s),runScen2_2Random,,Average Compute Time (s),Average Comp. Size
0.0079138,71,,,0.008002363,176.74
0.0079809,200,,,,
0.0079084,200,,,,
0.0078092,192,,,,
0.0080394,200,,,,
0.0080557,200,,,,
0.0079807,200,,,,
0.0084736,200,,,,
0.0078552,185,,,,
0.0078361,116,,,,
0.007866,175,,,,
0.0079748,200,,,,
0.0078786,200,,,,
0.0080601,200,,,,
0.0077498,196,,,,
0.0081283,198,,,,
0.0079311,200,,,,
0.008298,200,,,,
0.0079062,200,,,,
0.0077983,115,,,,
0.0080072,200,,,,
0.0080412,200,,,,
0.0077408,180,,,,
0.0078353,163,,,,
0.0078956,196,,,,
0.0078939,200,,,,
0.0080668,200,,,,
0.0079154,200,,,,
0.0082171,200,,,,
0.0077758,165,,,,
0.0078283,162,,,,
0.0076973,165,,,,
0.0081228,200,,,,
0.0079696,200,,,,
0.0076394,94,,,,
0.0078709,200,,,,
0.0081287,198,,,,
0.0080453,200,,,,
0.008071,197,,,,
0.0080266,200,,,,
0.0079949,200,,,,
0.0079417,200,,,,
0.007766,140,,,,
0.0077744,128,,,,
0.0080911,146,,,,
0.0080964,199,,,,
0.0086338,199,,,,
0.0077303,200,,,,
0.0079075,200,,,,
0.0078443,197,,,,
0.007826,200,,,,
0.0077608,101,,,,
0.0081998,200,,,,
0.0078893,200,,,,
0.007972,200,,,,
0.0079905,198,,,,
0.0080026,197,,,,
0.0078655,107,,,,
0.0077216,200,,,,
0.0077828,91,,,,
0.0081563,200,,,,
0.0079693,200,,,,
0.0082347,195,,,,
0.0087385,197,,,,
0.0078675,200,,,,
0.0077663,113,,,,
0.0081255,102,,,,
0.0079154,200,,,,
0.0092092,93,,,,
0.0080444,193,,,,
0.0077524,142,,,,
0.0089156,114,,,,
0.0080362,200,,,,
0.0081261,195,,,,
0.0080902,200,,,,
0.0083709,166,,,,
0.0081498,109,,,,
0.0080731,200,,,,
0.0079372,200,,,,
0.0079918,198,,,,
0.0079492,200,,,,
0.0082627,154,,,,
0.0079363,154,,,,
0.0081128,200,,,,
0.0090729,82,,,,
0.0084113,200,,,,
0.0080026,196,,,,
0.0079606,200,,,,
0.0079321,195,,,,
0.008661,200,,,,
0.0081565,164,,,,
0.0078977,155,,,,
0.0080886,200,,,,
0.0077935,149,,,,
0.0081644,200,,,,
0.007688,95,,,,
0.0087507,200,,,,
0.0082523,200,,,,
0.0079397,119,,,,
0.0090561,196,,,,
0.0084739,200,,,,
0.0081838,111,,,,
0.0079219,156,,,,
0.0077542,81,,,,
0.007931,98,,,,
0.0079397,200,,,,
0.007821,118,,,,
0.0078173,200,,,,
0.0082268,200,,,,
0.0079113,192,,,,
0.0080906,200,,,,
0.0080349,190,,,,
0.0081372,180,,,,
0.0079348,188,,,,
0.0077995,146,,,,
0.0075998,200,,,,
0.0079947,132,,,,
0.0079207,191,,,,
0.0077745,122,,,,
0.0076457,98,,,,
0.0078594,105,,,,
0.0080394,200,,,,
0.0078965,198,,,,
0.0080571,200,,,,
0.008052,156,,,,
0.007781,131,,,,
0.0080872,200,,,,
0.0077311,119,,,,
0.0080798,200,,,,
0.0082823,200,,,,
0.0079492,193,,,,
0.0077876,196,,,,
0.0078741,200,,,,
0.0075193,81,,,,
0.0077828,104,,,,
0.0077926,101,,,,
0.0079921,200,,,,
0.0077943,101,,,,
0.0079486,200,,,,
0.0079465,193,,,,
0.0080827,110,,,,
0.0079624,200,,,,
0.0081972,195,,,,
0.0081795,77,,,,
0.0079203,196,,,,
0.0082143,194,,,,
0.0078886,198,,,,
0.0078778,199,,,,
0.0077334,200,,,,
0.0081172,200,,,,
0.0079598,200,,,,
0.0079445,200,,,,
0.0077252,200,,,,
0.0080466,195,,,,
0.0078079,195,,,,
0.0078906,162,,,,
0.0079414,200,,,,
0.0078545,175,,,,
0.0078457,200,,,,
0.0079208,200,,,,
0.0076867,134,,,,
0.0080977,200,,,,
0.0077589,156,,,,
0.0081228,200,,,,
0.0079132,200,,,,
0.0079142,196,,,,
0.0079856,110,,,,
0.0081037,191,,,,
0.008182,200,,,,
0.007913,199,,,,
0.0078616,118,,,,
0.0078063,198,,,,
0.0078144,200,,,,
0.00783,200,,,,
0.00783,138,,,,
0.0079875,196,,,,
0.007902,134,,,,
0.007879,200,,,,
0.0078395,197,,,,
0.007871,200,,,,
0.0079333,198,,,,
0.0077818,195,,,,
0.0081342,200,,,,
0.0082504,183,,,,
0.0079079,200,,,,
0.0079639,119,,,,
0.0080283,194,,,,
0.0083646,200,,,,
0.0083176,186,,,,
0.0081613,194,,,,
0.0084002,198,,,,
0.0079955,200,,,,
0.0077804,200,,,,
0.0079995,197,,,,
0.0079032,200,,,,
0.0081429,193,,,,
0.0081264,200,,,,
0.0078624,200,,,,
0.0082847,200,,,,
0.0079746,200,,,,
