Max Component Sizes,Compute Time (s),runScen2Random,,Average Compute Size,Average Compute Time (s)
0.0045696,100,,,82.55,0.004330585
0.0042943,100,,,,
0.0042694,65,,,,
0.0044591,91,,,,
0.0045705,93,,,,
0.0043925,100,,,,
0.0041226,100,,,,
0.0041674,40,,,,
0.004379,100,,,,
0.0044577,86,,,,
0.0042416,93,,,,
0.0047281,100,,,,
0.0041815,53,,,,
0.0042177,85,,,,
0.004324,95,,,,
0.003897,42,,,,
0.0042891,100,,,,
0.0042736,100,,,,
0.0040046,72,,,,
0.0042456,100,,,,
0.0043408,100,,,,
0.0045426,100,,,,
0.0042527,100,,,,
0.0040843,59,,,,
0.0047977,87,,,,
0.0048388,100,,,,
0.0044486,100,,,,
0.0041007,50,,,,
0.0041693,100,,,,
0.0041817,100,,,,
0.0041505,100,,,,
0.0041038,100,,,,
0.0041157,100,,,,
0.0044986,100,,,,
0.0042625,100,,,,
0.0040622,59,,,,
0.0041583,64,,,,
0.0040768,48,,,,
0.0042848,100,,,,
0.0042409,100,,,,
0.0041173,100,,,,
0.0042511,100,,,,
0.0041801,100,,,,
0.0041517,100,,,,
0.0043164,100,,,,
0.0038799,34,,,,
0.0042997,100,,,,
0.0043963,92,,,,
0.0044609,100,,,,
0.0044427,100,,,,
0.0041159,50,,,,
0.0041338,52,,,,
0.004332,100,,,,
0.0039689,36,,,,
0.0040546,25,,,,
0.0042718,100,,,,
0.0044044,100,,,,
0.0041548,100,,,,
0.004446,100,,,,
0.0042251,60,,,,
0.0041264,65,,,,
0.0041348,54,,,,
0.004015,100,,,,
0.0051844,50,,,,
0.0048145,100,,,,
0.0046995,100,,,,
0.0044842,51,,,,
0.0045263,96,,,,
0.0045626,64,,,,
0.0043101,100,,,,
0.0044726,79,,,,
0.0041305,68,,,,
0.0044027,95,,,,
0.0043121,81,,,,
0.0048719,96,,,,
0.0043902,100,,,,
0.0044845,54,,,,
0.0045286,100,,,,
0.0046113,100,,,,
0.0043119,100,,,,
0.004301,92,,,,
0.0044623,100,,,,
0.0039022,47,,,,
0.004204,75,,,,
0.0041849,100,,,,
0.0043059,100,,,,
0.0041582,65,,,,
0.0043227,100,,,,
0.0043286,98,,,,
0.004397,100,,,,
0.0040776,50,,,,
0.0040522,54,,,,
0.0042429,47,,,,
0.0042576,100,,,,
0.0042399,100,,,,
0.0041821,67,,,,
0.0043794,88,,,,
0.0041159,60,,,,
0.004294,100,,,,
0.0042669,62,,,,
0.0044385,94,,,,
0.0040627,54,,,,
0.0042327,83,,,,
0.0040789,57,,,,
0.0047723,69,,,,
0.0042691,50,,,,
0.0042736,93,,,,
0.0044009,91,,,,
0.0041532,45,,,,
0.0043035,72,,,,
0.004692,50,,,,
0.0044484,50,,,,
0.004059,75,,,,
0.0039861,50,,,,
0.0044985,100,,,,
0.0044047,100,,,,
0.004729,83,,,,
0.0046554,100,,,,
0.0046257,100,,,,
0.0044966,71,,,,
0.0041658,91,,,,
0.0041312,37,,,,
0.0045335,73,,,,
0.0044509,51,,,,
0.0043209,59,,,,
0.0044165,100,,,,
0.0048673,97,,,,
0.0044914,100,,,,
0.004348,96,,,,
0.0041736,50,,,,
0.0042838,52,,,,
0.00488,100,,,,
0.0042206,62,,,,
0.0041126,100,,,,
0.004136,94,,,,
0.0045079,100,,,,
0.004478,100,,,,
0.0044402,100,,,,
0.0041514,59,,,,
0.0044989,100,,,,
0.0043231,100,,,,
0.0053199,100,,,,
0.0046901,100,,,,
0.0047075,100,,,,
0.0041838,40,,,,
0.0047785,84,,,,
0.0050458,100,,,,
0.0045587,100,,,,
0.0047724,52,,,,
0.0044586,100,,,,
0.0043497,98,,,,
0.004025,38,,,,
0.0044784,100,,,,
0.0040131,54,,,,
0.0040726,87,,,,
0.0042122,88,,,,
0.0044144,100,,,,
0.0043386,100,,,,
0.0038618,46,,,,
0.0042208,50,,,,
0.0043993,79,,,,
0.0039161,70,,,,
0.0043154,60,,,,
0.004251,100,,,,
0.0043305,100,,,,
0.0044404,82,,,,
0.0044291,98,,,,
0.0041248,58,,,,
0.0044177,100,,,,
0.0047737,100,,,,
0.0039387,61,,,,
0.0044726,87,,,,
0.0047737,100,,,,
0.0041862,100,,,,
0.004246,100,,,,
0.0041578,100,,,,
0.0039982,31,,,,
0.0041525,86,,,,
0.0042812,87,,,,
0.0040559,100,,,,
0.0039803,50,,,,
0.0047647,83,,,,
0.0042698,100,,,,
0.004137,48,,,,
0.0041796,85,,,,
0.0041722,58,,,,
0.0043356,100,,,,
0.0044475,100,,,,
0.0041609,83,,,,
0.0043,100,,,,
0.0042112,100,,,,
0.0045776,81,,,,
0.0043344,52,,,,
0.0044892,100,,,,
0.0042298,100,,,,
0.0041436,87,,,,
0.0041427,50,,,,
0.0043483,100,,,,
0.0045169,100,,,,
0.0042515,100,,,,
