Max Component Sizes,Compute Time (s),runScen2_3Random,,Average Compute Size,Average Compute Time (s)
0.4443626,96,,,85.91,0.426466825
0.4325232,100,,,,
0.4905226,48,,,,
0.4627258,96,,,,
0.4352622,100,,,,
0.4463684,80,,,,
0.4622292,100,,,,
0.4592746,77,,,,
0.4429477,100,,,,
0.4243476,92,,,,
0.5677758,58,,,,
0.4530113,58,,,,
0.4506389,100,,,,
0.4247251,58,,,,
0.4612538,100,,,,
0.4361282,100,,,,
0.4582369,43,,,,
0.4417184,100,,,,
0.449437,61,,,,
0.4517164,88,,,,
0.4542087,57,,,,
0.4435502,100,,,,
0.4502363,100,,,,
0.4542401,85,,,,
0.4365316,83,,,,
0.4350501,55,,,,
0.461054,84,,,,
0.4561916,100,,,,
0.4430062,100,,,,
0.4419492,84,,,,
0.4341849,96,,,,
0.4179442,60,,,,
0.4232047,46,,,,
0.4155692,100,,,,
0.4182864,90,,,,
0.4231709,100,,,,
0.4177822,88,,,,
0.4294294,100,,,,
0.457954,100,,,,
0.4273466,100,,,,
0.4210354,100,,,,
0.4456099,87,,,,
0.4515458,100,,,,
0.4219373,56,,,,
0.423538,93,,,,
0.4203105,59,,,,
0.4147371,45,,,,
0.4203446,88,,,,
0.4219293,83,,,,
0.4194917,91,,,,
0.4234993,100,,,,
0.4148613,100,,,,
0.4183635,51,,,,
0.4205959,100,,,,
0.4175002,100,,,,
0.4217512,55,,,,
0.4151855,58,,,,
0.4203674,100,,,,
0.4186685,92,,,,
0.416176,54,,,,
0.4223929,100,,,,
0.4220209,51,,,,
0.4231939,88,,,,
0.4216839,89,,,,
0.4134457,60,,,,
0.4184861,100,,,,
0.4236701,79,,,,
0.4223897,59,,,,
0.4241848,100,,,,
0.4241959,100,,,,
0.421985,100,,,,
0.4215393,78,,,,
0.4249112,92,,,,
0.4206837,100,,,,
0.4216479,100,,,,
0.4296813,96,,,,
0.4204096,100,,,,
0.4217262,100,,,,
0.4191036,100,,,,
0.4229321,60,,,,
0.4154986,100,,,,
0.4205864,96,,,,
0.4242484,93,,,,
0.4215798,100,,,,
0.4181081,86,,,,
0.4205356,100,,,,
0.4256165,88,,,,
0.4250739,84,,,,
0.4193182,87,,,,
0.419742,38,,,,
0.4231646,94,,,,
0.4144101,100,,,,
0.4273654,91,,,,
0.4689048,49,,,,
0.419008,50,,,,
0.4198013,73,,,,
0.4187596,100,,,,
0.4180415,100,,,,
0.4249011,100,,,,
0.4112971,58,,,,
0.4221322,50,,,,
0.42274,100,,,,
0.4243605,60,,,,
0.4206125,100,,,,
0.4149276,100,,,,
0.4273706,100,,,,
0.4232398,100,,,,
0.4235138,100,,,,
0.418052,54,,,,
0.4254071,88,,,,
0.4177553,31,,,,
0.4127803,100,,,,
0.4122087,86,,,,
0.4173977,100,,,,
0.4185665,47,,,,
0.42584,87,,,,
0.4207012,95,,,,
0.4202045,92,,,,
0.4181249,100,,,,
0.4208774,41,,,,
0.4217028,87,,,,
0.4211061,100,,,,
0.4198171,84,,,,
0.4179844,58,,,,
0.4135761,60,,,,
0.4242573,100,,,,
0.4161442,100,,,,
0.4204511,55,,,,
0.4191504,100,,,,
0.4245504,88,,,,
0.4214014,100,,,,
0.4185255,77,,,,
0.4245626,100,,,,
0.4229367,100,,,,
0.4218083,100,,,,
0.4161224,100,,,,
0.4255687,100,,,,
0.4167995,100,,,,
0.4226364,96,,,,
0.420088,100,,,,
0.4187647,100,,,,
0.4195575,51,,,,
0.416631,100,,,,
0.4160713,100,,,,
0.4224089,88,,,,
0.416212,100,,,,
0.4185711,100,,,,
0.412088,88,,,,
0.4202815,100,,,,
0.4232799,100,,,,
0.4222794,100,,,,
0.4254136,76,,,,
0.4222679,100,,,,
0.4196346,100,,,,
0.4208845,100,,,,
0.4216727,100,,,,
0.4177071,100,,,,
0.4213583,100,,,,
0.4192358,68,,,,
0.4267135,100,,,,
0.4188432,100,,,,
0.4230685,56,,,,
0.4249673,53,,,,
0.4265501,100,,,,
0.4229384,87,,,,
0.428149,96,,,,
0.4180927,49,,,,
0.4226318,100,,,,
0.4241902,92,,,,
0.4149393,87,,,,
0.4221777,48,,,,
0.4207964,100,,,,
0.4227605,100,,,,
0.4217877,92,,,,
0.4204435,92,,,,
0.4236771,100,,,,
0.4226321,46,,,,
0.4150558,100,,,,
0.4197547,100,,,,
0.4149054,84,,,,
0.425499,100,,,,
0.4218506,74,,,,
0.4180302,100,,,,
0.4232037,100,,,,
0.4223257,100,,,,
0.4210653,85,,,,
0.4267438,84,,,,
0.422213,47,,,,
0.424037,100,,,,
0.4228196,100,,,,
0.4287861,100,,,,
0.4210259,84,,,,
0.4255987,96,,,,
0.4282588,88,,,,
0.4236112,54,,,,
0.4222375,59,,,,
0.4213908,96,,,,
0.4215374,100,,,,
0.423576,100,,,,
0.4243685,92,,,,
