Max Component Sizes,Compute Time (s),runScen2_2Random,,Average Compute Size,Average Compute Time (s)
0.0039126,61,,,78.28,0.004033755
0.0039381,39,,,,
0.0039776,100,,,,
0.003999,67,,,,
0.0040346,100,,,,
0.0040873,70,,,,
0.004046,58,,,,
0.0041091,100,,,,
0.0038838,42,,,,
0.0039976,78,,,,
0.0040072,100,,,,
0.0042992,60,,,,
0.0041964,100,,,,
0.0043496,52,,,,
0.0042211,98,,,,
0.004743,100,,,,
0.004342,52,,,,
0.0058414,99,,,,
0.0041506,100,,,,
0.0040987,92,,,,
0.0041134,100,,,,
0.0039565,83,,,,
0.0038842,91,,,,
0.0038109,55,,,,
0.0038462,47,,,,
0.003981,98,,,,
0.0039286,51,,,,
0.004012,87,,,,
0.0040446,81,,,,
0.0041494,78,,,,
0.0039477,100,,,,
0.0039933,65,,,,
0.0038424,59,,,,
0.004106,100,,,,
0.0040513,75,,,,
0.0040878,100,,,,
0.0040501,100,,,,
0.0040731,100,,,,
0.0039315,100,,,,
0.0039587,50,,,,
0.0040777,100,,,,
0.0038656,64,,,,
0.0043642,100,,,,
0.0043448,100,,,,
0.0038678,52,,,,
0.0044748,92,,,,
0.0042704,100,,,,
0.0042485,100,,,,
0.0043499,65,,,,
0.004509,57,,,,
0.00444,100,,,,
0.004235,87,,,,
0.0043591,86,,,,
0.0040783,61,,,,
0.0042355,100,,,,
0.0040059,100,,,,
0.0039799,61,,,,
0.0038356,60,,,,
0.0038359,51,,,,
0.0038905,100,,,,
0.0040223,42,,,,
0.0039421,55,,,,
0.0040508,92,,,,
0.0040396,100,,,,
0.0039872,83,,,,
0.0040148,96,,,,
0.0043993,100,,,,
0.0041512,100,,,,
0.0041052,100,,,,
0.0038902,71,,,,
0.0039497,100,,,,
0.0043478,74,,,,
0.0040326,85,,,,
0.0040801,97,,,,
0.0041423,100,,,,
0.0040519,81,,,,
0.0039538,61,,,,
0.004148,95,,,,
0.0039605,100,,,,
0.0040659,100,,,,
0.0040319,100,,,,
0.0040445,72,,,,
0.0040782,72,,,,
0.0038748,71,,,,
0.0038434,64,,,,
0.0038844,56,,,,
0.0039184,51,,,,
0.0047576,52,,,,
0.0040138,65,,,,
0.0039983,100,,,,
0.0039327,60,,,,
0.0042344,43,,,,
0.0039501,92,,,,
0.0039657,84,,,,
0.0039767,45,,,,
0.0040611,100,,,,
0.0040387,78,,,,
0.0038794,54,,,,
0.0038862,55,,,,
0.0040084,67,,,,
0.0039344,48,,,,
0.0038285,44,,,,
0.0039088,49,,,,
0.003962,63,,,,
0.0040959,100,,,,
0.0038051,55,,,,
0.0041836,100,,,,
0.0038891,37,,,,
0.0039325,54,,,,
0.0038021,50,,,,
0.0038794,51,,,,
0.0039293,100,,,,
0.003898,80,,,,
0.0040912,100,,,,
0.0039086,100,,,,
0.003804,56,,,,
0.0039859,100,,,,
0.0038865,46,,,,
0.003884,51,,,,
0.0040436,100,,,,
0.0038885,100,,,,
0.0038967,31,,,,
0.0039284,62,,,,
0.0039021,93,,,,
0.0039931,100,,,,
0.0038586,72,,,,
0.0042464,100,,,,
0.0040282,97,,,,
0.0040388,90,,,,
0.0039679,57,,,,
0.0040467,100,,,,
0.0040933,70,,,,
0.003907,66,,,,
0.0038582,51,,,,
0.0039819,50,,,,
0.0038633,51,,,,
0.0039013,56,,,,
0.0044843,99,,,,
0.0039968,100,,,,
0.0039185,100,,,,
0.004044,80,,,,
0.0039052,54,,,,
0.0042321,100,,,,
0.0039881,88,,,,
0.003926,52,,,,
0.0038218,43,,,,
0.0038932,55,,,,
0.0042821,100,,,,
0.0040767,100,,,,
0.0040464,100,,,,
0.0040617,100,,,,
0.0039834,60,,,,
0.0038821,55,,,,
0.0039222,60,,,,
0.0040237,78,,,,
0.0040144,38,,,,
0.0039807,85,,,,
0.0039982,91,,,,
0.0039562,100,,,,
0.0040829,100,,,,
0.0040032,80,,,,
0.0039171,58,,,,
0.004013,100,,,,
0.0039479,100,,,,
0.0040736,100,,,,
0.0038758,54,,,,
0.0039436,51,,,,
0.0040311,100,,,,
0.003773,48,,,,
0.0039069,100,,,,
0.0040116,100,,,,
0.0038075,65,,,,
0.0039479,82,,,,
0.004036,84,,,,
0.0040936,93,,,,
0.0041233,100,,,,
0.0041414,99,,,,
0.0038782,66,,,,
0.0040682,79,,,,
0.0039059,100,,,,
0.0040837,100,,,,
0.0041257,93,,,,
0.0040546,100,,,,
0.0040838,50,,,,
0.0041034,100,,,,
0.004031,53,,,,
0.003848,53,,,,
0.0039561,100,,,,
0.0038195,38,,,,
0.0040246,91,,,,
0.0039294,100,,,,
0.0039429,85,,,,
0.0038381,62,,,,
0.0042092,100,,,,
0.0038294,51,,,,
0.0040617,100,,,,
0.0039012,81,,,,
0.0038838,92,,,,
0.0038962,55,,,,
0.0040704,88,,,,
