Max Component Sizes,Compute Time (s),runScen3Random,,Average Compute Size,Average Compute Time (s)
28.9962538,800,,,800,27.89239684
28.0820275,800,,,,
28.2934748,800,,,,
27.7643694,800,,,,
28.2290084,800,,,,
28.4438616,800,,,,
27.9736286,800,,,,
27.6654688,800,,,,
27.7232023,800,,,,
28.134445,800,,,,
28.6119273,800,,,,
28.3370319,800,,,,
28.6774417,800,,,,
27.9452453,800,,,,
28.2885246,800,,,,
28.0320021,800,,,,
27.6571223,800,,,,
28.188167,800,,,,
28.3859925,800,,,,
27.9466181,800,,,,
28.659521,800,,,,
27.4216857,800,,,,
28.118697,800,,,,
28.1830975,800,,,,
28.5637032,800,,,,
29.0441425,800,,,,
27.8085399,800,,,,
28.0394383,800,,,,
27.1814931,800,,,,
27.8031048,800,,,,
28.0297359,800,,,,
27.8190958,800,,,,
27.6372559,800,,,,
27.8417978,800,,,,
28.6849516,800,,,,
28.4186514,800,,,,
27.5037963,800,,,,
28.4878526,800,,,,
27.9533591,800,,,,
28.1302606,800,,,,
28.3539313,800,,,,
28.5162946,800,,,,
27.981128,800,,,,
27.7484231,800,,,,
28.3842369,800,,,,
27.8539639,800,,,,
28.2585279,800,,,,
28.4644042,800,,,,
28.0924742,800,,,,
28.8116416,800,,,,
28.1205168,800,,,,
28.9012228,800,,,,
28.7048273,800,,,,
28.2977433,800,,,,
27.9269296,800,,,,
28.6622992,800,,,,
28.5251793,800,,,,
28.4587272,800,,,,
28.7633914,800,,,,
28.2354888,800,,,,
27.905733,800,,,,
28.812664,800,,,,
27.8808011,800,,,,
28.1288489,800,,,,
27.9162791,800,,,,
27.9393414,800,,,,
27.7923596,800,,,,
28.2726305,800,,,,
28.0568583,800,,,,
27.9149602,800,,,,
27.8260899,800,,,,
27.6974045,800,,,,
27.8959293,800,,,,
27.6548255,800,,,,
28.1153503,800,,,,
27.8083777,800,,,,
27.4812087,800,,,,
27.628329,800,,,,
27.4237416,800,,,,
27.4983891,800,,,,
28.0127274,800,,,,
27.8858781,800,,,,
27.5599543,800,,,,
27.7300432,800,,,,
28.1216181,800,,,,
27.836033,800,,,,
28.025158,800,,,,
28.1929465,800,,,,
27.7168663,800,,,,
27.5903272,800,,,,
28.3988092,800,,,,
27.7326928,800,,,,
27.566487,800,,,,
27.1010021,800,,,,
27.8286602,800,,,,
27.9027581,800,,,,
27.960974,800,,,,
27.9619904,800,,,,
27.6458288,800,,,,
27.6851492,800,,,,
27.7309375,800,,,,
27.9392046,800,,,,
27.6743379,800,,,,
27.9158433,800,,,,
27.656093,800,,,,
27.3578251,800,,,,
27.9247262,800,,,,
28.0452951,800,,,,
27.9896815,800,,,,
27.3352454,800,,,,
28.0340079,800,,,,
28.0865109,800,,,,
27.6734883,800,,,,
27.9510119,800,,,,
27.6014621,800,,,,
27.2404393,800,,,,
28.1946908,800,,,,
27.1619568,800,,,,
27.713693,800,,,,
27.4531533,800,,,,
27.975293,800,,,,
27.4689157,800,,,,
26.9432808,800,,,,
26.7520759,800,,,,
27.7081575,800,,,,
27.6171884,800,,,,
27.1154667,800,,,,
27.5375579,800,,,,
27.9277523,800,,,,
27.6945503,800,,,,
27.5591752,800,,,,
27.4176843,800,,,,
27.6383804,800,,,,
27.3445501,800,,,,
27.5882228,800,,,,
27.7649729,800,,,,
27.5994279,800,,,,
27.6407275,800,,,,
27.5345686,800,,,,
27.6632229,800,,,,
27.8405381,800,,,,
27.9408575,800,,,,
27.2560962,800,,,,
27.2248149,800,,,,
27.759056,800,,,,
27.9447297,800,,,,
27.0674786,800,,,,
27.4582709,800,,,,
27.44914,800,,,,
27.4815135,800,,,,
27.8478871,800,,,,
27.8307733,800,,,,
27.8654482,800,,,,
27.6911581,800,,,,
27.7205994,800,,,,
28.1597176,800,,,,
27.9143656,800,,,,
27.6562886,800,,,,
27.5277797,800,,,,
27.7588148,800,,,,
30.4391189,800,,,,
29.3808317,800,,,,
27.4102867,800,,,,
27.1991915,800,,,,
28.1959458,800,,,,
27.7746276,800,,,,
27.6312554,800,,,,
28.0571711,800,,,,
27.8835574,800,,,,
28.3332993,800,,,,
28.2082905,800,,,,
27.5164301,800,,,,
27.2248065,800,,,,
27.5703429,800,,,,
27.5581749,800,,,,
27.7863504,800,,,,
27.7825432,800,,,,
27.9909537,800,,,,
27.2436142,800,,,,
27.6310803,800,,,,
28.0173595,800,,,,
27.5243306,800,,,,
27.7661917,800,,,,
27.6514,800,,,,
27.8787091,800,,,,
28.1924536,800,,,,
27.4432116,800,,,,
27.8776052,800,,,,
27.80759,800,,,,
27.6006375,800,,,,
27.6272639,800,,,,
27.6304449,800,,,,
27.6142871,800,,,,
28.0990866,800,,,,
27.5595987,800,,,,
27.9057766,800,,,,
27.8164901,800,,,,
27.5517191,800,,,,
27.8499037,800,,,,
27.8079639,800,,,,
