Max Component Sizes,Compute Time (s),runScen2_2Random,,Average Compute Time (s),Average Comp. Size
0.0338114,792,,,0.034022274,781.245
0.0349172,717,,,,
0.0337294,799,,,,
0.0347255,798,,,,
0.0338256,792,,,,
0.033855,734,,,,
0.0343095,799,,,,
0.03386,800,,,,
0.0335496,796,,,,
0.033768,784,,,,
0.0341588,789,,,,
0.0341485,800,,,,
0.0339897,767,,,,
0.0337618,794,,,,
0.0344708,797,,,,
0.0332141,539,,,,
0.0339981,799,,,,
0.0336507,798,,,,
0.033399,517,,,,
0.0336135,652,,,,
0.0339319,799,,,,
0.0334387,769,,,,
0.0339261,784,,,,
0.0340959,798,,,,
0.0337731,794,,,,
0.0337911,788,,,,
0.0339597,782,,,,
0.0343348,792,,,,
0.0336178,800,,,,
0.0340865,787,,,,
0.0342967,796,,,,
0.0358961,798,,,,
0.0337591,777,,,,
0.0333467,797,,,,
0.0334277,796,,,,
0.034013,790,,,,
0.0334658,785,,,,
0.0335859,790,,,,
0.0339113,799,,,,
0.034643,797,,,,
0.0344648,794,,,,
0.0349059,797,,,,
0.0335999,781,,,,
0.0350041,718,,,,
0.0343442,798,,,,
0.0351977,786,,,,
0.034469,799,,,,
0.0346185,784,,,,
0.0342795,795,,,,
0.0339876,799,,,,
0.0337107,777,,,,
0.0345127,781,,,,
0.0331568,785,,,,
0.0342289,775,,,,
0.0336951,792,,,,
0.0338633,798,,,,
0.0339498,785,,,,
0.034308,800,,,,
0.0341109,799,,,,
0.0335684,790,,,,
0.0340921,794,,,,
0.0356566,745,,,,
0.0338762,792,,,,
0.0341822,776,,,,
0.0336473,786,,,,
0.0341329,756,,,,
0.0335632,743,,,,
0.0336016,750,,,,
0.03367,799,,,,
0.0339285,793,,,,
0.0335779,766,,,,
0.0337621,692,,,,
0.0339558,733,,,,
0.0337145,797,,,,
0.0341729,800,,,,
0.0348104,742,,,,
0.0335409,774,,,,
0.0341108,791,,,,
0.0339851,794,,,,
0.034965,796,,,,
0.0343838,800,,,,
0.033492,779,,,,
0.034584,746,,,,
0.0333591,711,,,,
0.033937,775,,,,
0.0336664,792,,,,
0.0337497,800,,,,
0.0337202,789,,,,
0.0337119,743,,,,
0.0337162,791,,,,
0.0339658,779,,,,
0.034143,796,,,,
0.0338796,798,,,,
0.0335763,789,,,,
0.0343136,800,,,,
0.034289,793,,,,
0.0336957,800,,,,
0.0341229,800,,,,
0.0337536,800,,,,
0.0341023,800,,,,
0.0336174,800,,,,
0.0339102,730,,,,
0.0335874,528,,,,
0.0336026,796,,,,
0.0334711,796,,,,
0.0353281,800,,,,
0.0344126,800,,,,
0.0338372,797,,,,
0.034505,800,,,,
0.0338533,800,,,,
0.0354373,799,,,,
0.0339473,734,,,,
0.0346246,796,,,,
0.0338768,794,,,,
0.0346233,794,,,,
0.033875,795,,,,
0.0338038,757,,,,
0.0338415,800,,,,
0.0347844,781,,,,
0.0334489,770,,,,
0.0339307,784,,,,
0.033561,792,,,,
0.0338104,799,,,,
0.0342094,800,,,,
0.0337736,797,,,,
0.0340772,800,,,,
0.0337068,800,,,,
0.0334685,786,,,,
0.0340811,783,,,,
0.0342327,788,,,,
0.0339483,795,,,,
0.0342841,791,,,,
0.0338501,793,,,,
0.0342486,797,,,,
0.0335926,799,,,,
0.0335436,799,,,,
0.0337045,742,,,,
0.0334862,799,,,,
0.0340227,792,,,,
0.0334431,797,,,,
0.0337267,766,,,,
0.0336351,784,,,,
0.0342346,794,,,,
0.0338571,799,,,,
0.0337111,703,,,,
0.0341079,794,,,,
0.0339685,799,,,,
0.0337646,798,,,,
0.0343484,774,,,,
0.0340439,798,,,,
0.0340864,799,,,,
0.0337461,798,,,,
0.0343186,799,,,,
0.0337412,790,,,,
0.0339982,793,,,,
0.0340003,794,,,,
0.0345354,791,,,,
0.0357135,800,,,,
0.033763,798,,,,
0.0348125,800,,,,
0.033472,787,,,,
0.0340966,739,,,,
0.0348459,798,,,,
0.0371228,800,,,,
0.0335645,783,,,,
0.0344337,798,,,,
0.0339357,796,,,,
0.0344559,800,,,,
0.0335503,795,,,,
0.0335343,780,,,,
0.0338578,791,,,,
0.0343833,790,,,,
0.0338882,797,,,,
0.0339382,800,,,,
0.0339822,788,,,,
0.0335562,747,,,,
0.0343855,798,,,,
0.0331842,800,,,,
0.03391,797,,,,
0.0344096,800,,,,
0.0343646,791,,,,
0.0334554,760,,,,
0.0345634,799,,,,
0.0338792,789,,,,
0.0340312,794,,,,
0.0337942,794,,,,
0.0339315,772,,,,
0.0337165,782,,,,
0.0336243,766,,,,
0.0338544,799,,,,
0.0337192,764,,,,
0.0332122,707,,,,
0.0348669,799,,,,
0.034582,794,,,,
0.0338078,782,,,,
0.0337527,797,,,,
0.033682,798,,,,
0.0341778,795,,,,
0.0340007,799,,,,
0.0343148,799,,,,
