Max Component Sizes,Compute Time (s),runScen2Random,,Average Compute Time (s),Average Comp. Size
0.0175842,400,,,0.018389418,375.19
0.017968,393,,,,
0.020383,394,,,,
0.0179578,390,,,,
0.0176406,396,,,,
0.0183818,384,,,,
0.0173519,400,,,,
0.0177387,400,,,,
0.0180493,400,,,,
0.0174444,307,,,,
0.0177959,383,,,,
0.0171017,394,,,,
0.0180512,383,,,,
0.0184412,393,,,,
0.0177431,397,,,,
0.0182528,392,,,,
0.0179955,400,,,,
0.0177545,349,,,,
0.0174276,393,,,,
0.0181221,389,,,,
0.0177669,387,,,,
0.0175207,397,,,,
0.0180884,374,,,,
0.0183151,382,,,,
0.0183748,375,,,,
0.0180845,359,,,,
0.0177777,377,,,,
0.0177922,395,,,,
0.0177585,388,,,,
0.0194629,400,,,,
0.0181364,396,,,,
0.0180459,400,,,,
0.0193874,379,,,,
0.0175602,261,,,,
0.0174892,384,,,,
0.0183645,370,,,,
0.0176904,391,,,,
0.0180477,393,,,,
0.0173313,388,,,,
0.0178371,377,,,,
0.0398938,341,,,,
0.0180573,385,,,,
0.0177355,393,,,,
0.0177058,328,,,,
0.0179648,358,,,,
0.0181856,376,,,,
0.0179292,395,,,,
0.0178748,362,,,,
0.0179113,353,,,,
0.0179498,370,,,,
0.0178133,393,,,,
0.0175146,393,,,,
0.0177454,400,,,,
0.0180951,354,,,,
0.0181011,393,,,,
0.0179731,368,,,,
0.0180059,400,,,,
0.0175332,395,,,,
0.0177211,400,,,,
0.0178061,392,,,,
0.0182784,379,,,,
0.0182248,400,,,,
0.0171496,167,,,,
0.017772,400,,,,
0.0173998,215,,,,
0.0188053,395,,,,
0.0173212,400,,,,
0.0180772,400,,,,
0.0174184,341,,,,
0.0186846,398,,,,
0.0185833,397,,,,
0.0179325,388,,,,
0.0181652,400,,,,
0.0180431,394,,,,
0.0178029,386,,,,
0.0178077,391,,,,
0.017269,252,,,,
0.0178922,393,,,,
0.0181457,384,,,,
0.0180044,371,,,,
0.0178801,393,,,,
0.0180575,395,,,,
0.017452,250,,,,
0.0183182,394,,,,
0.017938,400,,,,
0.0185774,400,,,,
0.0405105,386,,,,
0.01669,141,,,,
0.0179222,381,,,,
0.0176469,280,,,,
0.0186893,400,,,,
0.0178685,382,,,,
0.017929,395,,,,
0.018069,387,,,,
0.0181225,400,,,,
0.0182136,383,,,,
0.0176524,371,,,,
0.0178812,395,,,,
0.0189107,396,,,,
0.0174552,381,,,,
0.0182287,400,,,,
0.017799,383,,,,
0.0178682,395,,,,
0.0180898,400,,,,
0.0183212,274,,,,
0.017625,400,,,,
0.0175697,299,,,,
0.0184992,393,,,,
0.0180994,395,,,,
0.0177222,354,,,,
0.0181285,400,,,,
0.0183336,400,,,,
0.018242,400,,,,
0.0177271,400,,,,
0.0180943,382,,,,
0.017856,400,,,,
0.0176001,400,,,,
0.0175703,400,,,,
0.0181327,400,,,,
0.0180159,400,,,,
0.0181697,394,,,,
0.0180245,395,,,,
0.0180269,392,,,,
0.0177577,400,,,,
0.0178143,370,,,,
0.0178437,395,,,,
0.0179787,394,,,,
0.0179288,330,,,,
0.0179618,379,,,,
0.0178374,379,,,,
0.0173938,345,,,,
0.0182265,371,,,,
0.0407119,374,,,,
0.0181613,380,,,,
0.0181228,397,,,,
0.0185019,395,,,,
0.0178809,316,,,,
0.0173858,400,,,,
0.0180064,400,,,,
0.0183076,400,,,,
0.0178593,386,,,,
0.0179848,387,,,,
0.0177036,340,,,,
0.0181992,377,,,,
0.0175923,381,,,,
0.0184841,400,,,,
0.0178143,400,,,,
0.01802,332,,,,
0.0180982,367,,,,
0.0178473,400,,,,
0.018036,395,,,,
0.0178099,394,,,,
0.018585,393,,,,
0.0176486,262,,,,
0.0176295,378,,,,
0.018064,395,,,,
0.0179123,246,,,,
0.0180274,367,,,,
0.01788,388,,,,
0.0172831,226,,,,
0.017902,392,,,,
0.0178986,400,,,,
0.0177626,395,,,,
0.0177751,374,,,,
0.0180793,391,,,,
0.0174853,385,,,,
0.0171337,400,,,,
0.0179989,395,,,,
0.0174653,365,,,,
0.0181424,387,,,,
0.0181463,381,,,,
0.0174243,387,,,,
0.0179981,394,,,,
0.0176862,332,,,,
0.0180961,379,,,,
0.0178108,390,,,,
0.0178439,384,,,,
0.0179764,400,,,,
0.0396598,284,,,,
0.0177676,393,,,,
0.0178907,388,,,,
0.0180632,400,,,,
0.018494,381,,,,
0.0171612,221,,,,
0.0189774,395,,,,
0.0175034,400,,,,
0.0181187,394,,,,
0.0177017,388,,,,
0.0180618,393,,,,
0.0174157,393,,,,
0.0177425,237,,,,
0.0173903,397,,,,
0.0182797,379,,,,
0.0179287,395,,,,
0.0181558,383,,,,
0.0178542,387,,,,
0.0179394,395,,,,
0.0192906,400,,,,
0.0177424,393,,,,
0.0179799,396,,,,
