Max Component Sizes,Compute Time (s),runScen3_1_rand,,Average Compute Size,Average Compute Time (s)
0.4738884,400,,,400,0.456102501
0.4741242,400,,,,
0.4566978,400,,,,
0.4432466,400,,,,
0.4526788,400,,,,
0.5260248,400,,,,
0.4589211,400,,,,
0.4700811,400,,,,
0.4447496,400,,,,
0.4376229,400,,,,
0.4559438,400,,,,
0.4677495,400,,,,
0.4413087,400,,,,
0.4523639,400,,,,
0.4583633,400,,,,
0.4589702,400,,,,
0.461759,400,,,,
0.4543303,400,,,,
0.4473731,400,,,,
0.4785049,400,,,,
0.4520966,400,,,,
0.4432092,400,,,,
0.5084123,400,,,,
0.4559269,400,,,,
0.4478866,400,,,,
0.4457836,400,,,,
0.4489627,400,,,,
0.482756,400,,,,
0.4502853,400,,,,
0.4679019,400,,,,
0.4398373,400,,,,
0.4464315,400,,,,
0.4649664,400,,,,
0.4526506,400,,,,
0.5242092,400,,,,
0.4507443,400,,,,
0.4516088,400,,,,
0.4518897,400,,,,
0.4764185,400,,,,
0.4416475,400,,,,
0.4561471,400,,,,
0.474311,400,,,,
0.4561343,400,,,,
0.4589664,400,,,,
0.446326,400,,,,
0.4611242,400,,,,
0.4608583,400,,,,
0.4472834,400,,,,
0.4518524,400,,,,
0.4441069,400,,,,
0.4373201,400,,,,
0.4485173,400,,,,
0.4479208,400,,,,
0.4697866,400,,,,
0.4602741,400,,,,
0.461778,400,,,,
0.4597612,400,,,,
0.4407126,400,,,,
0.4597252,400,,,,
0.4633028,400,,,,
0.4526888,400,,,,
0.4297297,400,,,,
0.4917633,400,,,,
0.4336549,400,,,,
0.4503605,400,,,,
0.4590852,400,,,,
0.449063,400,,,,
0.4564672,400,,,,
0.4512021,400,,,,
0.4544435,400,,,,
0.4603129,400,,,,
0.4490832,400,,,,
0.4372635,400,,,,
0.4432468,400,,,,
0.450969,400,,,,
0.4547529,400,,,,
0.4502419,400,,,,
0.4609974,400,,,,
0.4756674,400,,,,
0.4430516,400,,,,
0.4707615,400,,,,
0.4628567,400,,,,
0.4572696,400,,,,
0.4577415,400,,,,
0.4626131,400,,,,
0.4366643,400,,,,
0.4630048,400,,,,
0.466583,400,,,,
0.4743285,400,,,,
0.4429873,400,,,,
0.4436079,400,,,,
0.4430604,400,,,,
0.4505998,400,,,,
0.4501555,400,,,,
0.4573,400,,,,
0.4603422,400,,,,
0.4574437,400,,,,
0.459058,400,,,,
0.4665918,400,,,,
0.453984,400,,,,
0.4621104,400,,,,
0.4572577,400,,,,
0.469362,400,,,,
0.456378,400,,,,
0.4538126,400,,,,
0.4550507,400,,,,
0.4489251,400,,,,
0.4528444,400,,,,
0.4332197,400,,,,
0.4573542,400,,,,
0.4583506,400,,,,
0.4692559,400,,,,
0.4604401,400,,,,
0.4489904,400,,,,
0.4443922,400,,,,
0.4283638,400,,,,
0.4687509,400,,,,
0.4557247,400,,,,
0.4578245,400,,,,
0.4717373,400,,,,
0.4773981,400,,,,
0.4428098,400,,,,
0.4547741,400,,,,
0.4514316,400,,,,
0.4668309,400,,,,
0.4464578,400,,,,
0.4762097,400,,,,
0.4363243,400,,,,
0.4537492,400,,,,
0.4521899,400,,,,
0.4523623,400,,,,
0.4446781,400,,,,
0.4798682,400,,,,
0.4538068,400,,,,
0.4736968,400,,,,
0.4577385,400,,,,
0.4643011,400,,,,
0.4660317,400,,,,
0.4602246,400,,,,
0.4611313,400,,,,
0.4485866,400,,,,
0.4407699,400,,,,
0.4473983,400,,,,
0.4533399,400,,,,
0.4526996,400,,,,
0.4687825,400,,,,
0.4477147,400,,,,
0.4537617,400,,,,
0.4691305,400,,,,
0.4636074,400,,,,
0.4643448,400,,,,
0.4604727,400,,,,
0.4569969,400,,,,
0.4473606,400,,,,
0.4391353,400,,,,
0.4356753,400,,,,
0.4594269,400,,,,
0.4472256,400,,,,
0.4619709,400,,,,
0.4520112,400,,,,
0.4511239,400,,,,
0.4381053,400,,,,
0.484025,400,,,,
0.4578031,400,,,,
0.4661052,400,,,,
0.4575298,400,,,,
0.4458907,400,,,,
0.4409369,400,,,,
0.4503835,400,,,,
0.4705556,400,,,,
0.4392679,400,,,,
0.4502837,400,,,,
0.455287,400,,,,
0.4528638,400,,,,
0.4679568,400,,,,
0.4431847,400,,,,
0.4540511,400,,,,
0.4352159,400,,,,
0.4576831,400,,,,
0.4565587,400,,,,
0.4346727,400,,,,
0.4482007,400,,,,
0.4560072,400,,,,
0.4490534,400,,,,
0.4535689,400,,,,
0.4591637,400,,,,
0.4449163,400,,,,
0.4566271,400,,,,
0.4520571,400,,,,
0.4409889,400,,,,
0.4601097,400,,,,
0.4479836,400,,,,
0.4547675,400,,,,
0.4605216,400,,,,
0.4540547,400,,,,
0.4393722,400,,,,
0.4819685,400,,,,
0.4613354,400,,,,
0.4729564,400,,,,
0.4492576,400,,,,
