Max Component Sizes,Compute Time (s),partition_lgraph_louvain,,Average Compute Size,Average Compute Time (s)
0.4811846,334,,,155.85,0.504246105
0.4842737,79,,,,
0.5066614,128,,,,
0.589503,131,,,,
0.5421245,282,,,,
0.5013102,101,,,,
0.5071685,127,,,,
0.5119707,86,,,,
0.4755096,101,,,,
0.4951163,189,,,,
0.54502,172,,,,
0.4158998,95,,,,
0.5081927,128,,,,
0.4760814,124,,,,
0.5070112,127,,,,
0.45268,127,,,,
0.5265919,131,,,,
0.5523944,247,,,,
0.4723403,400,,,,
0.4764083,306,,,,
0.5655752,272,,,,
0.5469799,241,,,,
0.433862,89,,,,
0.4342944,149,,,,
0.481505,193,,,,
0.5006331,130,,,,
0.4807905,101,,,,
0.5233913,213,,,,
0.4578307,134,,,,
0.4348257,136,,,,
0.5089736,128,,,,
0.4478075,200,,,,
0.5468268,132,,,,
0.5124774,106,,,,
0.460719,101,,,,
0.4907228,128,,,,
0.4944529,201,,,,
0.5596452,101,,,,
0.4819253,130,,,,
0.4898941,231,,,,
0.45981,176,,,,
0.5106929,89,,,,
0.4921704,235,,,,
0.5154112,236,,,,
0.5113377,128,,,,
0.5396113,95,,,,
0.5366752,131,,,,
0.4851409,171,,,,
0.4737493,140,,,,
0.5042574,127,,,,
0.4837871,125,,,,
0.4437728,137,,,,
0.5238804,350,,,,
0.5154471,124,,,,
0.4862392,88,,,,
0.5488402,262,,,,
0.5448961,82,,,,
0.5303418,150,,,,
0.5785725,151,,,,
0.4944978,135,,,,
0.493465,100,,,,
0.4626292,177,,,,
0.5389871,130,,,,
0.4530483,99,,,,
0.5247323,128,,,,
0.5175703,101,,,,
0.4901358,79,,,,
0.5411142,203,,,,
0.5009956,85,,,,
0.5417632,168,,,,
0.4951369,95,,,,
0.5449275,119,,,,
0.5346588,127,,,,
0.4193516,105,,,,
0.5561506,237,,,,
0.4609937,101,,,,
0.5463813,128,,,,
0.5102982,199,,,,
0.516305,105,,,,
0.5457874,128,,,,
0.5629221,109,,,,
0.4989156,89,,,,
0.4755874,95,,,,
0.5012617,198,,,,
0.5003817,133,,,,
0.4504714,116,,,,
0.4765446,101,,,,
0.5310477,130,,,,
0.5266892,317,,,,
0.418598,288,,,,
0.5129488,335,,,,
0.507138,297,,,,
0.546951,161,,,,
0.492028,124,,,,
0.4635896,90,,,,
0.537504,272,,,,
0.5387745,137,,,,
0.4826259,172,,,,
0.4448287,128,,,,
0.4590571,101,,,,
0.4795627,95,,,,
0.52592,126,,,,
0.4562311,252,,,,
0.5120645,157,,,,
0.5551537,400,,,,
0.5333274,127,,,,
0.5447576,128,,,,
0.5030451,181,,,,
0.496369,145,,,,
0.480405,136,,,,
0.4325475,89,,,,
0.4885815,90,,,,
0.4366778,171,,,,
0.5048979,168,,,,
0.4775091,89,,,,
0.5057732,130,,,,
0.4890686,168,,,,
0.5222659,177,,,,
0.5731628,314,,,,
0.5475674,335,,,,
0.4399098,76,,,,
0.5683257,130,,,,
0.5368956,238,,,,
0.5664566,89,,,,
0.5233634,190,,,,
0.4501654,103,,,,
0.4835897,130,,,,
0.5168826,171,,,,
0.5107732,253,,,,
0.4502168,128,,,,
0.5114661,89,,,,
0.5577649,400,,,,
0.549895,117,,,,
0.5076595,90,,,,
0.4633606,137,,,,
0.575085,177,,,,
0.5464196,190,,,,
0.5345899,134,,,,
0.5648627,138,,,,
0.4625978,101,,,,
0.4494096,151,,,,
0.5002643,168,,,,
0.5157455,127,,,,
0.5223368,104,,,,
0.4930223,136,,,,
0.4880198,218,,,,
0.4498997,79,,,,
0.4253852,101,,,,
0.5731154,212,,,,
0.487792,127,,,,
0.5238407,128,,,,
0.5450193,129,,,,
0.45936,89,,,,
0.5641054,136,,,,
0.5071192,136,,,,
0.5195298,127,,,,
0.4434299,121,,,,
0.4881914,128,,,,
0.4892189,101,,,,
0.5378349,100,,,,
0.4904534,118,,,,
0.5141621,225,,,,
0.4980976,89,,,,
0.5296917,305,,,,
0.4818912,348,,,,
0.53607,89,,,,
0.5492017,195,,,,
0.590858,131,,,,
0.5040073,124,,,,
0.5167929,130,,,,
0.4893443,118,,,,
0.462329,297,,,,
0.494928,333,,,,
0.523617,131,,,,
0.5551996,89,,,,
0.5499734,127,,,,
0.5038001,131,,,,
0.4799336,95,,,,
0.4744375,97,,,,
0.4936467,400,,,,
0.5061614,128,,,,
0.5665638,94,,,,
0.4581851,137,,,,
0.5245462,145,,,,
0.4557438,157,,,,
0.5489215,289,,,,
0.4664952,136,,,,
0.5222459,89,,,,
0.4863331,85,,,,
0.4365889,108,,,,
0.602851,108,,,,
0.4852635,95,,,,
0.5409497,127,,,,
0.4248123,91,,,,
0.53114,103,,,,
0.5315063,168,,,,
0.5297374,309,,,,
0.4787787,93,,,,
0.4945669,79,,,,
0.4695842,210,,,,
