Max Component Sizes,Compute Time (s),partition_lgraph_spectral,,Average Compute Size,Average Compute Time (s)
1.4883628,126,,,270.185,1.586985673
1.5885747,400,,,,
1.5551311,126,,,,
1.560169,197,,,,
1.5200749,205,,,,
1.4577425,323,,,,
1.595627,400,,,,
1.5434112,322,,,,
1.6049402,197,,,,
1.5179935,126,,,,
1.4532433,206,,,,
1.504211,126,,,,
1.6220905,323,,,,
1.948091,204,,,,
1.6460298,156,,,,
1.4377781,323,,,,
1.4744532,322,,,,
1.5500317,244,,,,
1.8012732,197,,,,
1.4690464,285,,,,
1.5242665,323,,,,
1.5497399,323,,,,
1.4687884,171,,,,
1.4277241,243,,,,
1.5779189,243,,,,
1.5129275,205,,,,
1.8797019,322,,,,
1.7429388,322,,,,
1.5283856,400,,,,
1.6948188,400,,,,
1.5643049,323,,,,
1.5599922,119,,,,
1.5899865,274,,,,
1.4908128,400,,,,
1.577644,245,,,,
1.520811,400,,,,
1.5449142,196,,,,
1.5299763,204,,,,
1.4969977,156,,,,
1.5307061,400,,,,
1.5001211,157,,,,
1.7681751,197,,,,
1.4509183,400,,,,
1.5324126,244,,,,
1.4604228,400,,,,
1.5454675,400,,,,
1.470957,245,,,,
1.5339071,400,,,,
1.6006399,323,,,,
1.9436538,119,,,,
1.5556428,400,,,,
1.7102307,365,,,,
1.5515509,400,,,,
1.5218065,243,,,,
1.5345058,156,,,,
1.9136928,244,,,,
1.9842525,400,,,,
1.415736,400,,,,
1.5275674,323,,,,
1.450534,126,,,,
1.5920562,324,,,,
1.5030085,323,,,,
1.497118,205,,,,
1.4626383,373,,,,
1.4485774,197,,,,
1.5204911,244,,,,
1.7519287,271,,,,
1.4508334,400,,,,
1.6231887,235,,,,
1.6192969,245,,,,
1.6848201,400,,,,
1.7005867,204,,,,
1.6873947,245,,,,
1.4332691,323,,,,
1.5683538,322,,,,
1.5443669,196,,,,
1.6079461,322,,,,
1.573576,400,,,,
1.5307225,400,,,,
1.55255,139,,,,
1.513479,156,,,,
1.5072185,323,,,,
1.6270536,204,,,,
1.5311252,400,,,,
1.6416965,323,,,,
1.410185,357,,,,
1.6542854,400,,,,
1.5492047,204,,,,
1.4670191,243,,,,
1.5908914,271,,,,
1.5434383,400,,,,
1.7673094,205,,,,
1.5131171,322,,,,
1.7301321,400,,,,
1.5756195,156,,,,
1.4468706,126,,,,
1.5202835,205,,,,
1.5966747,400,,,,
1.5926402,243,,,,
1.4816921,185,,,,
1.4933807,156,,,,
1.5489041,348,,,,
1.4556292,126,,,,
1.4851922,187,,,,
1.5973221,197,,,,
1.6456144,323,,,,
1.5908464,245,,,,
1.4931689,244,,,,
1.939318,205,,,,
1.8439712,182,,,,
1.4396514,197,,,,
1.9517812,244,,,,
1.5825419,197,,,,
1.7779205,284,,,,
1.6640278,400,,,,
1.5312554,204,,,,
1.5650848,245,,,,
1.9862658,205,,,,
1.4584025,274,,,,
1.6429477,254,,,,
1.6812068,174,,,,
1.7213768,244,,,,
1.6302625,204,,,,
1.5020664,245,,,,
1.5833052,243,,,,
1.4512902,126,,,,
1.6385534,267,,,,
1.4338395,197,,,,
1.5354736,126,,,,
1.5294637,400,,,,
1.4678566,244,,,,
1.4553639,185,,,,
1.7899397,204,,,,
1.8134094,323,,,,
1.4382283,323,,,,
1.5210668,323,,,,
1.778798,157,,,,
1.862315,400,,,,
1.4355342,296,,,,
1.5636684,244,,,,
1.5720514,323,,,,
1.6149078,245,,,,
1.5952332,400,,,,
1.7351429,400,,,,
1.4202028,400,,,,
1.6632209,197,,,,
1.716072,204,,,,
1.5203593,323,,,,
1.9180606,245,,,,
1.5071049,204,,,,
1.6970421,400,,,,
1.4640379,126,,,,
1.4864541,323,,,,
1.5099865,323,,,,
1.6111406,322,,,,
1.4941856,245,,,,
1.4675084,323,,,,
1.4649442,322,,,,
1.560977,245,,,,
1.5812734,197,,,,
1.5307345,179,,,,
1.6565071,323,,,,
1.4726987,322,,,,
2.0126678,126,,,,
1.5952485,126,,,,
1.6744687,244,,,,
1.8668978,400,,,,
1.4580645,126,,,,
1.4843283,274,,,,
1.5173958,242,,,,
1.6901751,245,,,,
1.48705,156,,,,
1.5453019,126,,,,
1.4952454,322,,,,
1.8515398,243,,,,
1.5547261,322,,,,
1.5265625,400,,,,
1.4485176,205,,,,
1.5057077,322,,,,
1.6804815,132,,,,
1.5949464,205,,,,
1.6114373,400,,,,
1.5834352,400,,,,
1.6583322,400,,,,
1.5520551,244,,,,
1.573791,244,,,,
1.7517155,400,,,,
1.5714626,245,,,,
1.5112792,291,,,,
1.5954284,322,,,,
1.5560419,126,,,,
1.6266525,245,,,,
1.5395279,400,,,,
1.4675603,197,,,,
1.7284031,400,,,,
1.7810498,197,,,,
1.5316016,323,,,,
1.558801,322,,,,
1.563176,400,,,,
1.6234833,322,,,,
