Max Component Sizes,Compute Time (s),runScen3_1_rand,,Average Compute Time (s),Average Comp. Size
0.5090264,387,,,0.521228693,391.41
0.6013387,383,,,,
0.5240108,400,,,,
0.5333433,362,,,,
0.5225794,389,,,,
0.5417532,397,,,,
0.5312475,385,,,,
0.5175399,400,,,,
0.5376606,400,,,,
0.5360751,386,,,,
0.5124657,400,,,,
0.5239146,371,,,,
0.5034495,400,,,,
0.5195642,400,,,,
0.5111374,398,,,,
0.5279571,390,,,,
0.5075024,400,,,,
0.5199872,389,,,,
0.5168682,389,,,,
0.5182709,359,,,,
0.5153688,400,,,,
0.5222775,367,,,,
0.5110417,387,,,,
0.5137186,397,,,,
0.5196274,393,,,,
0.5325683,400,,,,
0.5014462,392,,,,
0.5350872,382,,,,
0.5166156,400,,,,
0.5254501,391,,,,
0.5296702,400,,,,
0.5257498,384,,,,
0.5062984,398,,,,
0.5082922,369,,,,
0.5755013,394,,,,
0.5196416,400,,,,
0.5273312,391,,,,
0.5258832,397,,,,
0.5165941,383,,,,
0.5260383,393,,,,
0.5187003,393,,,,
0.5118225,400,,,,
0.5165984,397,,,,
0.5197192,378,,,,
0.5105006,384,,,,
0.4946532,393,,,,
0.5345367,399,,,,
0.5175057,396,,,,
0.5168736,389,,,,
0.5390935,400,,,,
0.5129286,396,,,,
0.5216381,400,,,,
0.5168967,400,,,,
0.5328144,359,,,,
0.4962103,391,,,,
0.5285202,390,,,,
0.5218934,384,,,,
0.5238989,396,,,,
0.4979037,393,,,,
0.531219,400,,,,
0.5155069,395,,,,
0.5180504,400,,,,
0.5045116,389,,,,
0.5400998,395,,,,
0.515631,394,,,,
0.5040358,400,,,,
0.522999,383,,,,
0.5089067,393,,,,
0.5171461,400,,,,
0.5410551,346,,,,
0.5482392,400,,,,
0.5179951,400,,,,
0.4923882,397,,,,
0.5008444,400,,,,
0.5267516,393,,,,
0.5129761,394,,,,
0.5069237,393,,,,
0.521349,395,,,,
0.5159653,400,,,,
0.5455196,400,,,,
0.5110029,385,,,,
0.5328823,400,,,,
0.5155417,391,,,,
0.5274296,389,,,,
0.5301251,395,,,,
0.5289128,400,,,,
0.5423503,400,,,,
0.5076131,396,,,,
0.5229038,400,,,,
0.5084716,393,,,,
0.5198557,400,,,,
0.5240138,394,,,,
0.5066103,390,,,,
0.5284594,397,,,,
0.5223091,400,,,,
0.5361336,400,,,,
0.5256816,400,,,,
0.5349519,397,,,,
0.5182916,395,,,,
0.506492,400,,,,
0.5124348,377,,,,
0.5209868,395,,,,
0.4984953,389,,,,
0.5263725,400,,,,
0.5242159,394,,,,
0.5078264,400,,,,
0.5117986,400,,,,
0.5254561,380,,,,
0.5315346,373,,,,
0.5148005,390,,,,
0.5236013,392,,,,
0.5290345,400,,,,
0.5163939,395,,,,
0.5205542,394,,,,
0.5144812,400,,,,
0.5255952,382,,,,
0.5375283,389,,,,
0.5066854,395,,,,
0.5201103,400,,,,
0.5267826,400,,,,
0.5467754,400,,,,
0.5160796,366,,,,
0.5077523,400,,,,
0.5153655,377,,,,
0.5133647,400,,,,
0.5294416,397,,,,
0.5251505,396,,,,
0.5267782,395,,,,
0.5221827,388,,,,
0.5187361,389,,,,
0.515691,387,,,,
0.5325612,380,,,,
0.5104057,393,,,,
0.5471709,374,,,,
0.5281265,384,,,,
0.5259507,400,,,,
0.507755,366,,,,
0.524327,379,,,,
0.535886,400,,,,
0.5170291,394,,,,
0.555723,400,,,,
0.5093943,396,,,,
0.5081494,387,,,,
0.5227851,371,,,,
0.5188105,390,,,,
0.5181743,398,,,,
0.527991,376,,,,
0.5086857,392,,,,
0.5264434,397,,,,
0.511828,400,,,,
0.5124109,400,,,,
0.5074947,391,,,,
0.5295596,388,,,,
0.5129591,380,,,,
0.5222771,390,,,,
0.5465817,393,,,,
0.5181356,385,,,,
0.5066189,400,,,,
0.5271881,394,,,,
0.5019111,400,,,,
0.52016,392,,,,
0.5232892,400,,,,
0.5398115,400,,,,
0.5066277,400,,,,
0.5275761,400,,,,
0.5213815,363,,,,
0.5103066,400,,,,
0.5088692,395,,,,
0.5214676,394,,,,
0.5258012,400,,,,
0.5179224,400,,,,
0.5215814,388,,,,
0.531377,396,,,,
0.5278593,386,,,,
0.5022188,400,,,,
0.5226132,400,,,,
0.5373239,382,,,,
0.5135865,388,,,,
0.5323788,400,,,,
0.5150975,329,,,,
0.5237733,391,,,,
0.5280078,387,,,,
0.5213788,392,,,,
0.5147716,400,,,,
0.5280749,400,,,,
0.5347647,400,,,,
0.5265181,359,,,,
0.5178605,372,,,,
0.5209639,400,,,,
0.526516,395,,,,
0.5243,400,,,,
0.5150704,395,,,,
0.5017833,379,,,,
0.5219041,400,,,,
0.5190733,400,,,,
0.5162756,400,,,,
0.5080441,355,,,,
0.5098589,400,,,,
0.5179467,390,,,,
0.5265161,386,,,,
