Max Component Sizes,Compute Time (s),runScen2Random,,Average Compute Size,Average Compute Time (s)
0.0188772,400,,,394.27,0.0189167
0.01911,400,,,,
0.0198472,400,,,,
0.0204105,400,,,,
0.0219807,400,,,,
0.0188073,400,,,,
0.0180332,400,,,,
0.0189559,400,,,,
0.0188283,400,,,,
0.0190295,400,,,,
0.0188423,400,,,,
0.0180681,400,,,,
0.0188565,400,,,,
0.0186453,400,,,,
0.0189183,400,,,,
0.018816,400,,,,
0.0188904,400,,,,
0.0193405,400,,,,
0.0190145,400,,,,
0.0188364,400,,,,
0.0180941,400,,,,
0.0406612,400,,,,
0.0191737,400,,,,
0.0192988,400,,,,
0.0192795,400,,,,
0.0187947,400,,,,
0.0190935,400,,,,
0.019037,400,,,,
0.0188387,400,,,,
0.0184438,400,,,,
0.0192779,400,,,,
0.0186921,400,,,,
0.0193604,400,,,,
0.0188342,400,,,,
0.017165,400,,,,
0.0189374,400,,,,
0.0190175,400,,,,
0.0184927,400,,,,
0.0181779,400,,,,
0.0186268,400,,,,
0.0188218,400,,,,
0.0188836,400,,,,
0.0173325,400,,,,
0.0188322,400,,,,
0.018686,400,,,,
0.0188562,400,,,,
0.0167607,400,,,,
0.0192492,400,,,,
0.018599,400,,,,
0.0188475,400,,,,
0.0181432,400,,,,
0.0187439,400,,,,
0.0188234,400,,,,
0.0187937,400,,,,
0.0189499,400,,,,
0.0184254,400,,,,
0.0188164,400,,,,
0.0184025,400,,,,
0.0192142,400,,,,
0.0189549,400,,,,
0.0185281,400,,,,
0.0172455,250,,,,
0.0189863,400,,,,
0.018627,400,,,,
0.01876,400,,,,
0.0186977,400,,,,
0.0188562,400,,,,
0.0193418,400,,,,
0.0184806,400,,,,
0.0188342,400,,,,
0.0187066,400,,,,
0.0189062,400,,,,
0.0188925,400,,,,
0.0192019,400,,,,
0.0184889,400,,,,
0.0189699,400,,,,
0.0188414,400,,,,
0.0186957,400,,,,
0.0176356,400,,,,
0.0187731,400,,,,
0.0161759,201,,,,
0.0189408,400,,,,
0.0180362,400,,,,
0.0171012,400,,,,
0.0190006,400,,,,
0.0186962,400,,,,
0.0187858,400,,,,
0.0181071,400,,,,
0.0188715,400,,,,
0.0182404,400,,,,
0.018654,400,,,,
0.018794,400,,,,
0.0180534,400,,,,
0.0189342,400,,,,
0.0190767,400,,,,
0.0186827,400,,,,
0.0188586,400,,,,
0.0186849,400,,,,
0.0178852,400,,,,
0.0185162,400,,,,
0.0191611,400,,,,
0.0186654,400,,,,
0.0162731,200,,,,
0.0185979,400,,,,
0.0192618,400,,,,
0.0189666,400,,,,
0.0187797,400,,,,
0.0186077,400,,,,
0.0189262,400,,,,
0.0181649,400,,,,
0.0187832,400,,,,
0.0189339,400,,,,
0.0187644,361,,,,
0.0190326,400,,,,
0.0196145,400,,,,
0.0186144,400,,,,
0.0186214,400,,,,
0.0188972,400,,,,
0.0182514,400,,,,
0.0182945,400,,,,
0.0185162,400,,,,
0.0189245,400,,,,
0.0187837,400,,,,
0.0183952,400,,,,
0.0189613,400,,,,
0.0176154,400,,,,
0.0189074,400,,,,
0.0183728,400,,,,
0.0185498,400,,,,
0.0195508,400,,,,
0.0189403,400,,,,
0.0183694,400,,,,
0.0191397,400,,,,
0.0193883,400,,,,
0.0188989,400,,,,
0.0178996,400,,,,
0.0188087,400,,,,
0.0188096,400,,,,
0.0188067,400,,,,
0.0189306,400,,,,
0.0188433,400,,,,
0.0189835,400,,,,
0.0187985,400,,,,
0.0189464,400,,,,
0.0171705,400,,,,
0.0184652,400,,,,
0.0190718,400,,,,
0.0186145,400,,,,
0.017281,400,,,,
0.0176935,400,,,,
0.0187848,400,,,,
0.0187616,400,,,,
0.0187527,400,,,,
0.0168275,213,,,,
0.0189276,400,,,,
0.0189367,400,,,,
0.0274013,400,,,,
0.0182783,400,,,,
0.0182738,400,,,,
0.018753,400,,,,
0.0185764,400,,,,
0.018839,400,,,,
0.0179294,400,,,,
0.0188999,400,,,,
0.0188831,400,,,,
0.0186043,400,,,,
0.0186506,400,,,,
0.0174241,264,,,,
0.0409767,400,,,,
0.0190328,400,,,,
0.0190355,400,,,,
0.0193472,400,,,,
0.016515,165,,,,
0.0190905,400,,,,
0.0188146,400,,,,
0.0184831,400,,,,
0.0181583,400,,,,
0.0179545,400,,,,
0.0180097,400,,,,
0.0185202,400,,,,
0.0183888,400,,,,
0.0185264,400,,,,
0.0188604,400,,,,
0.0188655,400,,,,
0.0186758,400,,,,
0.0187127,400,,,,
0.018769,400,,,,
0.0183333,400,,,,
0.0188072,400,,,,
0.0184019,400,,,,
0.0186775,400,,,,
0.0187755,400,,,,
0.0185515,400,,,,
0.0189847,400,,,,
0.0183666,400,,,,
0.0186806,400,,,,
0.018341,400,,,,
0.0190505,400,,,,
0.0185051,400,,,,
0.0188688,400,,,,
