Max Component Size,Compute Time (s),runScen2_2Random,,,,
1488,0.013957,,1454.955,0.014145589,,1308
1360,0.0136258,,,,,
1490,0.0139752,,,,,
1440,0.0141978,,,,,
1450,0.0138063,,,,,
1410,0.0137621,,,,,
1460,0.0139623,,,,,
1480,0.0146982,,,,,
1470,0.0139579,,,,,
1470,0.0138951,,,,,
1360,0.013719,,,,,
1390,0.0155893,,,,,
1460,0.0139591,,,,,
1500,0.0141351,,,,,
1500,0.0140066,,,,,
1450,0.015078,,,,,
1450,0.0147044,,,,,
1440,0.0140807,,,,,
1398,0.0153015,,,,,
1490,0.0142346,,,,,
1460,0.0147294,,,,,
1500,0.0145089,,,,,
1450,0.015747,,,,,
1398,0.0139469,,,,,
1440,0.0139297,,,,,
1348,0.013904,,,,,
1438,0.0143573,,,,,
1470,0.0140178,,,,,
1518,0.0141632,,,,,
1450,0.0148727,,,,,
1420,0.0138064,,,,,
1490,0.0140331,,,,,
1308,0.0136316,,,,,
1470,0.015281,,,,,
1490,0.0139474,,,,,
1370,0.0136258,,,,,
1440,0.0137927,,,,,
1530,0.0143647,,,,,
1490,0.0140989,,,,,
1470,0.0138714,,,,,
1450,0.0139303,,,,,
1480,0.0140184,,,,,
1440,0.0139414,,,,,
1460,0.0139041,,,,,
1530,0.0140677,,,,,
1350,0.0136007,,,,,
1420,0.0151795,,,,,
1400,0.013816,,,,,
1430,0.0142896,,,,,
1530,0.0141548,,,,,
1470,0.0144412,,,,,
1500,0.0141809,,,,,
1450,0.0138402,,,,,
1370,0.0136672,,,,,
1470,0.0140324,,,,,
1465,0.0139942,,,,,
1380,0.014452,,,,,
1500,0.0148972,,,,,
1480,0.0140547,,,,,
1450,0.0152801,,,,,
1540,0.0144861,,,,,
1410,0.01387,,,,,
1430,0.0140574,,,,,
1440,0.0137944,,,,,
1360,0.0137521,,,,,
1510,0.0142291,,,,,
1500,0.0140635,,,,,
1490,0.0140727,,,,,
1460,0.0142595,,,,,
1424,0.0149066,,,,,
1490,0.0141082,,,,,
1490,0.0144553,,,,,
1420,0.0145472,,,,,
1450,0.0139725,,,,,
1530,0.0139326,,,,,
1410,0.0139657,,,,,
1440,0.0141045,,,,,
1460,0.0138949,,,,,
1510,0.0141374,,,,,
1510,0.0139697,,,,,
1448,0.0138046,,,,,
1510,0.0148719,,,,,
1460,0.0139645,,,,,
1370,0.0143457,,,,,
1440,0.0138971,,,,,
1450,0.0144471,,,,,
1470,0.0139355,,,,,
1380,0.0142977,,,,,
1350,0.013633,,,,,
1460,0.0139138,,,,,
1460,0.0141972,,,,,
1440,0.0139103,,,,,
1380,0.0139418,,,,,
1400,0.0143117,,,,,
1410,0.0139301,,,,,
1500,0.0140513,,,,,
1480,0.0140002,,,,,
1478,0.0139519,,,,,
1520,0.0149381,,,,,
