Max Component Size,Compute Time (s),partition_lgraph_louvain,,,,
10,0.0351032,,10,0.029538042,,10
10,0.0538536,,,,,
10,0.0279518,,,,,
10,0.0385451,,,,,
10,0.0409935,,,,,
10,0.0351283,,,,,
10,0.0308855,,,,,
10,0.0290855,,,,,
10,0.0266461,,,,,
10,0.0224639,,,,,
10,0.0290874,,,,,
10,0.0310357,,,,,
10,0.030377,,,,,
10,0.0316241,,,,,
10,0.0488727,,,,,
10,0.0301831,,,,,
10,0.0313524,,,,,
10,0.0269182,,,,,
10,0.0272289,,,,,
10,0.0298433,,,,,
10,0.0257454,,,,,
10,0.0236511,,,,,
10,0.0280199,,,,,
10,0.0257832,,,,,
10,0.026552,,,,,
10,0.0592499,,,,,
10,0.0353729,,,,,
10,0.0272915,,,,,
10,0.0348927,,,,,
10,0.0368517,,,,,
10,0.0359072,,,,,
10,0.02748,,,,,
10,0.0251549,,,,,
10,0.0285004,,,,,
10,0.0228565,,,,,
10,0.0310064,,,,,
10,0.0322022,,,,,
10,0.0312004,,,,,
10,0.0307897,,,,,
10,0.028088,,,,,
10,0.0332892,,,,,
10,0.0245434,,,,,
10,0.0260521,,,,,
10,0.0248563,,,,,
10,0.0250697,,,,,
10,0.0337482,,,,,
10,0.029987,,,,,
10,0.0217343,,,,,
10,0.0303103,,,,,
10,0.0248501,,,,,
10,0.0232239,,,,,
10,0.0300341,,,,,
10,0.0253305,,,,,
10,0.0247831,,,,,
10,0.028157,,,,,
10,0.0313839,,,,,
10,0.0245191,,,,,
10,0.0325033,,,,,
10,0.0303526,,,,,
10,0.0398853,,,,,
10,0.0303988,,,,,
10,0.0345885,,,,,
10,0.0280628,,,,,
10,0.030712,,,,,
10,0.0243634,,,,,
10,0.0310767,,,,,
10,0.0361551,,,,,
10,0.032729,,,,,
10,0.0222376,,,,,
10,0.0274812,,,,,
10,0.0321111,,,,,
10,0.0223441,,,,,
10,0.0247688,,,,,
10,0.024245,,,,,
10,0.0252186,,,,,
10,0.0235818,,,,,
10,0.0292272,,,,,
10,0.0311502,,,,,
10,0.0271848,,,,,
10,0.03076,,,,,
10,0.0292995,,,,,
10,0.0224014,,,,,
10,0.0232752,,,,,
10,0.0348862,,,,,
10,0.0280598,,,,,
10,0.0250494,,,,,
10,0.0266939,,,,,
10,0.0273395,,,,,
10,0.030581,,,,,
10,0.0294954,,,,,
10,0.033555,,,,,
10,0.0333295,,,,,
10,0.0291092,,,,,
10,0.0246742,,,,,
10,0.0322015,,,,,
10,0.0370327,,,,,
10,0.0339718,,,,,
10,0.0263186,,,,,
10,0.0251154,,,,,
10,0.0290616,,,,,
10,0.0249534,,,,,
10,0.0240875,,,,,
10,0.0357746,,,,,
10,0.0521719,,,,,
10,0.0289282,,,,,
10,0.024424,,,,,
10,0.0279808,,,,,
10,0.023345,,,,,
10,0.0364432,,,,,
10,0.023986,,,,,
10,0.0249292,,,,,
10,0.0369848,,,,,
10,0.023501,,,,,
10,0.0290978,,,,,
10,0.0240712,,,,,
10,0.0241213,,,,,
10,0.0234991,,,,,
10,0.027451,,,,,
10,0.0250011,,,,,
10,0.0401089,,,,,
10,0.0271683,,,,,
10,0.0265127,,,,,
10,0.0234016,,,,,
10,0.0228523,,,,,
10,0.0231921,,,,,
10,0.0230817,,,,,
10,0.0413949,,,,,
10,0.0217986,,,,,
10,0.0254143,,,,,
10,0.0303278,,,,,
10,0.0293255,,,,,
10,0.049856,,,,,
10,0.0290877,,,,,
10,0.0464157,,,,,
10,0.0297457,,,,,
10,0.032506,,,,,
10,0.0357203,,,,,
10,0.0231881,,,,,
10,0.0279744,,,,,
10,0.0404824,,,,,
10,0.0245616,,,,,
10,0.0245877,,,,,
10,0.022167,,,,,
10,0.0231297,,,,,
10,0.0309069,,,,,
10,0.0321907,,,,,
10,0.0339969,,,,,
10,0.0297984,,,,,
10,0.0228996,,,,,
10,0.0285863,,,,,
10,0.0220255,,,,,
10,0.0382725,,,,,
10,0.0303431,,,,,
10,0.0267114,,,,,
10,0.026029,,,,,
10,0.0261615,,,,,
10,0.0276435,,,,,
10,0.0243206,,,,,
10,0.0296668,,,,,
10,0.0555509,,,,,
10,0.0294864,,,,,
10,0.0225861,,,,,
10,0.024901,,,,,
10,0.0233416,,,,,
10,0.0329009,,,,,
10,0.0290836,,,,,
10,0.0252094,,,,,
10,0.0238916,,,,,
10,0.0253835,,,,,
10,0.02531,,,,,
10,0.0246514,,,,,
10,0.022741,,,,,
10,0.0219858,,,,,
10,0.0266564,,,,,
10,0.025035,,,,,
10,0.026845,,,,,
10,0.0421193,,,,,
10,0.0261832,,,,,
10,0.0266055,,,,,
10,0.0338804,,,,,
10,0.0277863,,,,,
10,0.0370246,,,,,
10,0.0305361,,,,,
10,0.0520406,,,,,
10,0.0268127,,,,,
10,0.0321036,,,,,
10,0.0308877,,,,,
10,0.0340623,,,,,
10,0.0375126,,,,,
10,0.0240223,,,,,
10,0.0263284,,,,,
10,0.0300097,,,,,
10,0.0361113,,,,,
10,0.025641,,,,,
10,0.0250621,,,,,
10,0.0315408,,,,,
10,0.0245021,,,,,
10,0.0224012,,,,,
10,0.0340185,,,,,
10,0.0223154,,,,,
