Max Component Size,Compute Time (s),partition_lgraph_spectral,,,,
284,0.7199968,,340.865,0.663459287,,184
194,0.6373077,,,,,
500,0.7090462,,,,,
570,0.6469939,,,,,
360,0.6711657,,,,,
520,0.5782334,,,,,
360,0.6857367,,,,,
184,0.6100419,,,,,
264,0.6322003,,,,,
340,0.5755037,,,,,
510,0.6089533,,,,,
400,0.5778628,,,,,
390,0.583714,,,,,
460,0.7653848,,,,,
590,0.5647132,,,,,
224,0.7084311,,,,,
400,0.6048853,,,,,
234,0.8581251,,,,,
234,0.5601703,,,,,
244,0.8717906,,,,,
310,0.6856621,,,,,
490,0.7528162,,,,,
374,0.5450497,,,,,
480,0.589379,,,,,
234,0.6696469,,,,,
360,0.5762678,,,,,
570,0.6380486,,,,,
250,0.6543027,,,,,
254,0.6667298,,,,,
370,2.1821671,,,,,
330,0.7453584,,,,,
330,0.7591551,,,,,
244,0.6166654,,,,,
204,0.6079529,,,,,
304,0.6595964,,,,,
405,0.7452807,,,,,
330,0.5345726,,,,,
204,0.6689206,,,,,
224,0.7226128,,,,,
234,0.6274423,,,,,
244,0.6831103,,,,,
234,0.5595768,,,,,
286,0.6355488,,,,,
480,0.621139,,,,,
230,0.5328472,,,,,
274,0.5972062,,,,,
480,0.5178503,,,,,
460,0.5392342,,,,,
330,0.5573186,,,,,
540,0.5812776,,,,,
550,0.5706165,,,,,
320,0.636699,,,,,
360,0.5387232,,,,,
500,0.5650948,,,,,
290,0.5637424,,,,,
186,0.5506373,,,,,
380,0.5919597,,,,,
320,0.5721987,,,,,
380,0.552233,,,,,
350,0.5220091,,,,,
335,0.5594678,,,,,
330,0.5409382,,,,,
299,0.5411913,,,,,
340,0.5895938,,,,,
340,0.576336,,,,,
330,0.6289658,,,,,
340,0.5512605,,,,,
424,0.635326,,,,,
304,0.6393416,,,,,
224,0.6384136,,,,,
350,0.5861197,,,,,
330,0.6292149,,,,,
259,0.5642695,,,,,
274,0.5469421,,,,,
395,0.6277874,,,,,
490,0.6081164,,,,,
330,0.5542411,,,,,
320,0.7088591,,,,,
274,0.6207418,,,,,
380,0.5849765,,,,,
400,0.5816425,,,,,
350,0.5597765,,,,,
304,0.5449694,,,,,
360,0.5894904,,,,,
204,0.545514,,,,,
540,0.5935698,,,,,
249,0.5843787,,,,,
254,0.5699622,,,,,
410,0.6222923,,,,,
330,0.5748793,,,,,
330,2.5835777,,,,,
340,0.7822653,,,,,
550,0.5456256,,,,,
330,0.5236485,,,,,
470,0.6882899,,,,,
460,0.6489726,,,,,
226,0.5684194,,,,,
224,0.5605118,,,,,
274,0.7527274,,,,,
350,0.832095,,,,,
259,0.7410914,,,,,
385,0.6337177,,,,,
304,0.8555864,,,,,
234,0.5828385,,,,,
339,0.6400439,,,,,
470,0.8167922,,,,,
295,0.7407904,,,,,
194,0.6684743,,,,,
420,0.6687679,,,,,
244,0.7444004,,,,,
229,0.6393078,,,,,
294,0.7706373,,,,,
246,0.6716419,,,,,
254,0.6762878,,,,,
284,0.6605008,,,,,
550,0.637324,,,,,
480,0.6313144,,,,,
330,0.6649383,,,,,
269,0.5788278,,,,,
610,0.6909444,,,,,
510,0.6427195,,,,,
224,0.5755948,,,,,
375,0.5952673,,,,,
340,0.7030326,,,,,
364,0.5946823,,,,,
350,0.6117164,,,,,
234,0.7028897,,,,,
360,0.6534411,,,,,
224,0.7325485,,,,,
234,0.7309518,,,,,
244,0.6608473,,,,,
365,0.6444205,,,,,
254,0.7692076,,,,,
385,0.5520667,,,,,
234,0.7074139,,,,,
294,0.6374342,,,,,
470,0.632236,,,,,
320,0.612192,,,,,
294,0.5403356,,,,,
299,0.566064,,,,,
340,0.5873028,,,,,
360,0.5864727,,,,,
270,0.561243,,,,,
520,0.568573,,,,,
279,0.5426363,,,,,
490,0.5735999,,,,,
319,0.5844217,,,,,
350,0.7690625,,,,,
264,2.4621458,,,,,
330,0.7814377,,,,,
224,0.7062697,,,,,
234,0.659439,,,,,
340,0.6773571,,,,,
320,0.6046858,,,,,
400,0.7480364,,,,,
290,0.6026954,,,,,
470,0.573996,,,,,
310,0.6215458,,,,,
214,0.7875297,,,,,
380,0.5628389,,,,,
276,0.5886967,,,,,
274,0.6689921,,,,,
440,0.6416315,,,,,
259,0.6403193,,,,,
390,0.752253,,,,,
410,0.6183937,,,,,
390,0.6510321,,,,,
385,0.6361109,,,,,
490,0.6523566,,,,,
284,0.685755,,,,,
394,0.5184048,,,,,
380,0.7421552,,,,,
480,0.6915442,,,,,
370,0.7013282,,,,,
410,0.6297092,,,,,
264,0.7665104,,,,,
269,0.5821408,,,,,
560,0.6222535,,,,,
410,0.5202899,,,,,
440,0.6716856,,,,,
390,0.7570612,,,,,
320,0.7857875,,,,,
370,0.6958871,,,,,
224,0.6900197,,,,,
304,0.6255271,,,,,
284,0.5678618,,,,,
520,0.7022733,,,,,
244,0.691121,,,,,
244,0.6913101,,,,,
395,0.7478712,,,,,
244,0.7503157,,,,,
350,0.7971188,,,,,
390,0.5994541,,,,,
244,0.540748,,,,,
254,0.6026487,,,,,
350,0.5694746,,,,,
310,0.5497592,,,,,
239,0.5949474,,,,,
254,0.5545194,,,,,
320,0.5643922,,,,,
