Max Component Size,Compute Time (s),partition_lgraph_louvain,,
10,0.4058374,,10,0.439846934
10,0.4637343,,,
10,0.3844237,,,
10,0.4602974,,,
10,0.5017822,,,
10,0.4459494,,,
10,0.4971019,,,
10,0.4324663,,,
10,0.5504167,,,
10,0.5446179,,,
10,0.2868245,,,
10,0.5616471,,,
10,0.4748797,,,
10,0.3684765,,,
10,0.3393263,,,
10,0.4515569,,,
10,0.4095593,,,
10,0.4286656,,,
10,0.3119744,,,
10,0.4014919,,,
10,0.3791847,,,
10,0.4604136,,,
10,0.3909651,,,
10,0.4647611,,,
10,0.4594753,,,
10,0.4683938,,,
10,0.4685857,,,
10,0.4270233,,,
10,0.3279225,,,
10,0.3651073,,,
10,0.3016293,,,
10,0.4593235,,,
10,0.3768966,,,
10,0.5111172,,,
10,0.3440644,,,
10,0.4965122,,,
10,0.3499907,,,
10,0.4271213,,,
10,0.5243401,,,
10,0.3314529,,,
10,0.3276843,,,
10,0.389383,,,
10,0.5300017,,,
10,0.4198428,,,
10,0.3495188,,,
10,0.6212506,,,
10,0.401635,,,
10,0.457452,,,
10,0.4988114,,,
10,0.5240344,,,
10,0.4781811,,,
10,0.339129,,,
10,0.4391517,,,
10,0.7172153,,,
10,0.5545318,,,
10,0.528724,,,
10,0.4213219,,,
10,0.3509957,,,
10,0.3701282,,,
10,0.4137781,,,
10,0.5342458,,,
10,0.5577254,,,
10,0.4246324,,,
10,0.291186,,,
10,0.362788,,,
10,0.3881297,,,
10,0.389421,,,
10,0.3641138,,,
10,0.3297976,,,
10,0.36631,,,
10,0.3609525,,,
10,0.3729123,,,
10,0.5822498,,,
10,0.3662646,,,
10,0.4716903,,,
10,0.31228,,,
10,0.6525575,,,
10,0.2997698,,,
10,0.5531268,,,
10,0.4065886,,,
10,0.5053084,,,
10,0.4149232,,,
10,0.3630281,,,
10,0.3310714,,,
10,0.4737654,,,
10,0.4435727,,,
10,0.5365277,,,
10,0.3981783,,,
10,0.4756285,,,
10,0.3586336,,,
10,0.426156,,,
10,0.4148765,,,
10,0.4170465,,,
10,0.3827305,,,
10,0.4201944,,,
10,0.499029,,,
10,0.3695224,,,
10,0.4474113,,,
10,0.4047832,,,
10,0.4164197,,,
10,0.4007299,,,
10,0.4650396,,,
10,0.4194883,,,
10,0.6164646,,,
10,0.3499651,,,
10,0.6917017,,,
10,0.4406339,,,
10,0.4463165,,,
10,0.4211091,,,
10,0.4671187,,,
10,0.4681161,,,
10,0.4635582,,,
10,0.821944,,,
10,0.407577,,,
10,0.5333169,,,
10,0.3853621,,,
10,0.4212853,,,
10,0.4423983,,,
10,0.5112125,,,
10,0.4915341,,,
10,0.3151089,,,
10,0.3711067,,,
10,0.3692868,,,
10,0.4917741,,,
10,0.5675358,,,
10,0.3895998,,,
10,0.3896129,,,
10,0.5145233,,,
10,0.7525437,,,
10,0.6047672,,,
10,0.4706453,,,
10,0.3042261,,,
10,0.4280306,,,
10,0.3965484,,,
10,0.5513811,,,
10,0.4634059,,,
10,0.4569652,,,
10,0.4452304,,,
10,0.3324698,,,
10,0.3862408,,,
10,0.678398,,,
10,0.4096747,,,
10,0.5007861,,,
10,0.5543364,,,
10,0.4291741,,,
10,0.5224836,,,
10,0.3707659,,,
10,0.4552051,,,
10,0.5109854,,,
10,0.3887835,,,
10,0.4510732,,,
10,0.4744887,,,
10,0.4440126,,,
10,0.4016295,,,
10,0.2927592,,,
10,0.3138987,,,
10,0.4483098,,,
10,0.3879309,,,
10,0.5421656,,,
10,0.3763723,,,
10,0.4079704,,,
10,0.383709,,,
10,0.4567915,,,
10,0.385417,,,
10,0.4209131,,,
10,0.4240058,,,
10,0.399402,,,
10,0.4132882,,,
10,0.3706035,,,
10,0.4050592,,,
10,0.3988234,,,
10,0.5192999,,,
10,0.3647165,,,
10,0.4512508,,,
10,0.4158151,,,
10,0.5540061,,,
10,0.3941821,,,
10,0.4601539,,,
10,0.4094718,,,
10,0.5813083,,,
10,0.4660036,,,
10,0.4903222,,,
10,0.5109618,,,
10,0.46915,,,
10,0.4993624,,,
10,0.4536329,,,
10,0.4531924,,,
10,0.3925985,,,
10,0.4043684,,,
10,0.3625006,,,
10,0.3550761,,,
10,0.414808,,,
10,0.4827932,,,
10,0.3444022,,,
10,0.3629084,,,
10,0.3592193,,,
10,0.4794099,,,
10,0.5209293,,,
10,0.3762552,,,
10,0.4625672,,,
