Max Component Size,Compute Time (s),partition_lgraph_louvain,,
10,0.233493,,10,0.168202373
10,0.1493135,,,
10,0.1671496,,,
10,0.2485182,,,
10,0.1434216,,,
10,0.133426,,,
10,0.1752394,,,
10,0.1303686,,,
10,0.261051,,,
10,0.1364971,,,
10,0.1563345,,,
10,0.180023,,,
10,0.1329897,,,
10,0.164434,,,
10,0.1902973,,,
10,0.1487085,,,
10,0.1548805,,,
10,0.1436008,,,
10,0.1376637,,,
10,0.2132271,,,
10,0.1436073,,,
10,0.1749878,,,
10,0.1495908,,,
10,0.2638507,,,
10,0.1640807,,,
10,0.1773979,,,
10,0.2337468,,,
10,0.2203976,,,
10,0.2070194,,,
10,0.1806979,,,
10,0.1904527,,,
10,0.1185915,,,
10,0.1987528,,,
10,0.1480281,,,
10,0.1551112,,,
10,0.2117279,,,
10,0.196635,,,
10,0.1591581,,,
10,0.1737278,,,
10,0.184283,,,
10,0.1386736,,,
10,0.1715109,,,
10,0.1678013,,,
10,0.2395948,,,
10,0.1404165,,,
10,0.1873307,,,
10,0.2120061,,,
10,0.1449647,,,
10,0.1889862,,,
10,0.1462351,,,
10,0.1570126,,,
10,0.1733517,,,
10,0.1363638,,,
10,0.1791497,,,
10,0.1819907,,,
10,0.1355203,,,
10,0.1371699,,,
10,0.127087,,,
10,0.2024141,,,
10,0.1539758,,,
10,0.1337678,,,
10,0.1931473,,,
10,0.169868,,,
10,0.1392541,,,
10,0.2052223,,,
10,0.2045195,,,
10,0.2127521,,,
10,0.1598046,,,
10,0.1713755,,,
10,0.1519813,,,
10,0.1176031,,,
10,0.1424873,,,
10,0.3003296,,,
10,0.1881039,,,
10,0.1657777,,,
10,0.1724918,,,
10,0.2683104,,,
10,0.1795807,,,
10,0.1497973,,,
10,0.142457,,,
10,0.2441815,,,
10,0.1433829,,,
10,0.2139896,,,
10,0.1867938,,,
10,0.1640008,,,
10,0.1927027,,,
10,0.1929925,,,
10,0.2163332,,,
10,0.1271007,,,
10,0.1388536,,,
10,0.2178558,,,
10,0.1182207,,,
10,0.2239788,,,
10,0.1890325,,,
10,0.1782007,,,
10,0.1544534,,,
10,0.1245135,,,
10,0.1605593,,,
10,0.2062508,,,
10,0.161175,,,
10,0.1551043,,,
10,0.1913411,,,
10,0.1243595,,,
10,0.2477381,,,
10,0.1988082,,,
10,0.131389,,,
10,0.1490958,,,
10,0.1525653,,,
10,0.1632725,,,
10,0.1563981,,,
10,0.1442867,,,
10,0.1398648,,,
10,0.1827666,,,
10,0.1675357,,,
10,0.2787762,,,
10,0.168363,,,
10,0.1298871,,,
10,0.1372761,,,
10,0.1404932,,,
10,0.1487568,,,
10,0.225593,,,
10,0.1629139,,,
10,0.1547631,,,
10,0.1417977,,,
10,0.1728763,,,
10,0.1589345,,,
10,0.1845546,,,
10,0.1312572,,,
10,0.2614516,,,
10,0.1698536,,,
10,0.1726965,,,
10,0.1724849,,,
10,0.1535714,,,
10,0.1530211,,,
10,0.1751748,,,
10,0.1812389,,,
10,0.1637784,,,
10,0.1131843,,,
10,0.1873675,,,
10,0.2170612,,,
10,0.2210351,,,
10,0.1547466,,,
10,0.1827246,,,
10,0.1254439,,,
10,0.1613435,,,
10,0.2025435,,,
10,0.1349432,,,
10,0.169484,,,
10,0.165184,,,
10,0.1271129,,,
10,0.1460605,,,
10,0.1146907,,,
10,0.1211174,,,
10,0.1539994,,,
10,0.1760381,,,
10,0.1300349,,,
10,0.1382368,,,
10,0.1450762,,,
10,0.1283477,,,
10,0.127325,,,
10,0.1057727,,,
10,0.131859,,,
10,0.20914,,,
10,0.173076,,,
10,0.1244274,,,
10,0.1427847,,,
10,0.1282762,,,
10,0.1306609,,,
10,0.19123,,,
10,0.1263769,,,
10,0.1342754,,,
10,0.1303238,,,
10,0.137262,,,
10,0.1474026,,,
10,0.1645105,,,
10,0.1577632,,,
10,0.2194703,,,
10,0.1487862,,,
10,0.1429998,,,
10,0.1958821,,,
10,0.1955792,,,
10,0.1963289,,,
10,0.1803124,,,
10,0.1379353,,,
10,0.1566615,,,
10,0.1823775,,,
10,0.1464291,,,
10,0.1619087,,,
10,0.193398,,,
10,0.1666603,,,
10,0.1989903,,,
10,0.1832403,,,
10,0.1346005,,,
10,0.1188652,,,
10,0.1591564,,,
10,0.2009848,,,
10,0.183226,,,
10,0.1095378,,,
10,0.166513,,,
10,0.1411083,,,
