Max Component Size,Compute Time (s),runScen3_1_rand,,
6,0.0006571,,6,0.000901173
6,0.0007022,,,
6,0.0005994,,,
6,0.0006185,,,
6,0.0006705,,,
6,0.0005288,,,
6,0.0006217,,,
6,0.0005487,,,
6,0.0007765,,,
6,0.0006951,,,
6,0.000766,,,
6,0.0007951,,,
6,0.0007809,,,
6,0.0007873,,,
6,0.0008275,,,
6,0.0007862,,,
6,0.0007293,,,
6,0.0007436,,,
6,0.0007815,,,
6,0.0006135,,,
6,0.0008272,,,
6,0.0005614,,,
6,0.0006503,,,
6,0.000612,,,
6,0.0006206,,,
6,0.0005577,,,
6,0.0008153,,,
6,0.0007883,,,
6,0.0007428,,,
6,0.0007602,,,
6,0.0007286,,,
6,0.0007959,,,
6,0.000819,,,
6,0.000786,,,
6,0.0008111,,,
6,0.000796,,,
6,0.0007304,,,
6,0.000741,,,
6,0.0008571,,,
6,0.0006955,,,
6,0.0011041,,,
6,0.0240719,,,
6,0.0006997,,,
6,0.000834,,,
6,0.0008514,,,
6,0.0008391,,,
6,0.0009633,,,
6,0.0055897,,,
6,0.000782,,,
6,0.0006964,,,
6,0.0007791,,,
6,0.0005496,,,
6,0.0006422,,,
6,0.0006019,,,
6,0.0006002,,,
6,0.000691,,,
6,0.0007436,,,
6,0.0006482,,,
6,0.0006968,,,
6,0.0005586,,,
6,0.000696,,,
6,0.0007504,,,
6,0.0007832,,,
6,0.0007677,,,
6,0.0008187,,,
6,0.0007332,,,
6,0.0007884,,,
6,0.0007475,,,
6,0.0007166,,,
6,0.0006665,,,
6,0.0006479,,,
6,0.0005626,,,
6,0.0006249,,,
6,0.0043756,,,
6,0.0008775,,,
6,0.0005367,,,
6,0.0005855,,,
6,0.000594,,,
6,0.0005976,,,
6,0.0006312,,,
6,0.0006351,,,
6,0.0006009,,,
6,0.0006623,,,
6,0.0007742,,,
6,0.0008263,,,
6,0.0008677,,,
6,0.0011556,,,
6,0.0008338,,,
6,0.0007012,,,
6,0.0008501,,,
6,0.0007306,,,
6,0.0008705,,,
6,0.0007299,,,
6,0.0008584,,,
6,0.0007257,,,
6,0.0008801,,,
6,0.0007438,,,
6,0.0008519,,,
6,0.0010416,,,
6,0.0008128,,,
6,0.0010657,,,
6,0.0008041,,,
6,0.0007515,,,
6,0.0011638,,,
6,0.0008379,,,
6,0.0007373,,,
6,0.0008208,,,
6,0.0007373,,,
6,0.0008728,,,
6,0.0007305,,,
6,0.0008566,,,
6,0.0007116,,,
6,0.0008671,,,
6,0.000813,,,
6,0.001284,,,
6,0.0008211,,,
6,0.0011843,,,
6,0.0008214,,,
6,0.0008253,,,
6,0.0007299,,,
6,0.0008519,,,
6,0.000733,,,
6,0.0007724,,,
6,0.0005955,,,
6,0.0008462,,,
6,0.0007458,,,
6,0.0007473,,,
6,0.000755,,,
6,0.0007904,,,
6,0.0007643,,,
6,0.000806,,,
6,0.0007293,,,
6,0.0007176,,,
6,0.0007546,,,
6,0.0008088,,,
6,0.0007518,,,
6,0.0006037,,,
6,0.0005382,,,
6,0.0006434,,,
6,0.0005626,,,
6,0.0006046,,,
6,0.0005165,,,
6,0.0006009,,,
6,0.0005578,,,
6,0.0007747,,,
6,0.0006788,,,
6,0.0007342,,,
6,0.0006101,,,
6,0.0007772,,,
6,0.0006584,,,
6,0.0007352,,,
6,0.0008472,,,
6,0.0007435,,,
6,0.0008396,,,
6,0.0008251,,,
6,0.0008312,,,
6,0.000779,,,
6,0.000801,,,
6,0.000744,,,
6,0.0007611,,,
6,0.0007377,,,
6,0.0008293,,,
6,0.0007857,,,
6,0.0008564,,,
6,0.0008103,,,
6,0.0007904,,,
6,0.000799,,,
6,0.0008138,,,
6,0.0008456,,,
6,0.0006519,,,
6,0.0006508,,,
6,0.0008001,,,
6,0.0008073,,,
6,0.0007539,,,
6,0.0008165,,,
6,0.0007655,,,
6,0.0008173,,,
6,0.0006806,,,
6,0.0007437,,,
6,0.0006479,,,
6,0.0006547,,,
6,0.0006668,,,
6,0.0007501,,,
6,0.0007354,,,
6,0.0005623,,,
6,0.0006188,,,
6,0.0005879,,,
6,0.0006193,,,
6,0.0005582,,,
6,0.0006294,,,
6,0.0005566,,,
6,0.0006088,,,
6,0.0005548,,,
6,0.0006679,,,
6,0.0005619,,,
6,0.0006893,,,
6,0.0007088,,,
6,0.0008286,,,
6,0.0007934,,,
6,0.0007811,,,
