Max Component Size,Compute Time (s),runScen3_1_rand,,,,
50,0.0011089,,40.38,0.001470361,,27
27,0.0010041,,,,,
34,0.0009137,,,,,
50,0.0010096,,,,,
34,0.0010389,,,,,
50,0.001217,,,,,
34,0.0011138,,,,,
50,0.0012266,,,,,
34,0.0009974,,,,,
27,0.0012678,,,,,
28,0.001251,,,,,
34,0.0011793,,,,,
45,0.0011068,,,,,
50,0.0010293,,,,,
50,0.0013234,,,,,
34,0.0010135,,,,,
50,0.0012319,,,,,
50,0.0012605,,,,,
50,0.0012509,,,,,
50,0.001082,,,,,
27,0.0010709,,,,,
34,0.0010947,,,,,
34,0.0010649,,,,,
45,0.0012071,,,,,
45,0.0011313,,,,,
50,0.0017086,,,,,
34,0.0138282,,,,,
50,0.0013081,,,,,
34,0.001163,,,,,
34,0.0019196,,,,,
34,0.001178,,,,,
50,0.0017675,,,,,
50,0.0010582,,,,,
34,0.0008253,,,,,
34,0.0009423,,,,,
50,0.0015015,,,,,
28,0.0040445,,,,,
34,0.0009728,,,,,
34,0.0009182,,,,,
28,0.0008666,,,,,
50,0.0011034,,,,,
34,0.0008736,,,,,
50,0.0010162,,,,,
50,0.0012739,,,,,
50,0.0012901,,,,,
50,0.0013734,,,,,
27,0.0009882,,,,,
34,0.0011851,,,,,
34,0.0009882,,,,,
45,0.0011503,,,,,
34,0.0493071,,,,,
34,0.0008554,,,,,
28,0.0010937,,,,,
50,0.0014219,,,,,
33,0.0013126,,,,,
34,0.0011399,,,,,
50,0.0015626,,,,,
45,0.0012073,,,,,
50,0.001302,,,,,
50,0.001032,,,,,
27,0.0009504,,,,,
27,0.0011866,,,,,
27,0.0009302,,,,,
34,0.0009605,,,,,
28,0.0011329,,,,,
50,0.0013425,,,,,
34,0.0010567,,,,,
27,0.0010952,,,,,
27,0.0011362,,,,,
34,0.0010638,,,,,
50,0.0019369,,,,,
50,0.0011758,,,,,
50,0.00117,,,,,
50,0.0012201,,,,,
27,0.001078,,,,,
45,0.0012917,,,,,
34,0.0011389,,,,,
27,0.0010805,,,,,
50,0.0012637,,,,,
50,0.0012928,,,,,
34,0.0010551,,,,,
34,0.0009644,,,,,
50,0.0010998,,,,,
34,0.0010283,,,,,
34,0.0010951,,,,,
27,0.0010283,,,,,
50,0.0013507,,,,,
34,0.0011354,,,,,
50,0.0012775,,,,,
50,0.0011608,,,,,
50,0.0012055,,,,,
50,0.0012645,,,,,
50,0.001155,,,,,
50,0.0012818,,,,,
50,0.0011715,,,,,
50,0.0011342,,,,,
34,0.0010071,,,,,
34,0.0011461,,,,,
50,0.0011682,,,,,
50,0.001111,,,,,
34,0.0009381,,,,,
50,0.0011706,,,,,
50,0.0012187,,,,,
34,0.001167,,,,,
50,0.0012486,,,,,
50,0.0012425,,,,,
34,0.0010074,,,,,
50,0.0013026,,,,,
34,0.0014195,,,,,
50,0.001159,,,,,
34,0.0010907,,,,,
27,0.0013504,,,,,
28,0.0010277,,,,,
34,0.0009296,,,,,
34,0.0010973,,,,,
34,0.0010544,,,,,
34,0.0010102,,,,,
34,0.0010143,,,,,
34,0.0010105,,,,,
34,0.0008934,,,,,
34,0.0010789,,,,,
50,0.0012135,,,,,
34,0.0010582,,,,,
50,0.0012744,,,,,
27,0.0010949,,,,,
50,0.0012124,,,,,
50,0.0014233,,,,,
27,0.0012078,,,,,
50,0.0011715,,,,,
50,0.0011443,,,,,
50,0.0012569,,,,,
34,0.0010357,,,,,
27,0.0012551,,,,,
50,0.001387,,,,,
28,0.0010398,,,,,
50,0.0011044,,,,,
34,0.0010854,,,,,
34,0.0010657,,,,,
50,0.0011129,,,,,
50,0.0012004,,,,,
34,0.0010737,,,,,
50,0.0011609,,,,,
50,0.0012433,,,,,
34,0.001119,,,,,
34,0.0011245,,,,,
28,0.0013425,,,,,
34,0.0010533,,,,,
50,0.0010628,,,,,
50,0.0010796,,,,,
50,0.0013804,,,,,
34,0.0010634,,,,,
34,0.001069,,,,,
34,0.0009298,,,,,
34,0.0008655,,,,,
34,0.0012365,,,,,
34,0.0010541,,,,,
27,0.0011665,,,,,
45,0.0010499,,,,,
50,0.0012338,,,,,
50,0.0011013,,,,,
34,0.0008909,,,,,
50,0.0011633,,,,,
27,0.0011416,,,,,
50,0.0011144,,,,,
34,0.0010634,,,,,
50,0.0011476,,,,,
27,0.0011066,,,,,
50,0.0011138,,,,,
50,0.0011193,,,,,
50,0.0012228,,,,,
27,0.001186,,,,,
50,0.001167,,,,,
34,0.001025,,,,,
34,0.0009099,,,,,
50,0.00125,,,,,
50,0.0012979,,,,,
50,0.0011591,,,,,
34,0.0009822,,,,,
50,0.0012489,,,,,
34,0.0010488,,,,,
50,0.0011593,,,,,
50,0.0014876,,,,,
50,0.0012674,,,,,
50,0.0013639,,,,,
28,0.0011176,,,,,
34,0.0010641,,,,,
34,0.0010317,,,,,
50,0.0010897,,,,,
27,0.0011692,,,,,
50,0.0013185,,,,,
34,0.0011193,,,,,
50,0.0013309,,,,,
34,0.0010387,,,,,
50,0.0011462,,,,,
34,0.0009323,,,,,
27,0.0008712,,,,,
34,0.0011335,,,,,
34,0.0011847,,,,,
50,0.0014061,,,,,
50,0.0012787,,,,,
