Max Component Size,Compute Time (s),partition_lgraph_spectral,,,,
250,0.4685617,,256.65,0.352012967,,210
240,0.5357012,,,,,
270,2.7284898,,,,,
240,0.2922867,,,,,
280,0.4572108,,,,,
290,0.5417268,,,,,
220,0.4039921,,,,,
290,0.3072627,,,,,
260,0.368261,,,,,
270,0.2924125,,,,,
240,0.3156067,,,,,
220,0.3033263,,,,,
270,0.3124532,,,,,
260,0.2723641,,,,,
280,0.3251636,,,,,
270,0.3025284,,,,,
240,0.403844,,,,,
240,0.4475868,,,,,
250,0.3459896,,,,,
300,0.3933688,,,,,
250,0.4279702,,,,,
250,0.3726053,,,,,
270,0.3591083,,,,,
280,0.2941171,,,,,
280,0.316263,,,,,
310,0.4087295,,,,,
280,0.4268337,,,,,
250,0.2989885,,,,,
260,0.346039,,,,,
230,0.351966,,,,,
270,0.4527609,,,,,
240,0.527203,,,,,
250,0.4315795,,,,,
240,0.4921547,,,,,
240,0.4089517,,,,,
250,0.3979694,,,,,
270,0.318669,,,,,
280,0.3319767,,,,,
250,0.4457705,,,,,
240,0.2912885,,,,,
270,0.3383606,,,,,
250,0.3258741,,,,,
260,0.3546624,,,,,
220,0.3005215,,,,,
260,0.4119014,,,,,
260,0.3416119,,,,,
240,0.3597625,,,,,
250,0.367234,,,,,
310,0.4450338,,,,,
250,0.2112059,,,,,
270,0.2545666,,,,,
270,0.2640887,,,,,
270,0.2352216,,,,,
270,0.2379345,,,,,
240,0.2452803,,,,,
210,0.2512687,,,,,
220,0.2337612,,,,,
210,0.2157874,,,,,
270,0.2295846,,,,,
230,0.2356452,,,,,
260,0.2326179,,,,,
240,0.2267436,,,,,
230,0.2179291,,,,,
270,0.3411279,,,,,
320,0.2666478,,,,,
280,0.307325,,,,,
210,0.4587974,,,,,
280,0.3849708,,,,,
280,0.3239456,,,,,
270,0.359279,,,,,
270,0.2879641,,,,,
310,0.3369036,,,,,
220,0.4124535,,,,,
260,0.3244694,,,,,
240,0.2806932,,,,,
300,0.2995894,,,,,
230,0.3652473,,,,,
270,0.3708264,,,,,
270,0.3523308,,,,,
230,0.3092542,,,,,
230,0.3985718,,,,,
270,0.3869957,,,,,
260,0.4148164,,,,,
240,0.3433488,,,,,
270,0.5140277,,,,,
250,0.2850246,,,,,
240,0.4575366,,,,,
280,0.3878676,,,,,
280,0.4294221,,,,,
260,0.5598829,,,,,
230,0.383317,,,,,
270,0.3257221,,,,,
250,0.3347142,,,,,
260,0.2776968,,,,,
260,0.3760894,,,,,
220,0.3073514,,,,,
210,0.3797512,,,,,
220,0.4543299,,,,,
320,0.353781,,,,,
260,0.4680954,,,,,
280,0.2812018,,,,,
300,0.3249906,,,,,
270,0.2436185,,,,,
240,0.4353479,,,,,
240,0.3622256,,,,,
250,0.3657746,,,,,
280,0.3543711,,,,,
280,0.3168964,,,,,
280,0.545991,,,,,
270,0.3357359,,,,,
260,0.4443652,,,,,
280,2.0978316,,,,,
250,0.714266,,,,,
270,0.3565173,,,,,
210,0.4313374,,,,,
280,0.3661673,,,,,
220,0.3543356,,,,,
220,0.3999307,,,,,
280,0.3446633,,,,,
220,0.3443018,,,,,
220,0.3246802,,,,,
270,0.6719059,,,,,
220,0.3878983,,,,,
260,0.4065882,,,,,
260,0.3060357,,,,,
220,0.3955138,,,,,
310,0.3267332,,,,,
270,0.5147872,,,,,
240,0.4445248,,,,,
260,0.267842,,,,,
260,0.2853615,,,,,
220,0.3607394,,,,,
250,0.3421551,,,,,
220,0.4847501,,,,,
250,0.3807427,,,,,
280,0.3565953,,,,,
290,0.2513119,,,,,
240,0.4555039,,,,,
240,0.4078301,,,,,
240,0.3038394,,,,,
240,0.3910251,,,,,
250,0.378029,,,,,
250,0.3384209,,,,,
280,0.3534909,,,,,
250,0.4036053,,,,,
240,0.3860854,,,,,
260,0.298336,,,,,
220,0.3270216,,,,,
260,0.226647,,,,,
270,0.2860029,,,,,
270,0.2607158,,,,,
270,0.2676385,,,,,
270,0.2347783,,,,,
270,0.2451066,,,,,
280,0.2130746,,,,,
220,0.2108733,,,,,
280,0.2129358,,,,,
280,0.2373793,,,,,
290,0.2288211,,,,,
270,0.2110405,,,,,
220,0.2645407,,,,,
260,0.2277129,,,,,
240,0.2658193,,,,,
240,0.2634942,,,,,
320,0.2295499,,,,,
250,0.2221287,,,,,
230,0.2157639,,,,,
210,0.2817663,,,,,
280,0.2226711,,,,,
210,0.2823101,,,,,
250,0.2300948,,,,,
230,0.2483044,,,,,
220,0.2369609,,,,,
230,0.2515971,,,,,
260,0.2300274,,,,,
320,0.214506,,,,,
260,0.2688673,,,,,
230,0.2446804,,,,,
270,0.2411097,,,,,
260,0.2230543,,,,,
220,0.2328862,,,,,
270,0.2278585,,,,,
250,0.2339234,,,,,
240,0.25691,,,,,
230,0.2648196,,,,,
260,0.2458864,,,,,
270,0.3024272,,,,,
210,0.2333924,,,,,
240,0.2168397,,,,,
240,0.2246268,,,,,
270,0.2175969,,,,,
330,0.2300892,,,,,
240,0.2557747,,,,,
280,0.2769003,,,,,
320,0.219393,,,,,
260,0.3012083,,,,,
290,0.2409313,,,,,
280,0.2194163,,,,,
250,0.4168992,,,,,
250,0.2377716,,,,,
