Max Component Size,Compute Time (s),runScen3_1_rand,,,,
24,0.0009766,,34.01,0.001146327,,24
35,0.0010514,,,,,
35,0.0010613,,,,,
35,0.0010093,,,,,
35,0.0011863,,,,,
35,0.0012447,,,,,
24,0.0010123,,,,,
35,0.0008711,,,,,
35,0.0008771,,,,,
35,0.0010475,,,,,
35,0.0009981,,,,,
24,0.0009246,,,,,
35,0.0010505,,,,,
35,0.0009454,,,,,
35,0.001005,,,,,
35,0.001094,,,,,
35,0.0011975,,,,,
35,0.0011351,,,,,
35,0.0009212,,,,,
35,0.0008645,,,,,
35,0.0009658,,,,,
35,0.0011034,,,,,
35,0.0008777,,,,,
35,0.0009494,,,,,
35,0.0009983,,,,,
35,0.0009657,,,,,
35,0.0010615,,,,,
35,0.0011593,,,,,
35,0.0011403,,,,,
35,0.00113,,,,,
35,0.0011907,,,,,
24,0.0010953,,,,,
35,0.0010367,,,,,
35,0.0009826,,,,,
35,0.0009514,,,,,
35,0.0190679,,,,,
35,0.0009863,,,,,
35,0.0013332,,,,,
35,0.0011243,,,,,
35,0.0012625,,,,,
35,0.0012425,,,,,
35,0.0011872,,,,,
35,0.0009003,,,,,
35,0.0011092,,,,,
35,0.0008788,,,,,
24,0.0011799,,,,,
35,0.0012165,,,,,
24,0.0009974,,,,,
35,0.0009029,,,,,
35,0.0010183,,,,,
35,0.0011191,,,,,
35,0.0011187,,,,,
35,0.0011626,,,,,
35,0.0010231,,,,,
35,0.0009454,,,,,
24,0.0009123,,,,,
35,0.001162,,,,,
35,0.0011762,,,,,
35,0.0009522,,,,,
35,0.0011117,,,,,
35,0.0008887,,,,,
35,0.0008724,,,,,
35,0.0008319,,,,,
35,0.0009673,,,,,
35,0.0009234,,,,,
35,0.001044,,,,,
35,0.001096,,,,,
35,0.0010181,,,,,
35,0.0010051,,,,,
35,0.0010045,,,,,
35,0.0024076,,,,,
35,0.0010449,,,,,
35,0.0008907,,,,,
35,0.0011264,,,,,
35,0.0010673,,,,,
35,0.0011451,,,,,
35,0.0010451,,,,,
35,0.000943,,,,,
35,0.00089,,,,,
35,0.0010561,,,,,
35,0.0009431,,,,,
35,0.0008183,,,,,
35,0.000946,,,,,
35,0.0009024,,,,,
35,0.0009911,,,,,
35,0.0010531,,,,,
35,0.0009308,,,,,
35,0.0009703,,,,,
35,0.0010897,,,,,
35,0.0010491,,,,,
35,0.0011327,,,,,
35,0.0010923,,,,,
35,0.0010718,,,,,
35,0.0008806,,,,,
35,0.0010154,,,,,
35,0.0009301,,,,,
35,0.0009427,,,,,
35,0.0010112,,,,,
35,0.0009872,,,,,
24,0.0010686,,,,,
35,0.0010299,,,,,
35,0.0010956,,,,,
35,0.0011306,,,,,
35,0.0010143,,,,,
35,0.0009567,,,,,
35,0.00105,,,,,
35,0.0011684,,,,,
35,0.0010161,,,,,
35,0.001179,,,,,
35,0.0010157,,,,,
35,0.0011754,,,,,
35,0.0011462,,,,,
35,0.0010302,,,,,
35,0.0009327,,,,,
35,0.0010444,,,,,
35,0.0009487,,,,,
35,0.0010519,,,,,
24,0.001037,,,,,
35,0.0011334,,,,,
35,0.0010318,,,,,
35,0.0009058,,,,,
35,0.0009179,,,,,
24,0.001061,,,,,
35,0.0010138,,,,,
24,0.0010572,,,,,
35,0.0010501,,,,,
35,0.0010769,,,,,
35,0.0011367,,,,,
35,0.0011666,,,,,
35,0.002944,,,,,
35,0.0009358,,,,,
35,0.0008423,,,,,
35,0.0010083,,,,,
35,0.0006898,,,,,
35,0.0007657,,,,,
35,0.0008775,,,,,
35,0.0008264,,,,,
35,0.005796,,,,,
35,0.0011711,,,,,
35,0.0009368,,,,,
35,0.001162,,,,,
35,0.0010048,,,,,
35,0.0007416,,,,,
35,0.0009075,,,,,
35,0.0008922,,,,,
24,0.0009609,,,,,
35,0.0008943,,,,,
24,0.0008636,,,,,
35,0.0009752,,,,,
35,0.0008565,,,,,
24,0.0012468,,,,,
35,0.0010799,,,,,
24,0.0009432,,,,,
24,0.0009393,,,,,
35,0.00107,,,,,
35,0.0013193,,,,,
35,0.0008413,,,,,
35,0.0008577,,,,,
35,0.0009223,,,,,
35,0.001131,,,,,
35,0.0010001,,,,,
35,0.0012187,,,,,
35,0.0011343,,,,,
35,0.0008807,,,,,
35,0.0009762,,,,,
35,0.0008946,,,,,
35,0.0011735,,,,,
35,0.0012877,,,,,
24,0.0010451,,,,,
35,0.0009632,,,,,
35,0.0008939,,,,,
35,0.0009861,,,,,
35,0.0009272,,,,,
35,0.0008177,,,,,
35,0.0009323,,,,,
35,0.0010155,,,,,
35,0.0008539,,,,,
24,0.0009275,,,,,
35,0.0008783,,,,,
35,0.0009048,,,,,
35,0.001,,,,,
35,0.0011403,,,,,
35,0.0012239,,,,,
35,0.0012067,,,,,
35,0.0009187,,,,,
35,0.0008883,,,,,
35,0.0008912,,,,,
35,0.0009691,,,,,
35,0.0010707,,,,,
35,0.0009686,,,,,
35,0.0010801,,,,,
35,0.0009131,,,,,
35,0.0009918,,,,,
35,0.0008738,,,,,
35,0.0012487,,,,,
35,0.0009851,,,,,
35,0.0010117,,,,,
35,0.0009058,,,,,
35,0.0009888,,,,,
35,0.0010343,,,,,
