Max Component Size,Compute Time (s),runScen3_1_rand,,,,
1600,0.0584546,,1599.9,0.064352071,,1590
1600,0.0570167,,,,,
1600,0.0567213,,,,,
1600,0.0526743,,,,,
1600,0.0554906,,,,,
1600,0.0908922,,,,,
1600,0.052448,,,,,
1600,0.0881351,,,,,
1600,0.0538974,,,,,
1600,0.0532439,,,,,
1600,0.0558948,,,,,
1600,0.0545858,,,,,
1600,0.0537113,,,,,
1600,0.0536712,,,,,
1600,0.084054,,,,,
1600,0.0526467,,,,,
1600,0.085297,,,,,
1600,0.0512472,,,,,
1600,0.0878021,,,,,
1600,0.0544303,,,,,
1600,0.0901779,,,,,
1600,0.0550677,,,,,
1600,0.0555337,,,,,
1600,0.053485,,,,,
1600,0.0509833,,,,,
1600,0.0521596,,,,,
1600,0.0583988,,,,,
1600,0.0854475,,,,,
1600,0.0551332,,,,,
1600,0.0888532,,,,,
1600,0.0505732,,,,,
1600,0.0870086,,,,,
1600,0.0569034,,,,,
1600,0.0887336,,,,,
1600,0.0513843,,,,,
1600,0.0516286,,,,,
1600,0.0550306,,,,,
1600,0.0528073,,,,,
1600,0.0526631,,,,,
1600,0.0549826,,,,,
1600,0.0854816,,,,,
1600,0.0523636,,,,,
1600,0.0907031,,,,,
1600,0.0538564,,,,,
1600,0.0889203,,,,,
1600,0.0523503,,,,,
1600,0.0903009,,,,,
1600,0.0522659,,,,,
1600,0.0493213,,,,,
1600,0.0531782,,,,,
1600,0.0526126,,,,,
1600,0.0550462,,,,,
1600,0.056152,,,,,
1600,0.0881339,,,,,
1600,0.0543155,,,,,
1600,0.0921925,,,,,
1600,0.0548778,,,,,
1600,0.0886026,,,,,
1600,0.0515957,,,,,
1600,0.0873198,,,,,
1600,0.0522029,,,,,
1600,0.0519238,,,,,
1600,0.0558222,,,,,
1600,0.0531853,,,,,
1600,0.0539407,,,,,
1600,0.0547317,,,,,
1600,0.0850623,,,,,
1600,0.0529008,,,,,
1600,0.0896875,,,,,
1600,0.0568155,,,,,
1600,0.0889338,,,,,
1600,0.0561027,,,,,
1600,0.0913726,,,,,
1600,0.0551138,,,,,
1600,0.054965,,,,,
1600,0.0537616,,,,,
1600,0.0546648,,,,,
1600,0.0515781,,,,,
1600,0.0534449,,,,,
1600,0.087211,,,,,
1600,0.0506895,,,,,
1600,0.0892587,,,,,
1600,0.0522578,,,,,
1600,0.085812,,,,,
1600,0.0553037,,,,,
1600,0.0877884,,,,,
1600,0.0528139,,,,,
1600,0.0541632,,,,,
1600,0.0533387,,,,,
1600,0.0551668,,,,,
1600,0.0561762,,,,,
1590,0.0524037,,,,,
1600,0.0854753,,,,,
1600,0.0548032,,,,,
1600,0.0897572,,,,,
1600,0.0572475,,,,,
1600,0.0897609,,,,,
1600,0.0539751,,,,,
