Max Component Sizes,Compute Time (s),runScen2Random,,Average Compute Time (s),Average Comp. Size
0.036016,732,,,0.038627387,778.74
0.0375383,777,,,,
0.0367767,788,,,,
0.0364778,791,,,,
0.0365831,631,,,,
0.0366318,782,,,,
0.0361972,797,,,,
0.036583,763,,,,
0.0369592,791,,,,
0.0361553,800,,,,
0.0367433,800,,,,
0.0364015,800,,,,
0.0364539,706,,,,
0.0370247,800,,,,
0.0367091,784,,,,
0.0366294,792,,,,
0.0594742,786,,,,
0.0360949,794,,,,
0.0363853,799,,,,
0.0363813,798,,,,
0.0365632,800,,,,
0.0367053,800,,,,
0.0363747,798,,,,
0.0365276,798,,,,
0.0367823,796,,,,
0.0359271,793,,,,
0.0365047,797,,,,
0.0361537,790,,,,
0.0362234,800,,,,
0.0356604,767,,,,
0.0365699,789,,,,
0.0598211,780,,,,
0.0365913,800,,,,
0.0368713,788,,,,
0.0360818,800,,,,
0.0368504,798,,,,
0.0363187,790,,,,
0.0373575,800,,,,
0.0357946,660,,,,
0.0364116,795,,,,
0.0370572,787,,,,
0.0370502,784,,,,
0.036429,797,,,,
0.0370907,796,,,,
0.0365541,778,,,,
0.0371219,791,,,,
0.036206,800,,,,
0.0374643,798,,,,
0.0361123,731,,,,
0.0374289,800,,,,
0.0371837,786,,,,
0.0361391,570,,,,
0.0603201,782,,,,
0.0362069,777,,,,
0.0367483,800,,,,
0.0366885,774,,,,
0.0360665,792,,,,
0.0363737,708,,,,
0.0366939,800,,,,
0.0367762,786,,,,
0.0368075,782,,,,
0.035855,709,,,,
0.0362184,800,,,,
0.0357649,798,,,,
0.0363876,795,,,,
0.0365732,800,,,,
0.035896,792,,,,
0.0594036,741,,,,
0.0358827,768,,,,
0.0365841,710,,,,
0.0363527,800,,,,
0.0362336,730,,,,
0.0353921,800,,,,
0.0362722,798,,,,
0.0359011,791,,,,
0.0364181,794,,,,
0.0367063,778,,,,
0.0357807,789,,,,
0.0367591,800,,,,
0.0361988,685,,,,
0.0362561,800,,,,
0.0362933,800,,,,
0.0359848,721,,,,
0.0366364,800,,,,
0.036451,791,,,,
0.0364647,797,,,,
0.0366412,785,,,,
0.0368119,800,,,,
0.0608589,800,,,,
0.0361797,790,,,,
0.0370245,791,,,,
0.0369242,800,,,,
0.0367948,800,,,,
0.0365124,791,,,,
0.0372868,800,,,,
0.036972,800,,,,
0.036482,800,,,,
0.0364035,800,,,,
0.0675913,800,,,,
0.0678048,800,,,,
0.0707555,696,,,,
0.0784291,786,,,,
0.0532481,795,,,,
0.067475,794,,,,
0.0384916,800,,,,
0.0378207,800,,,,
0.0368091,785,,,,
0.0364541,717,,,,
0.0386589,559,,,,
0.038309,791,,,,
0.0372418,800,,,,
0.0359379,719,,,,
0.0371053,797,,,,
0.0365536,800,,,,
0.0363491,800,,,,
0.0369636,796,,,,
0.0363014,800,,,,
0.0356133,800,,,,
0.0366558,787,,,,
0.0362997,800,,,,
0.0359116,796,,,,
0.0368611,751,,,,
0.0365022,800,,,,
0.0362323,782,,,,
0.0598652,796,,,,
0.0362614,800,,,,
0.0354677,797,,,,
0.0368234,800,,,,
0.0370288,787,,,,
0.0363064,793,,,,
0.0363107,800,,,,
0.036283,800,,,,
0.0356527,800,,,,
0.0352876,800,,,,
0.0364883,796,,,,
0.0354538,466,,,,
0.0368043,800,,,,
0.0362838,800,,,,
0.0364898,800,,,,
0.0590708,800,,,,
0.0359837,790,,,,
0.0366769,799,,,,
0.0361519,794,,,,
0.0362645,800,,,,
0.0360608,621,,,,
0.0364904,800,,,,
0.0362531,750,,,,
0.0367286,796,,,,
0.0370345,713,,,,
0.0368152,780,,,,
0.0364612,793,,,,
0.0361618,552,,,,
0.0366747,793,,,,
0.0365385,799,,,,
0.0366503,796,,,,
0.0369773,800,,,,
0.0364903,797,,,,
0.0366416,769,,,,
0.0365451,800,,,,
0.0361624,800,,,,
0.0592717,800,,,,
0.0367199,790,,,,
0.037069,800,,,,
0.0355744,750,,,,
0.036238,796,,,,
0.0362413,792,,,,
0.0358022,642,,,,
0.036846,800,,,,
0.0365584,800,,,,
0.0363318,800,,,,
0.0362299,786,,,,
0.0370669,795,,,,
0.0367052,758,,,,
0.0368672,800,,,,
0.0362694,800,,,,
0.0588992,798,,,,
0.0362113,799,,,,
0.0364086,786,,,,
0.0365836,799,,,,
0.0363625,800,,,,
0.0367935,800,,,,
0.0367554,800,,,,
0.0357189,635,,,,
0.0358193,790,,,,
0.0373249,800,,,,
0.0362211,795,,,,
0.0373645,795,,,,
0.0369718,792,,,,
0.037686,800,,,,
0.0359104,800,,,,
0.037067,791,,,,
0.0366301,782,,,,
0.0377864,800,,,,
0.0366935,789,,,,
0.036714,793,,,,
0.0367314,792,,,,
0.0602064,800,,,,
0.0361519,791,,,,
0.0371573,771,,,,
0.0371166,800,,,,
