Max Component Sizes,Compute Time (s),partition_lgraph_louvain,,Average Compute Size,Average Compute Time (s)
1.6309662,800,,,440.485,1.622184481
1.5781645,501,,,,
1.714822,238,,,,
1.5599342,291,,,,
1.539852,503,,,,
1.4267422,309,,,,
1.5696803,800,,,,
1.7083221,208,,,,
1.5979905,684,,,,
1.5268298,229,,,,
1.5480697,324,,,,
1.5305009,213,,,,
1.5531335,290,,,,
1.7892024,800,,,,
1.8613947,208,,,,
1.5219501,239,,,,
1.3475782,290,,,,
1.6392795,205,,,,
1.4737472,371,,,,
1.563121,690,,,,
1.820621,690,,,,
1.3385101,543,,,,
1.8608346,208,,,,
1.8150765,214,,,,
1.7058644,208,,,,
1.7405341,800,,,,
1.5830834,603,,,,
1.4971671,304,,,,
1.6045641,209,,,,
1.5463432,213,,,,
1.6544897,236,,,,
1.8926791,504,,,,
1.6087207,240,,,,
1.6622106,256,,,,
1.8419815,208,,,,
1.7218026,291,,,,
1.397934,293,,,,
1.5975654,418,,,,
1.6987189,543,,,,
1.4944171,268,,,,
1.5773253,685,,,,
1.383573,800,,,,
1.5527848,482,,,,
1.6891661,214,,,,
1.5804781,227,,,,
1.3579161,685,,,,
1.5456557,304,,,,
1.7171665,208,,,,
1.6934056,748,,,,
1.6661526,687,,,,
1.5241308,326,,,,
1.4849,616,,,,
1.9281926,284,,,,
1.7957618,375,,,,
1.7114417,800,,,,
1.6521611,394,,,,
1.5293499,309,,,,
1.5128392,800,,,,
1.7113263,800,,,,
1.7253396,445,,,,
1.6552749,490,,,,
1.6823244,381,,,,
1.55721,326,,,,
1.5844696,237,,,,
1.5875854,213,,,,
1.7569196,302,,,,
1.6697324,492,,,,
1.488552,211,,,,
1.7865658,585,,,,
1.866678,417,,,,
1.4405374,685,,,,
1.6081212,800,,,,
1.5413163,623,,,,
1.6863528,800,,,,
1.8162838,304,,,,
1.5780898,213,,,,
1.5188558,213,,,,
1.5159235,640,,,,
1.7124195,326,,,,
1.4433172,209,,,,
1.4778094,309,,,,
1.7516855,800,,,,
1.7075357,623,,,,
1.3724743,300,,,,
1.5942355,490,,,,
1.8008673,208,,,,
1.627148,226,,,,
1.3554716,306,,,,
1.6748686,800,,,,
1.8453431,560,,,,
1.7126095,690,,,,
1.7133075,800,,,,
1.6581535,685,,,,
1.4380478,309,,,,
1.661476,290,,,,
1.508097,309,,,,
1.6121288,208,,,,
1.6563307,213,,,,
1.8863363,208,,,,
1.7116355,543,,,,
1.6959926,688,,,,
1.6949459,800,,,,
1.6638287,800,,,,
1.6366285,338,,,,
1.566101,299,,,,
1.6734405,208,,,,
1.7253969,800,,,,
1.5958348,213,,,,
1.5249978,182,,,,
1.798176,800,,,,
1.3490734,213,,,,
1.6392881,800,,,,
1.5230169,306,,,,
1.4234528,304,,,,
1.9706625,800,,,,
1.5277744,229,,,,
1.5295571,507,,,,
1.8306608,578,,,,
1.7229111,429,,,,
1.4336542,309,,,,
1.6231937,209,,,,
1.7734476,238,,,,
1.7398819,800,,,,
1.5590473,208,,,,
1.6547705,213,,,,
1.5992376,213,,,,
1.5167472,474,,,,
1.5783842,364,,,,
1.3927285,290,,,,
1.4983013,483,,,,
1.4218952,800,,,,
1.4649032,213,,,,
1.6829546,800,,,,
1.9262994,800,,,,
1.7315124,550,,,,
1.4436643,685,,,,
1.6064379,213,,,,
1.6130017,359,,,,
1.7502729,598,,,,
1.3700806,299,,,,
1.649436,604,,,,
1.6333847,621,,,,
1.6537388,324,,,,
1.5748685,592,,,,
1.4815214,309,,,,
1.5175041,217,,,,
1.576066,213,,,,
1.5595022,309,,,,
1.6018327,685,,,,
1.6443571,426,,,,
1.7725779,800,,,,
1.8529742,208,,,,
1.8774656,208,,,,
1.7245007,542,,,,
1.4928929,249,,,,
1.6381418,800,,,,
1.6283736,688,,,,
1.5594912,304,,,,
1.5305016,491,,,,
1.7667516,800,,,,
1.6117975,373,,,,
1.6197478,616,,,,
1.2845081,615,,,,
1.5054477,389,,,,
1.652477,290,,,,
1.6738681,601,,,,
1.7869292,513,,,,
1.7359296,388,,,,
1.5183695,690,,,,
1.8094765,800,,,,
1.8038333,304,,,,
1.5619061,224,,,,
1.8069329,688,,,,
1.5614207,306,,,,
1.4099651,309,,,,
1.4668829,229,,,,
1.941967,800,,,,
1.6545975,208,,,,
1.5781635,475,,,,
1.5397054,464,,,,
1.7203622,230,,,,
1.6252602,213,,,,
1.4310824,291,,,,
1.5225498,213,,,,
1.3581742,481,,,,
1.4524511,209,,,,
1.8419497,800,,,,
1.6034908,743,,,,
1.6813828,407,,,,
1.8819137,606,,,,
1.8239099,391,,,,
1.5436333,213,,,,
1.6193987,213,,,,
1.4594157,309,,,,
1.7952299,208,,,,
1.4971149,497,,,,
1.6407994,304,,,,
1.5762062,306,,,,
1.6657695,604,,,,
1.599281,800,,,,
