Max Component Sizes,Compute Time (s),partition_lgraph_louvain,,Average Compute Time (s),Average Comp. Size
2.6536889,294,,,2.592572466,185.815
2.5000234,154,,,,
2.5078147,142,,,,
2.5109681,146,,,,
2.5862597,174,,,,
2.3648531,258,,,,
2.717496,255,,,,
2.5320937,211,,,,
2.5512574,194,,,,
2.3644626,177,,,,
2.5119869,351,,,,
2.5053372,143,,,,
2.4743054,301,,,,
2.6201723,161,,,,
2.6247146,123,,,,
2.4730626,172,,,,
2.6367699,139,,,,
2.3744802,175,,,,
2.6765731,161,,,,
2.7117954,168,,,,
2.6414362,132,,,,
2.7318912,262,,,,
2.7207829,161,,,,
2.6047424,241,,,,
2.575892,156,,,,
2.6040528,163,,,,
2.3772186,247,,,,
2.4931466,206,,,,
2.5130334,242,,,,
2.5209477,181,,,,
2.5623524,207,,,,
2.6012347,146,,,,
2.5480152,160,,,,
2.6216084,121,,,,
2.1812315,438,,,,
2.5240941,104,,,,
2.7895971,151,,,,
2.460432,131,,,,
2.6274675,276,,,,
2.6157084,126,,,,
2.6523263,222,,,,
2.6911276,217,,,,
2.7677447,175,,,,
2.6043202,178,,,,
2.5966895,161,,,,
2.5202539,235,,,,
2.6769594,146,,,,
2.6848156,151,,,,
2.5438806,191,,,,
2.7799933,230,,,,
2.5431357,132,,,,
2.6991847,159,,,,
2.6857393,170,,,,
2.5294164,174,,,,
2.4271099,108,,,,
2.7157021,225,,,,
2.600276,114,,,,
2.6296687,130,,,,
2.6843102,128,,,,
2.5453311,271,,,,
2.5659336,105,,,,
2.6128651,193,,,,
2.7518919,130,,,,
2.5443997,363,,,,
2.4898835,127,,,,
2.653223,220,,,,
2.5219922,377,,,,
2.803354,167,,,,
2.6219463,142,,,,
2.4610777,180,,,,
2.581031,210,,,,
2.5791147,151,,,,
2.8095861,162,,,,
2.6342151,123,,,,
2.3758467,164,,,,
2.5329752,154,,,,
2.7718203,170,,,,
2.795607,213,,,,
2.6427364,176,,,,
2.4110248,100,,,,
2.7512266,129,,,,
2.528296,158,,,,
2.5693077,183,,,,
2.6108812,157,,,,
2.6838037,87,,,,
2.701959,213,,,,
2.7020906,128,,,,
2.7293568,154,,,,
2.7954914,166,,,,
2.7523699,179,,,,
2.5143256,160,,,,
2.5450881,300,,,,
2.5465415,210,,,,
2.4680636,135,,,,
2.7535745,253,,,,
2.3732902,206,,,,
2.643712,173,,,,
2.4615287,255,,,,
2.6436992,225,,,,
2.6846134,215,,,,
2.5342873,139,,,,
2.767273,200,,,,
2.6836923,199,,,,
2.6646954,168,,,,
2.5528562,382,,,,
2.5596788,336,,,,
2.4373157,207,,,,
2.7515439,125,,,,
2.7761885,223,,,,
2.4378946,255,,,,
2.3906182,159,,,,
2.5585179,279,,,,
2.4120542,223,,,,
2.7097383,184,,,,
2.9476094,324,,,,
2.6297917,157,,,,
2.4118489,325,,,,
2.6689653,186,,,,
2.3576336,310,,,,
2.4508101,125,,,,
2.6806525,222,,,,
2.7396848,118,,,,
2.8267602,133,,,,
2.5465882,111,,,,
2.2931563,130,,,,
2.7141917,122,,,,
2.5945242,178,,,,
2.6166095,228,,,,
2.5920611,139,,,,
2.4766202,119,,,,
2.7099271,220,,,,
2.5879908,172,,,,
2.6051321,179,,,,
2.4254004,143,,,,
2.6081717,194,,,,
2.5848636,209,,,,
2.5513658,128,,,,
2.693941,163,,,,
2.5429376,224,,,,
2.623016,113,,,,
2.6571489,174,,,,
2.5002732,197,,,,
2.6324979,193,,,,
2.4775484,144,,,,
2.5823511,134,,,,
2.6301876,233,,,,
2.6867133,173,,,,
2.8120318,177,,,,
2.8478849,248,,,,
2.6889737,162,,,,
2.485303,119,,,,
2.4857883,110,,,,
2.321406,133,,,,
2.4558129,119,,,,
2.6082978,275,,,,
2.5249276,295,,,,
2.7907563,142,,,,
2.5963278,152,,,,
2.7029699,211,,,,
2.7600841,182,,,,
2.6810071,157,,,,
2.7180263,108,,,,
2.5594216,393,,,,
2.4024796,246,,,,
2.5550748,127,,,,
2.734035,167,,,,
2.6766821,194,,,,
2.6115058,151,,,,
2.7683643,136,,,,
2.4463092,115,,,,
2.5372555,338,,,,
2.5141957,205,,,,
2.4414385,346,,,,
2.809087,158,,,,
2.6803396,116,,,,
2.7007222,127,,,,
2.6196168,157,,,,
2.545637,149,,,,
2.6045379,166,,,,
2.6324731,287,,,,
2.4827647,173,,,,
2.5685951,109,,,,
2.4897726,232,,,,
2.5270104,227,,,,
2.5075384,130,,,,
2.7224524,212,,,,
2.3347752,110,,,,
2.652347,165,,,,
2.3207,249,,,,
2.2839468,127,,,,
2.5678242,124,,,,
2.6689813,143,,,,
2.5548413,234,,,,
2.6031777,196,,,,
2.4526342,143,,,,
2.6578038,166,,,,
2.6506649,129,,,,
2.629249,142,,,,
2.6146235,173,,,,
2.6119594,232,,,,
