Max Component Sizes,Compute Time (s),runScen3Random,,Average Compute Time (s),Average Comp. Size
26.6587316,800,,,26.64359184,779.895
26.5532006,800,,,,
26.5284095,800,,,,
26.5726854,786,,,,
26.4428656,787,,,,
26.4440422,800,,,,
26.5592368,792,,,,
26.5446241,780,,,,
26.5131196,800,,,,
26.64198,789,,,,
26.4278062,800,,,,
26.4914806,778,,,,
26.6072806,785,,,,
26.4280182,793,,,,
26.5899903,767,,,,
26.5888855,800,,,,
26.5441422,786,,,,
26.6161916,723,,,,
26.5858038,752,,,,
26.7908062,789,,,,
26.5625926,800,,,,
26.4665317,792,,,,
26.6490812,800,,,,
26.3694529,800,,,,
26.6301887,651,,,,
26.7002958,800,,,,
26.6130572,800,,,,
26.6552035,792,,,,
26.5629114,800,,,,
26.7137209,783,,,,
26.4625431,793,,,,
26.355221,800,,,,
26.6075488,750,,,,
26.4515355,794,,,,
26.5189619,746,,,,
26.5582085,800,,,,
26.5303411,749,,,,
26.5423493,800,,,,
26.5820332,788,,,,
26.3457977,800,,,,
26.5660214,800,,,,
26.5311793,795,,,,
26.6288779,784,,,,
26.5876007,788,,,,
26.6520293,619,,,,
26.6467684,800,,,,
26.7800137,769,,,,
26.6269149,794,,,,
26.622754,786,,,,
26.6018807,795,,,,
26.5679893,793,,,,
26.6999206,800,,,,
26.6680873,712,,,,
26.7184005,800,,,,
26.6094195,800,,,,
26.5027284,793,,,,
26.6297643,751,,,,
26.5297806,794,,,,
26.4264498,800,,,,
26.5085025,791,,,,
26.6018269,796,,,,
26.557012,759,,,,
26.4994558,767,,,,
26.705207,783,,,,
26.6825868,790,,,,
26.4764745,800,,,,
26.6060493,796,,,,
26.6344536,791,,,,
26.4568069,794,,,,
26.5633728,706,,,,
26.5478506,780,,,,
26.5779305,758,,,,
26.6055114,796,,,,
26.4335218,772,,,,
26.4784984,800,,,,
26.6169739,800,,,,
26.4444101,794,,,,
26.6579659,786,,,,
26.6510002,794,,,,
26.4338571,800,,,,
26.6075069,800,,,,
26.5747339,793,,,,
26.5698073,794,,,,
26.5167532,437,,,,
26.6142462,795,,,,
26.5087155,800,,,,
26.4728467,795,,,,
26.5577964,800,,,,
26.8033847,468,,,,
26.6127624,800,,,,
26.7061337,792,,,,
26.4585662,800,,,,
26.5103898,739,,,,
26.687023,789,,,,
26.4711138,800,,,,
26.454044,780,,,,
26.6795401,800,,,,
26.7208614,800,,,,
26.5812973,727,,,,
26.5189755,656,,,,
26.5095441,800,,,,
26.4440843,800,,,,
26.4525279,800,,,,
26.6580798,800,,,,
26.5522489,800,,,,
26.6812331,776,,,,
26.6089698,785,,,,
26.5110024,775,,,,
26.7425501,685,,,,
26.6989604,800,,,,
27.399617,800,,,,
26.9372035,794,,,,
26.9347863,800,,,,
26.9904826,796,,,,
26.9606629,800,,,,
27.0336992,793,,,,
26.9122405,800,,,,
27.0877007,800,,,,
27.1493965,768,,,,
26.9658987,779,,,,
27.0139072,794,,,,
27.059044,796,,,,
27.1105439,794,,,,
27.1942047,795,,,,
27.1208738,718,,,,
27.0561022,791,,,,
26.952148,800,,,,
27.0309427,800,,,,
27.0523647,800,,,,
26.8940174,782,,,,
26.9111473,795,,,,
27.0016232,775,,,,
27.0418936,775,,,,
27.1345202,800,,,,
27.103705,794,,,,
27.1926752,765,,,,
27.1002375,800,,,,
26.6117941,800,,,,
26.6460135,800,,,,
26.5066766,768,,,,
26.622746,780,,,,
26.4525669,800,,,,
26.5984754,687,,,,
26.4984681,795,,,,
26.5584387,794,,,,
26.7077379,800,,,,
26.6051067,708,,,,
26.6736802,800,,,,
26.6235772,800,,,,
26.7030112,681,,,,
26.507436,794,,,,
26.6250228,786,,,,
26.5325975,796,,,,
26.4614291,778,,,,
26.6158065,796,,,,
26.3950595,792,,,,
26.7413282,774,,,,
26.8592028,796,,,,
26.4618424,755,,,,
26.626944,783,,,,
26.4885738,800,,,,
26.7829721,775,,,,
26.6130763,794,,,,
26.5844256,800,,,,
26.5542611,800,,,,
26.6634882,760,,,,
26.5538764,793,,,,
26.66149,800,,,,
26.623531,779,,,,
26.5975368,793,,,,
26.6878208,796,,,,
26.5876443,800,,,,
26.5797076,796,,,,
26.5939964,800,,,,
26.5885709,791,,,,
26.6082929,774,,,,
26.5710674,772,,,,
26.4928563,719,,,,
26.5397295,744,,,,
26.49229,800,,,,
26.5484825,800,,,,
26.6907769,800,,,,
26.7741793,800,,,,
26.6128274,795,,,,
26.6593242,792,,,,
26.6582834,800,,,,
26.5897218,800,,,,
26.3709337,771,,,,
26.6320065,800,,,,
26.6239674,796,,,,
26.6276132,738,,,,
26.5396778,760,,,,
26.428444,800,,,,
26.5499595,794,,,,
26.5864794,800,,,,
26.6325343,792,,,,
26.7093576,769,,,,
26.6180827,800,,,,
26.4995197,768,,,,
26.6959658,794,,,,
